id,cem011_prgrm,cem301_attendees_total,month,year,cem009_country
,1AF,26,11,2011,1
,1AF,44,11,2011,1
,1AF,23,11,2011,1
,1AF,37,11,2011,1
,1AF,23,11,2011,1
,KKM2,37,11,2011,1
,KKM2,16,11,2011,1
,KKM2,18,12,2011,1
,KKM2,17,11,2011,1
,KKM2,40,11,2011,1
,KKM2,34,11,2011,1
,KKM2,18,12,2011,1
,KKM2,31,12,2011,1
,KKM2,31,11,2011,1
,KKM2,24,11,2011,1
,KKM2,19,11,2011,1
,KKM2,23,11,2011,1
,KKM2,17,11,2011,1
,KKM2,18,11,2011,1
,KKM2,24,11,2011,1
,1AF,20,6,2013,1
,1AF,22,6,2013,1
,1AF,23,6,2013,1
,1AF,23,6,2013,1
,1AF,16,6,2013,1
,1AF,26,6,2013,1
,1AF,20,6,2013,1
,1AF,29,11,2011,1
,1AF,32,6,2013,1
,1AF,20,6,2013,1
,1AF,20,6,2013,1
,1AF,24,6,2013,1
,1AF,16,6,2013,1
,1AF,18,6,2013,1
,1AF,29,6,2013,1
,1AF,41,6,2013,1
,1AF,23,6,2013,1
,1AF,29,6,2013,1
,1AF,29,6,2013,1
,1AF,16,6,2013,1
,1AF,25,12,2011,1
,KKM2,28,11,2011,1
,KKM2,23,11,2011,1
,KKM2,20,11,2011,1
,1AF,32,11,2011,1
,1AF,21,11,2011,1
,1AF,23,7,2013,1
,1AF,26,7,2013,1
,1AF,16,7,2013,1
,1AF,18,7,2013,1
,1AF,17,12,2011,1
,1AF,23,7,2013,1
,1AF,18,7,2013,1
,1AF,30,7,2013,1
,1AF,21,7,2013,1
,1AF,21,7,2013,1
,1AF,26,7,2013,1
,1AF,22,7,2013,1
,1AF,19,11,2011,1
,1AF,18,7,2013,1
,1AF,19,7,2013,1
,1AF,30,7,2013,1
,1AF,16,7,2013,1
,1AF,26,7,2013,1
,1AF,26,6,2013,1
,1AF,27,7,2013,1
,1AF,22,7,2013,1
,1AF,26,7,2013,1
,1AF,16,7,2013,1
,1AF,22,7,2013,1
,1AF,25,7,2013,1
,1AF,26,6,2013,1
,1AF,16,6,2013,1
,1AF,16,6,2013,1
,1AF,18,6,2013,1
,1AF,22,6,2013,1
,1AF,20,6,2013,1
,1AF,16,5,2013,1
,1AF,27,5,2013,1
,1AF,35,6,2013,1
,1AF,25,6,2013,1
,1AF,22,6,2013,1
,1AF,27,6,2013,1
,1AF,15,7,2013,1
,1AF,26,6,2013,1
,KKM2,23,12,2011,1
,KKM2,16,11,2011,1
,KKM2,18,12,2011,1
,KKM2,21,11,2011,1
,KKM2,21,11,2011,1
,KKM2,38,11,2011,1
,KKM2,24,12,2011,1
,KKM2,33,11,2011,1
,KKM2,38,11,2011,1
,KKM2,26,11,2011,1
,KKM2,37,12,2011,1
,KKM2,24,12,2011,1
,KKM2,27,11,2011,1
,KKM2,22,12,2011,1
,KKM2,15,12,2011,1
,KKM2,26,12,2011,1
,KKM2,29,11,2011,1
,KKM2,25,11,2011,1
,KKM2,20,12,2011,1
,KKM2,20,12,2011,1
,KKM2,39,12,2011,1
,KKM2,24,11,2011,1
,1AF,20,7,2013,1
,1AF,14,11,2011,1
,1AF,23,11,2011,1
,1AF,23,7,2013,1
,1AF,20,7,2013,1
,1AF,20,7,2013,1
,1AF,19,11,2011,1
,1AF,24,11,2011,1
,1AF,20,11,2011,1
,1AF,24,7,2013,1
,1AF,23,7,2013,1
,1AF,26,11,2011,1
,1AF,22,11,2011,1
,1AF,16,11,2011,1
,1AF,26,11,2011,1
,1AF,23,6,2013,1
,1AF,18,6,2013,1
,1AF,21,6,2013,1
,1AF,30,6,2013,1
,1AF,22,6,2013,1
,1AF,27,6,2013,1
,1AF,19,6,2013,1
,1AF,27,5,2013,1
,1AF,14,5,2013,1
,1AF,19,5,2013,1
,1AF,16,5,2013,1
,1AF,20,5,2013,1
,1AF,38,5,2013,1
,1AF,31,5,2013,1
,1AF,19,5,2013,1
,1AF,18,5,2013,1
,1AF,25,5,2013,1
,1AF,24,5,2013,1
,1AF,20,5,2013,1
,1AF,20,11,2011,1
,1AF,31,5,2013,1
,1AF,26,5,2013,1
,1AF,17,5,2013,1
,1AF,17,5,2013,1
,1AF,24,5,2013,1
,1AF,20,5,2013,1
,1AF,20,5,2013,1
,1AF,20,5,2013,1
,1AF,37,5,2013,1
,1AF,18,5,2013,1
,1AF,17,5,2013,1
,1AF,20,6,2013,1
,1AF,19,5,2013,1
,1AF,62,7,2013,1
,1AF,25,7,2013,1
,1AF,31,7,2013,1
,1AF,32,7,2013,1
,1AF,49,7,2013,1
,1AF,30,12,2011,1
,1AF,20,11,2011,1
,1AF,22,12,2011,1
,1AF,33,7,2013,1
,1AF,21,7,2013,1
,1AF,33,7,2013,1
,1AF,28,7,2013,1
,1AF,22,7,2013,1
,1AF,18,7,2013,1
,1AF,29,7,2013,1
,1AF,15,11,2011,1
,1AF,15,11,2011,1
,1AF,43,5,2013,1
,1AF,30,5,2013,1
,1AF,18,5,2013,1
,1AF,21,11,2011,1
,1AF,24,5,2013,1
,1AF,20,5,2013,1
,1AF,15,5,2013,1
,1AF,23,5,2013,1
,1AF,15,5,2013,1
,1AF,15,12,2011,1
,1AF,21,12,2011,1
,1AF,18,12,2011,1
,1AF,16,5,2013,1
,1AF,22,11,2011,1
,1AF,17,11,2011,1
,1AF,20,11,2011,1
,1AF,16,11,2011,1
,1AF,33,7,2013,1
,1AF,17,7,2013,1
,1AF,45,7,2013,1
,1AF,27,7,2013,1
,1AF,32,5,2013,1
,1AF,24,5,2013,1
,1AF,19,5,2013,1
,1AF,22,11,2011,1
,1AF,20,5,2013,1
,1AF,21,5,2013,1
,1AF,22,5,2013,1
,1AF,22,11,2011,1
,1AF,24,5,2013,1
,1AF,20,5,2013,1
,1AF,20,5,2013,1
,1AF,10,5,2013,1
,1AF,12,5,2013,1
,1AF,11,5,2013,1
