ID,cem301_attendees_total,cem011_prgrm,month,year
,25,KBK3,5,2013
,30,KBK3,5,2013
,50,KBK3,5,2013
,35,KBK3,5,2013
,55,KBK3,5,2013
,52,KBK3,5,2013
,50,KBK3,5,2013
,50,KBK3,5,2013
,25,KBK3,5,2013
,29,KBK3,5,2013
,40,KBK3,5,2013
,57,KBK3,5,2013
,22,KBK3,5,2013
,61,KBK3,5,2013
,30,KBK3,5,2013
,30,KBK3,5,2013
,61,KBK3,5,2013
,56,KBK3,5,2013
,49,KBK3,5,2013
,50,KBK3,5,2013
,25,KBK3,5,2013
,22,KBK3,5,2013
,27,KBK3,5,2013
,20,KBK3,5,2013
,45,KBK3,5,2013
,44,KBK3,5,2013
,28,KBK3,5,2013
,21,KBK3,5,2013
,37,KBK3,5,2013
,29,KBK3,5,2013
,23,KBK3,5,2013
,42,KBK3,5,2013
,64,KBK3,5,2013
,25,KBK3,5,2013
,35,KBK3,5,2013
,55,KBK3,5,2013
,39,KBK3,5,2013
,39,KBK3,5,2013
,74,KBK3,5,2013
,36,KBK3,5,2013
,34,KBK3,5,2013
,41,KBK3,5,2013
,41,KBK3,5,2013
,48,KBK3,5,2013
,50,KBK3,5,2013
,63,KBK3,5,2013
,28,KBK3,5,2013
,37,KBK3,5,2013
,55,KBK3,5,2013
,36,KBK3,5,2013
,69,KBK3,5,2013
,50,KBK4,5,2013
,36,KBK3,5,2013
,47,KBK3,5,2013
,23,KBK3,5,2013
,16,KBK3,5,2013
,20,KBK3,5,2013
,50,KBK3,5,2013
,58,KBK2,7,2013
,33,KBK2,7,2013
,25,KBK4,7,2013
,50,KBK4,7,2013
,52,KBK4,7,2013
,45,KBK4,7,2013
,35,KBK4,7,2013
,45,KBK4,7,2013
,26,KBK4,7,2013
,50,KBK4,7,2013
,30,KBK4,7,2013
,35,KBK4,7,2013
,49,KBK4,7,2013
,33,KBK4,7,2013
,29,KBK4,7,2013
,53,KBK4,7,2013
,24,KBK4,7,2013
,31,KBK4,7,2013
,42,KBK4,7,2013
,21,KBK1,7,2013
,44,KBK4,7,2013
,28,KBK4,7,2013
,49,KBK4,7,2013
,14,KBK4,7,2013
,69,KBK1,7,2013
,31,KBK4,7,2013
,68,KBK4,7,2013
,34,KBK4,7,2013
,45,KBK4,7,2013
,24,KBK4,7,2013
,47,KBK4,7,2013
,43,KBK4,7,2013
,20,KBK4,7,2013
,61,KBK4,7,2013
,53,KBK4,7,2013
,29,KBK4,8,2013
,30,KBK4,8,2013
,48,KBK4,8,2013
,31,KBK4,8,2013
,46,KBK4,8,2013
,22,KBK4,8,2013
,29,KBK4,8,2013
,33,KBK4,8,2013
,18,KBK4,8,2013
,32,KBK4,8,2013
,40,KBK4,8,2013
,54,KBK4,8,2013
,15,KBK4,8,2013
,34,KBK4,8,2013
,25,KBK4,8,2013
,29,KBK4,8,2013
,38,KBK4,8,2013
,40,KBK4,8,2013
,31,KBK4,8,2013
,51,KBK4,8,2013
,39,KBK4,8,2013
,45,KBK4,8,2013
,48,KBK4,8,2013
,17,KBK4,8,2013
,21,KBK4,8,2013
,51,KBK1,8,2013
,24,KBK4,8,2013
,42,KBK4,8,2013
,41,KBK4,8,2013
,21,KBK4,8,2013
,46,KBK2,8,2013
,30,KBK4,8,2013
,30,KBK4,8,2013
,34,KBK4,8,2013
,51,KBK4,8,2013
,40,KBK4,8,2013
,52,KBK2,8,2013
,52,KBK3,8,2013
,35,KBK4,8,2013
,39,KBK3,8,2013
,25,KBK4,8,2013
,30,KBK4,8,2013
,30,KBK4,8,2013
,50,KBK4,8,2013
,89,KBK4,8,2013
,45,KBK4,8,2013
,56,KBK2,8,2013
,30,KBK2,8,2013
,35,KBK2,8,2013
,30,KBK4,8,2013
,10,KBK4,8,2013
,28,KBK4,8,2013
,33,KBK4,8,2013
,24,KBK4,8,2013
,42,KBK4,8,2013
,22,KBK4,8,2013
,23,KBK4,8,2013
,48,KBK4,8,2013
,34,KBK4,8,2013
,35,KBK1,8,2013
,24,KBK4,8,2013
,53,KBK4,8,2013
,24,KBK4,8,2013
,41,KBK4,8,2013
,52,KBK4,8,2013
,28,KBK4,8,2013
,41,KBK4,8,2013
,48,KBK4,8,2013
,28,KBK4,8,2013
,51,KBK4,8,2013
,30,KBK4,8,2013
,30,KBK4,8,2013
,49,KBK4,8,2013
,34,KBK4,8,2013
,50,KBK4,8,2013
,72,KBK4,8,2013
,22,KBK4,8,2013
,66,KBK4,8,2013
,45,KBK4,8,2013
,25,KBK4,8,2013
,25,KBK4,8,2013
,32,KBK4,8,2013
,34,KBK4,8,2013
,69,KBK4,8,2013
,46,KBK4,8,2013
,20,KBK4,8,2013
,28,KBK4,8,2013
,37,KBK4,8,2013
,17,KBK4,8,2013
,38,KBK4,8,2013
,46,KBK4,8,2013
,52,KBK4,8,2013
,48,KBK4,8,2013
,30,KBK4,8,2013
,39,KBK4,8,2013
,23,KBK4,8,2013
,42,KBK4,8,2013
,32,KBK4,8,2013
,58,KBK4,8,2013
,37,KBK4,8,2013
,32,KBK4,8,2013
,37,KBK4,8,2013
,40,KBK4,8,2013
,57,KBK4,8,2013
,27,KBK4,8,2013
,28,KBK4,8,2013
,20,KBK4,8,2013
,32,KBK4,8,2013
,52,KBK4,8,2013
,16,KBK2,8,2013
,43,KBK4,8,2013
,28,KBK4,8,2013
,23,KBK4,8,2013
,21,KBK4,8,2013
,36,KBK2,8,2013
,41,KBK4,8,2013
,41,KBK2,8,2013
,32,KBK4,8,2013
,20,KBK4,8,2013
,48,KBK2,8,2013
,37,MBL1,8,2014
,26,SRK,9,2014
,35,MFW,1,2014
,58,MFW,1,2014
,42,MFW,1,2014
,63,MFW,1,2014
,35,MFW,1,2014
,41,MFW,1,2014
,22,MFW,1,2014
,51,MFW,1,2014
,60,MFW,1,2014
,53,MFW,1,2014
,76,MFW,1,2014
,63,MFW,1,2014
,84,MFW,1,2014
,79,MFW,1,2014
,56,MFW,1,2014
,54,MFW,1,2014
,32,MFW,1,2014
,75,MFW,1,2014
,21,MFW,1,2014
,25,MFW,1,2014
,54,MFW,1,2014
