id,cem301_attendees_total,cem011_prgrm,month,year,cem009_country
,24,KKM2,11,2011,1
,20,1AF,6,2013,1
,22,1AF,6,2013,1
,23,1AF,6,2013,1
,23,1AF,6,2013,1
,16,1AF,6,2013,1
,26,1AF,6,2013,1
,20,1AF,6,2013,1
,29,1AF,11,2011,1
,32,1AF,6,2013,1
,20,1AF,6,2013,1
,20,1AF,6,2013,1
,24,1AF,6,2013,1
,16,1AF,6,2013,1
,18,1AF,6,2013,1
,29,1AF,6,2013,1
,41,1AF,6,2013,1
,23,1AF,6,2013,1
,29,1AF,6,2013,1
,29,1AF,6,2013,1
,16,1AF,6,2013,1
,25,1AF,12,2011,1
,28,KKM2,11,2011,1
,23,KKM2,11,2011,1
,20,KKM2,11,2011,1
,32,1AF,11,2011,1
,21,1AF,11,2011,1
,23,1AF,7,2013,1
,26,1AF,7,2013,1
,16,1AF,7,2013,1
,18,1AF,7,2013,1
,17,1AF,12,2011,1
,23,1AF,7,2013,1
,18,1AF,7,2013,1
,30,1AF,7,2013,1
,21,1AF,7,2013,1
,21,1AF,7,2013,1
,26,1AF,7,2013,1
,22,1AF,7,2013,1
,19,1AF,11,2011,1
,18,1AF,7,2013,1
,19,1AF,7,2013,1
,30,1AF,7,2013,1
,16,1AF,7,2013,1
,26,1AF,7,2013,1
,26,1AF,6,2013,1
,27,1AF,7,2013,1
,22,1AF,7,2013,1
,26,1AF,7,2013,1
,16,1AF,7,2013,1
,22,1AF,7,2013,1
,25,1AF,7,2013,1
,26,1AF,6,2013,1
,16,1AF,6,2013,1
,16,1AF,6,2013,1
,18,1AF,6,2013,1
,22,1AF,6,2013,1
,20,1AF,6,2013,1
,16,1AF,5,2013,1
,27,1AF,5,2013,1
,35,1AF,6,2013,1
,25,1AF,6,2013,1
,22,1AF,6,2013,1
,27,1AF,6,2013,1
,15,1AF,7,2013,1
,26,1AF,6,2013,1
,23,KKM2,12,2011,1
,16,KKM2,11,2011,1
,18,KKM2,12,2011,1
,21,KKM2,11,2011,1
,21,KKM2,11,2011,1
,38,KKM2,11,2011,1
,24,KKM2,12,2011,1
,33,KKM2,11,2011,1
,38,KKM2,11,2011,1
,26,KKM2,11,2011,1
,37,KKM2,12,2011,1
,24,KKM2,12,2011,1
,27,KKM2,11,2011,1
,22,KKM2,12,2011,1
,15,KKM2,12,2011,1
,26,KKM2,12,2011,1
,29,KKM2,11,2011,1
,25,KKM2,11,2011,1
,20,KKM2,12,2011,1
,20,KKM2,12,2011,1
,39,KKM2,12,2011,1
,24,KKM2,11,2011,1
,20,1AF,7,2013,1
,14,1AF,11,2011,1
,23,1AF,11,2011,1
,23,1AF,7,2013,1
,20,1AF,7,2013,1
,20,1AF,7,2013,1
,19,1AF,11,2011,1
,24,1AF,11,2011,1
,20,1AF,11,2011,1
,24,1AF,7,2013,1
,23,1AF,7,2013,1
,26,1AF,11,2011,1
,22,1AF,11,2011,1
,16,1AF,11,2011,1
,26,1AF,11,2011,1
,23,1AF,6,2013,1
,18,1AF,6,2013,1
,21,1AF,6,2013,1
,30,1AF,6,2013,1
,22,1AF,6,2013,1
,27,1AF,6,2013,1
,19,1AF,6,2013,1
,27,1AF,5,2013,1
,14,1AF,5,2013,1
,19,1AF,5,2013,1
,16,1AF,5,2013,1
,20,1AF,5,2013,1
,38,1AF,5,2013,1
,31,1AF,5,2013,1
,19,1AF,5,2013,1
,18,1AF,5,2013,1
,25,1AF,5,2013,1
,24,1AF,5,2013,1
,20,1AF,5,2013,1
,20,1AF,11,2011,1
,31,1AF,5,2013,1
,26,1AF,5,2013,1
,17,1AF,5,2013,1
,17,1AF,5,2013,1
,24,1AF,5,2013,1
,20,1AF,5,2013,1
,20,1AF,5,2013,1
,20,1AF,5,2013,1
,37,1AF,5,2013,1
,18,1AF,5,2013,1
,17,1AF,5,2013,1
,20,1AF,6,2013,1
,19,1AF,5,2013,1
,62,1AF,7,2013,1
,25,1AF,7,2013,1
,31,1AF,7,2013,1
,32,1AF,7,2013,1
,49,1AF,7,2013,1
,30,1AF,12,2011,1
,20,1AF,11,2011,1
,22,1AF,12,2011,1
,33,1AF,7,2013,1
,21,1AF,7,2013,1
,33,1AF,7,2013,1
,28,1AF,7,2013,1
,22,1AF,7,2013,1
,18,1AF,7,2013,1
,29,1AF,7,2013,1
,15,1AF,11,2011,1
,15,1AF,11,2011,1
,43,1AF,5,2013,1
,30,1AF,5,2013,1
,18,1AF,5,2013,1
,21,1AF,11,2011,1
,24,1AF,5,2013,1
,20,1AF,5,2013,1
,15,1AF,5,2013,1
,23,1AF,5,2013,1
,15,1AF,5,2013,1
,15,1AF,12,2011,1
,21,1AF,12,2011,1
,18,1AF,12,2011,1
,16,1AF,5,2013,1
,22,1AF,11,2011,1
,17,1AF,11,2011,1
,20,1AF,11,2011,1
,16,1AF,11,2011,1
,33,1AF,7,2013,1
,17,1AF,7,2013,1
,45,1AF,7,2013,1
,27,1AF,7,2013,1
,32,1AF,5,2013,1
,24,1AF,5,2013,1
,19,1AF,5,2013,1
,22,1AF,11,2011,1
,20,1AF,5,2013,1
,21,1AF,5,2013,1
,22,1AF,5,2013,1
,22,1AF,11,2011,1
,24,1AF,5,2013,1
,20,1AF,5,2013,1
,20,1AF,5,2013,1
,10,1AF,5,2013,1
,12,1AF,5,2013,1
,11,1AF,5,2013,1
,17,1AF,5,2013,1
,16,1AF,5,2013,1
,23,1AF,7,2013,1
,19,1AF,6,2013,1
,24,1AF,6,2013,1
,15,1AF,6,2013,1
,21,1AF,6,2013,1
,20,1AF,6,2013,1
,28,1AF,6,2013,1
,19,1AF,12,2011,1
,22,1AF,11,2011,1
,17,1AF,5,2013,1
,19,1AF,5,2013,1
,21,1AF,11,2011,1
,24,1AF,5,2013,1
,20,1AF,5,2013,1
,19,1AF,5,2013,1
,19,1AF,12,2011,1
,22,1AF,5,2013,1
,14,1AF,5,2013,1
,24,1AF,5,2013,1
,22,1AF,11,2011,1
,23,1AF,5,2013,1
,29,1AF,5,2013,1
,20,1AF,5,2013,1
,22,1AF,5,2013,1
,17,1AF,5,2013,1
,20,1AF,5,2013,1
,233,1AF,5,2013,1
,43,1AF,5,2013,1
,39,1AF,5,2013,1
,19,1AF,5,2013,1
,20,1AF,6,2013,1
,16,1AF,6,2013,1
,23,1AF,5,2013,1
,25,1AF,6,2013,1
,21,1AF,5,2013,1
,20,1AF,5,2013,1
,19,1AF,5,2013,1
,29,1AF,5,2013,1
,17,1AF,5,2013,1
,21,1AF,5,2013,1
,34,1AF,5,2013,1
,22,1AF,5,2013,1
,11,1AF,5,2013,1
,18,1AF,5,2013,1
,33,1AF,5,2013,1
,29,1AF,5,2013,1
,19,1AF,5,2013,1
,17,1AF,5,2013,1
,20,1AF,5,2013,1
,30,1AF,5,2013,1
,20,1AF,5,2013,1
,36,1AF,5,2013,1
,21,1AF,5,2013,1
,28,1AF,5,2013,1
,16,1AF,5,2013,1
,17,1AF,5,2013,1
,25,1AF,5,2013,1
,20,1AF,5,2013,1
,19,1AF,5,2013,1
,23,1AF,5,2013,1
,37,1AF,5,2013,1
,20,1AF,5,2013,1
,34,1AF,5,2013,1
,25,1AF,5,2013,1
,19,1AF,5,2013,1
,24,1AF,2,2012,1
,28,1AF,5,2013,1
,16,1AF,5,2013,1
,17,1AF,11,2011,1
,22,1AF,5,2013,1
,23,1AF,5,2013,1
,30,1AF,11,2011,1
,19,1AF,11,2011,1
,19,1AF,11,2011,1
,24,1AF,12,2011,1
,20,1AF,2,2012,1
,24,1AF,5,2013,1
,19,1AF,5,2013,1
,21,1AF,5,2013,1
,20,1AF,6,2013,1
,18,1AF,6,2013,1
,19,1AF,6,2013,1
,28,1AF,11,2011,1
,20,1AF,6,2013,1
,18,1AF,6,2013,1
,29,1AF,6,2013,1
,19,1AF,6,2013,1
,31,1AF,6,2013,1
,27,1AF,6,2013,1
,25,1AF,7,2013,1
,18,1AF,12,2011,1
,20,1AF,12,2011,1
,51,1AF,12,2011,1
,24,1AF,12,2011,1
,28,1AF,11,2011,1
,22,1AF,12,2011,1
,22,1AF,11,2011,1
,25,KKM2,12,2011,1
,23,1AF,11,2011,1
,27,1AF,11,2011,1
,20,1AF,5,2013,1
,14,1AF,11,2011,1
,27,1AF,11,2011,1
,48,1AF,5,2013,1
,36,1AF,5,2013,1
,21,1AF,5,2013,1
,31,1AF,5,2013,1
,15,1AF,12,2011,1
,17,1AF,5,2013,1
,22,1AF,5,2013,1
,22,1AF,5,2013,1
,25,1AF,5,2013,1
,21,1AF,5,2013,1
,16,1AF,11,2011,1
,46,1AF,5,2013,1
,19,1AF,11,2011,1
,30,1AF,5,2013,1
,18,1AF,5,2013,1
,24,1AF,5,2013,1
,20,1AF,11,2011,1
,26,1AF,5,2013,1
,16,1AF,11,2011,1
,16,1AF,5,2013,1
,32,1AF,5,2013,1
,41,1AF,5,2013,1
,31,1AF,5,2013,1
,32,1AF,11,2011,1
,24,1AF,5,2013,1
,28,1AF,12,2011,1
,25,1AF,5,2013,1
,31,1AF,5,2013,1
,27,1AF,5,2013,1
,17,1AF,5,2013,1
,21,1AF,5,2013,1
,26,1AF,5,2013,1
,23,1AF,7,2013,1
,26,1AF,5,2013,1
,19,1AF,5,2013,1
,26,1AF,10,2011,1
,23,1AF,5,2013,1
,22,1AF,5,2013,1
,20,1AF,5,2013,1
,24,1AF,5,2013,1
,28,1AF,5,2013,1
,18,1AF,5,2013,1
,24,1AF,5,2013,1
,33,1AF,5,2013,1
,17,1AF,5,2013,1
,32,1AF,5,2013,1
,26,1AF,5,2013,1
,31,1AF,5,2013,1
,20,1AF,5,2013,1
,20,1AF,11,2011,1
,26,1AF,11,2011,1
,26,KKM2,11,2011,1
,20,KKM2,11,2011,1
,21,KKM2,11,2011,1
,28,KKM2,5,2013,1
,22,KKM2,11,2011,1
,22,1AF,7,2013,1
,20,1AF,7,2014,1
,49,1AF,7,2014,1
,43,1AF,7,2014,1
,23,1AF,7,2014,1
,20,1AF,7,2014,1
,18,1AF,7,2013,1
,35,1AF,7,2013,1
,31,1AF,7,2014,1
,15,1AF,11,2011,1
,20,1AF,6,2013,1
,18,1AF,7,2013,1
,29,1AF,7,2014,1
,19,1AF,7,2014,1
,21,1AF,11,2011,1
,13,1AF,6,2013,1
,39,1AF,6,2013,1
,29,1AF,6,2013,1
,26,1AF,6,2013,1
,24,1AF,6,2013,1
,23,1AF,6,2013,1
,23,1AF,6,2013,1
,20,1AF,6,2013,1
,30,1AF,6,2013,1
,24,1AF,6,2013,1
,31,1AF,6,2013,1
,33,1AF,6,2013,1
,22,1AF,6,2013,1
,32,1AF,6,2013,1
,19,1AF,6,2013,1
,38,1AF,6,2013,1
,32,1AF,6,2013,1
,31,1AF,6,2013,1
,27,1AF,7,2013,1
,16,1AF,6,2013,1
,28,1AF,6,2013,1
,24,1AF,6,2013,1
,17,1AF,6,2013,1
,36,1AF,6,2013,1
,28,1AF,7,2013,1
,23,1AF,6,2013,1
,24,1AF,6,2013,1
,30,1AF,6,2013,1
,33,1AF,6,2013,1
,14,1AF,6,2013,1
,29,1AF,7,2013,1
,39,1AF,7,2013,1
,25,1AF,7,2013,1
,44,1AF,7,2013,1
,28,1AF,7,2013,1
,20,1AF,7,2013,1
,31,1AF,7,2013,1
,29,1AF,7,2013,1
,32,1AF,7,2013,1
,25,1AF,7,2013,1
,17,1AF,6,2013,1
,25,1AF,6,2013,1
,20,1AF,6,2013,1
,26,1AF,6,2013,1
,28,1AF,6,2013,1
,23,1AF,6,2013,1
,40,1AF,6,2013,1
,22,1AF,6,2013,1
,17,1AF,6,2013,1
,27,1AF,6,2013,1
,34,1AF,6,2013,1
,23,KKM2,12,2011,1
,27,1AF,12,2011,1
,21,KKM2,12,2011,1
,18,1AF,12,2011,1
,23,1AF,11,2011,1
,24,1AF,12,2011,1
,26,KKM2,12,2011,1
,29,1AF,12,2011,1
,24,KKM2,12,2011,1
,25,KKM2,11,2011,1
,16,1AF,11,2011,1
,27,KKM2,11,2011,1
,47,KKM2,11,2011,1
,17,1AF,12,2011,1
,19,1AF,12,2011,1
,23,KKM2,11,2011,1
,24,1AF,12,2011,1
,22,KKM2,12,2011,1
,23,1AF,6,2013,1
,25,1AF,6,2013,1
,20,1AF,11,2011,1
,31,1AF,6,2013,1
,24,1AF,6,2013,1
,25,1AF,7,2014,1
,26,1AF,7,2014,1
,17,1AF,6,2013,1
,26,1AF,7,2013,1
,13,1AF,6,2013,1
,20,1AF,7,2013,1
,20,1AF,6,2013,1
,27,1AF,6,2013,1
,27,1AF,7,2013,1
,22,1AF,6,2013,1
,22,1AF,6,2013,1
,20,1AF,6,2013,1
,29,1AF,6,2013,1
,26,1AF,6,2013,1
,29,1AF,6,2013,1
,23,1AF,6,2013,1
,34,1AF,6,2013,1
,28,1AF,6,2013,1
,21,1AF,6,2013,1
,23,1AF,6,2013,1
,24,1AF,6,2013,1
,30,1AF,6,2013,1
