id,cr011_prgrm,cr102_wpt_id,total_chl_used,total_period_day,total_period_30day,avrg_30day_usage,avrg_30day_usage_litres,num_of_Deliveries,Jerrican_delivered,date_of_first_delivery,date_of_last_delivery,country
,Rongo,10310405,7,228,7.6,0.9210526,4.605263,3,12,2014/07/03,2015/02/16,1
,Rongo,10310406,3,228,7.6,0.3947369,1.973684,2,8,2014/07/03,2015/02/16,1
,Rongo,10310407,15,316,10.53333,1.424051,7.120253,5,20,2014/07/03,2015/05/15,1
,Rongo,10310408,,,,,,1,4,2014/07/04,2014/07/04,1
,Rongo,10310409,2,278,9.266666,0.2158273,1.079137,2,6,2014/07/10,2015/04/14,1
,Rongo,10310410,,,,,,1,4,2014/07/10,2014/07/10,1
,Rongo,10310411,,,,,,1,4,2014/06/20,2014/06/20,1
,Rongo,10310413,,,,,,1,2,2015/03/05,2015/03/05,1
,Rongo,10310414,,,,,,2,4,2014/07/14,2015/02/28,1
,Rongo,10310415,,,,,,3,8,2014/07/10,2015/06/26,1
,Rongo,10310416,,,,,,1,4,2014/07/10,2014/07/10,1
,Rongo,10310418,,,,,,1,4,2014/06/23,2014/06/23,1
,Rongo,10310419,,,,,,2,4,2015/02/28,2015/08/18,1
,Rongo,10310420,,,,,,3,8,2014/06/20,2015/08/18,1
,Rongo,10310421,,,,,,3,8,2014/06/20,2015/08/18,1
,Rongo,10310422,8,194,6.466667,1.237113,6.185567,5,14,2014/06/19,2015/08/17,1
,Rongo,10310424,7,305,10.16667,0.6885245,3.442623,6,18,2014/06/19,2015/08/18,1
,Rongo,10310427,6,421,14.03333,0.4275534,2.137767,3,10,2014/06/23,2015/08/18,1
,Rongo,10310429,8,421,14.03333,0.5700712,2.850356,3,12,2014/06/23,2015/08/18,1
,Rongo,10310431,6,423,14.1,0.4255319,2.12766,3,10,2014/06/20,2015/08/17,1
,Rongo,10310433,4,188,6.266667,0.6382979,3.191489,2,8,2015/01/23,2015/07/30,1
,Rongo,10310434,2,55,1.833333,1.090909,5.454545,2,6,2015/07/30,2015/09/23,1
,Rongo,10310436,3,217,7.233333,0.4147466,2.073733,2,8,2014/06/20,2015/01/23,1
,Rongo,10310437,,,,,,1,4,2015/01/23,2015/01/23,1
,Rongo,10310438,,,,,,1,4,2014/06/20,2014/06/20,1
,Rongo,10310439,10,405,13.5,0.7407407,3.703704,4,14,2014/06/20,2015/07/30,1
,Rongo,10310440,3,189,6.3,0.4761904,2.380952,2,6,2015/01/22,2015/07/30,1
,Rongo,10310441,8,397,13.23333,0.604534,3.02267,4,10,2014/08/22,2015/09/23,1
,Rongo,10310442,9,400,13.33333,0.675,3.375,4,12,2014/08/19,2015/09/23,1
,Rongo,10310443,3,185,6.166667,0.4864865,2.432432,2,6,2015/02/03,2015/08/07,1
,Rongo,10310444,,,,,,3,6,2014/11/28,2015/09/18,1
,Rongo,10310445,4.5,47,1.566667,2.87234,14.3617,2,8,2014/11/28,2015/01/14,1
,Rongo,10310446,4.5,47,1.566667,2.87234,14.3617,2,7,2014/11/28,2015/01/14,1
,Rongo,10310450,5,201,6.7,0.7462687,3.731344,2,8,2015/02/19,2015/09/08,1
,Rongo,10310452,2,83,2.766667,0.7228916,3.614458,2,6,2014/11/28,2015/02/19,1
,Rongo,10310453,8,455,15.16667,0.5274725,2.637362,3,12,2014/06/20,2015/09/18,1
,Rongo,10310454,10,455,15.16667,0.6593406,3.296703,4,14,2014/06/20,2015/09/18,1
,Rongo,10310455,7,147,4.9,1.428571,7.142857,4,14,2014/08/19,2015/01/14,1
,Rongo,10310457,5,237,7.9,0.6329114,3.164557,2,8,2015/01/14,2015/09/08,1
,Rongo,10310458,11,349,11.63333,0.9455587,4.727794,6,20,2014/06/24,2015/09/08,1
,Rongo,10310459,,,,,,1,4,2014/11/28,2014/11/28,1
,Rongo,10310460,7,410,13.66667,0.5121951,2.560976,4,10,2014/06/23,2015/08/07,1
,Rongo,10310461,2,409,13.63333,0.1466993,0.7334963,2,6,2014/06/24,2015/08/07,1
,Rongo,10310463,,,,,,1,4,2015/08/07,2015/08/07,1
,Rongo,10310464,,,,,,1,2,2015/05/07,2015/05/07,1
,Rongo,10310466,,,,,,1,0,2015/02/28,2015/02/28,1
,Rongo,10310467,,,,,,2,4,2015/02/28,2015/05/05,1
,Rongo,10310468,,,,,,3,8,2014/07/17,2015/06/06,1
,Rongo,10310469,3,223,7.433333,0.4035874,2.017937,4,12,2014/06/26,2015/06/06,1
,Rongo,10310470,3,223,7.433333,0.4035874,2.017937,3,8,2014/06/26,2015/02/06,1
