ID,cem301_attendees_total,cem011_prgrm,month,year,cem009_country,cem005_today
,30,Kibuku 3,5,2013,2,22-May-13
,80,Kibuku 3,5,2013,2,22-May-13
,25,Kibuku 3,5,2013,2,22-May-13
,28,Kibuku 3,5,2013,2,22-May-13
,61,Kibuku 3,5,2013,2,22-May-13
,35,Kibuku 3,5,2013,2,23-May-13
,50,Kibuku 3,5,2013,2,23-May-13
,52,Kibuku 3,5,2013,2,23-May-13
,50,Kibuku 3,5,2013,2,23-May-13
,55,Kibuku 3,5,2013,2,23-May-13
,30,Kibuku 3,5,2013,2,23-May-13
,61,Kibuku 3,5,2013,2,24-May-13
,40,Kibuku 3,5,2013,2,24-May-13
,29,Kibuku 3,5,2013,2,24-May-13
,56,Kibuku 3,5,2013,2,24-May-13
,30,Kibuku 3,5,2013,2,24-May-13
,22,Kibuku 3,5,2013,2,24-May-13
,57,Kibuku 3,5,2013,2,24-May-13
,50,Kibuku 3,5,2013,2,24-May-13
,50,Kibuku 3,5,2013,2,24-May-13
,49,Kibuku 3,5,2013,2,24-May-13
,30,Kibuku 3,5,2013,2,24-May-13
,25,Kibuku 3,5,2013,2,24-May-13
,61,Kibuku 3,5,2013,2,24-May-13
,25,Kibuku 3,5,2013,2,24-May-13
,22,Kibuku 3,5,2013,2,24-May-13
,37,Kibuku 3,5,2013,2,25-May-13
,45,Kibuku 3,5,2013,2,25-May-13
,42,Kibuku 3,5,2013,2,25-May-13
,23,Kibuku 3,5,2013,2,25-May-13
,44,Kibuku 3,5,2013,2,25-May-13
,64,Kibuku 3,5,2013,2,25-May-13
,20,Kibuku 3,5,2013,2,25-May-13
,28,Kibuku 3,5,2013,2,25-May-13
,25,Kibuku 3,5,2013,2,25-May-13
,27,Kibuku 3,5,2013,2,25-May-13
,29,Kibuku 3,5,2013,2,25-May-13
,21,Kibuku 3,5,2013,2,25-May-13
,35,Kibuku 3,5,2013,2,25-May-13
,39,Kibuku 3,5,2013,2,26-May-13
,55,Kibuku 3,5,2013,2,26-May-13
,74,Kibuku 3,5,2013,2,27-May-13
,41,Kibuku 3,5,2013,2,27-May-13
,48,Kibuku 3,5,2013,2,27-May-13
,39,Kibuku 3,5,2013,2,27-May-13
,36,Kibuku 3,5,2013,2,27-May-13
,41,Kibuku 3,5,2013,2,27-May-13
,34,Kibuku 3,5,2013,2,27-May-13
,37,Kibuku 3,5,2013,2,28-May-13
,63,Kibuku 3,5,2013,2,28-May-13
,28,Kibuku 3,5,2013,2,28-May-13
,50,Kibuku 3,5,2013,2,28-May-13
,36,Kibuku 3,5,2013,2,29-May-13
,16,Kibuku 3,5,2013,2,29-May-13
,36,Kibuku 3,5,2013,2,29-May-13
,50,Kibuku 4,5,2013,2,29-May-13
,23,Kibuku 3,5,2013,2,29-May-13
,55,Kibuku 3,5,2013,2,29-May-13
,47,Kibuku 3,5,2013,2,29-May-13
,20,Kibuku 3,5,2013,2,29-May-13
,69,Kibuku 3,5,2013,2,29-May-13
,50,Kibuku 3,5,2013,2,30-May-13
,50,Kibuku 4,7,2013,2,24-Jul-13
,25,Kibuku 4,7,2013,2,24-Jul-13
,58,Kibuku 2,7,2013,2,24-Jul-13
,33,Kibuku 2,7,2013,2,24-Jul-13
,45,Kibuku 4,7,2013,2,25-Jul-13
,52,Kibuku 4,7,2013,2,25-Jul-13
,35,Kibuku 4,7,2013,2,25-Jul-13
,45,Kibuku 4,7,2013,2,25-Jul-13
,35,Kibuku 4,7,2013,2,27-Jul-13
,30,Kibuku 4,7,2013,2,27-Jul-13
,50,Kibuku 4,7,2013,2,27-Jul-13
,26,Kibuku 4,7,2013,2,27-Jul-13
,29,Kibuku 4,7,2013,2,29-Jul-13
,33,Kibuku 4,7,2013,2,29-Jul-13
,53,Kibuku 4,7,2013,2,29-Jul-13
,49,Kibuku 4,7,2013,2,29-Jul-13
,28,Kibuku 4,7,2013,2,30-Jul-13
,31,Kibuku 4,7,2013,2,30-Jul-13
,68,Kibuku 4,7,2013,2,30-Jul-13
,42,Kibuku 4,7,2013,2,30-Jul-13
,14,Kibuku 4,7,2013,2,30-Jul-13
,44,Kibuku 4,7,2013,2,30-Jul-13
,24,Kibuku 4,7,2013,2,30-Jul-13
,21,Kibuku 1,7,2013,2,30-Jul-13
,49,Kibuku 4,7,2013,2,30-Jul-13
,31,Kibuku 4,7,2013,2,30-Jul-13
,34,Kibuku 4,7,2013,2,30-Jul-13
,69,Kibuku 1,7,2013,2,30-Jul-13
,24,Kibuku 4,7,2013,2,31-Jul-13
,20,Kibuku 4,7,2013,2,31-Jul-13
