id,cem301_attendees_total,cem011_prgrm,month,year,cem009_country
,36,Kibuku 3,5,2013,
,33,Kibuku 3,5,2012,
,22,Kibuku 3,5,2013,
,33,Kibuku 3,5,2013,
,56,Kibuku 3,5,2013,
,55,Kibuku 3,5,2013,
,59,Kibuku 3,5,2013,
,74,Kibuku 3,5,2013,
,34,Kibuku 3,5,2013,
,40,Kibuku 3,5,2013,
,56,Kibuku 3,5,2013,
,50,Kibuku 3,5,2013,
,28,Kibuku 3,5,2013,
,61,Kibuku 3,5,2013,
,60,Kibuku 3,5,2013,
,54,Kibuku 3,5,2013,
,40,Kibuku 3,5,2013,
,50,Kibuku 3,5,2013,
,24,Kibuku 3,5,2013,
,35,Kibuku 3,5,2013,
,60,Kibuku 3,5,2013,
,28,Kibuku 3,5,2013,
,61,Kibuku 3,5,2013,
,25,Kibuku 3,5,2013,
,21,Kibuku 3,5,2013,
,28,Kibuku 3,5,2013,
,41,Kibuku 3,5,2013,
,40,Kibuku 3,5,2013,
,41,Kibuku 3,5,2013,
,38,Kibuku 3,5,2013,
,43,Kibuku 3,5,2013,
,13,Kibuku 3,5,2013,
,31,Kibuku 3,5,2013,
,86,Kibuku 3,5,2013,
,50,Kibuku 3,5,2013,
,32,Kibuku 3,5,2013,
,25,Kibuku 3,5,2013,
,64,Kibuku 3,3,2015,
,67,Kibuku 3,3,2015,
,68,Kibuku 3,3,2015,
,38,Kibuku 3,3,2015,
,58,Kibuku 3,3,2015,
,51,Kibuku 3,3,2015,
,40,Kibuku 4,5,2013,
,33,Kibuku 3,5,2013,
,37,Kibuku ,1,2012,
,39,Kibuku 3,5,2013,
,38,Kibuku 3,5,2013,
,41,Kibuku 4,8,2013,
,46,Kibuku 4,8,2013,
,69,Kibuku 4,8,2013,
,66,Kibuku 4,8,2013,
,30,Kibuku 4,8,2013,
,42,Kibuku 4,8,2013,
,28,Kibuku 4,8,2013,
,58,Kibuku 3,3,2015,
,61,Kibuku 3,3,2015,
,56,Kibuku ,3,2015,
,17,Kibuku 4,8,2013,
,37,Kibuku 4,8,2013,
,73,Kibuku 3,3,2015,
,66,Kibuku 3,3,2015,
,33,Kibuku 4,8,2013,
,28,Kibuku 4,8,2013,
,34,Kibuku 3,3,2015,
,26,Kibuku 3,3,2015,
,18,Kibuku 3,3,2015,
,14,Kibuku 3,3,2015,
,60,Kibuku ,3,2015,
,22,Kibuku 4,8,2013,
,28,Kibuku 4,5,2013,
,33,Kibuku 3,3,2015,
,37,Kibuku 3,3,2015,
,28,Kibuku 4,5,2013,
,35,Kibuku 4,8,2013,
,48,Kibuku 4,8,2013,
,45,Kibuku 4,8,2013,
,34,Kibuku 3,3,2015,
,28,Kibuku 4,7,2013,
,20,Kibuku 4,7,2013,
,40,Kibuku 4,8,2013,
,32,Kibuku 4,8,2013,
,29,Kibuku 4,8,2013,
,34,Kibuku 4,8,2013,
,54,Kibuku 4,8,2013,
,18,Kibuku 4,8,2013,
,42,Kibuku 4,8,2013,
,42,Kibuku 4,7,2013,
,67,Kibuku 3,3,2015,
,36,Kibuku 3,3,2015,
,45,Kibuku 4,7,2013,
,24,Kibuku 4,7,2013,
,49,Kibuku 4,7,2013,
,70,Kibuku 3,3,2015,
,43,Kibuku ,3,2015,
,31,Kibuku 4,8,2013,
,46,Kibuku 4,8,2013,
,17,Kibuku 4,8,2013,
,21,Kibuku 4,8,2013,
,37,Kibuku 3,3,2015,
,35,Kibuku 3,3,2015,
,53,Kibuku 4,7,2013,
,64,Kibuku 3,3,2015,
,29,Kibuku 3,3,2015,
,29,Kibuku 4,8,2013,
,22,Kibuku 4,8,2013,
,35,Kibuku 4,5,2013,
