id,s102_wpt_id,s206_cl_dispensed,s208_dispprob,s209_dispprob_cas_padlk,s210_dispprob_tnk_vlv,s211_dispprob_stker_tag_paint,s212_nut,month_survey,year_survey,s009_country,s011_prgrm
,10030015,1,0,,,,,12,2014,1,BSA
,10030015,1,0,,,,,2,2016,1,BSA
,10030015,1,0,,,,,9,2015,1,BSA
,10030015,1,0,,,,,7,2015,1,BSA
,10030015,1,0,,,,,6,2015,1,BSA
,10030015,1,0,,,,,2,2015,1,BSA
,10030016,1,0,,,,,8,2015,1,BSA
,10030016,1,1,0,1,1,0,2,2015,1,BSA
,10030016,1,0,,,,,10,2015,1,BSA
,10030016,1,0,,,,,6,2015,1,BSA
,10030016,1,0,,,,,1,2016,1,BSA
,10030017,1,0,,,,,6,2015,1,BSA
,10030017,1,0,,,,,3,2016,1,BSA
,10030017,1,0,,,,,2,2015,1,BSA
,10038090,1,0,,,,,1,2015,1,KKM
,10050001,1,0,,,,,6,2015,1,BSA
,10050001,1,0,,,,,3,2015,1,BSA
,10050001,,,,,,,8,2015,1,BSA
,10050002,,1,1,0,1,0,2,2015,1,BSA
,10050002,1,0,,,,,10,2015,1,BSA
,10050003,,0,,,,,3,2015,1,BSA
,10050003,1,0,,,,,8,2015,1,BSA
,10050004,1,0,,,,,10,2014,1,BSA
,10050004,1,0,,,,,8,2015,1,BSA
,10050005,1,0,,,,,8,2015,1,BSA
,10050005,1,1,0,0,1,0,3,2015,1,BSA
,10050005,1,0,,,,,3,2015,1,BSA
,10050005,1,0,,,,,3,2016,1,BSA
,10050006,1,0,,,,,8,2015,1,BSA
,10050006,1,0,,,,,2,2014,1,BSA
,10050006,1,0,,,,,3,2015,1,BSA
,10050007,1,0,,,,,8,2015,1,BSA
,10050007,1,1,0,1,1,0,3,2015,1,BSA
,10050007,1,0,,,,,3,2016,1,BSA
,10050008,1,0,,,,,4,2016,1,BSA
,10050008,1,0,,,,,6,2015,1,BSA
,10050008,1,0,,,,,4,2014,1,BSA
,10050008,1,0,,,,,4,2016,1,BSA
,10050008,1,0,,,,,3,2015,1,BSA
,10050008,1,0,,,,,8,2015,1,BSA
,10050009,1,0,,,,,8,2015,1,BSA
,10050009,1,1,0,1,1,0,1,2016,1,BSA
,10050009,1,0,,,,,1,2016,1,BSA
,10050009,1,0,,,,,7,2015,1,BSA
,10050009,1,0,,,,,3,2015,1,BSA
,10050009,1,0,,,,,6,2015,1,BSA
,10050010,1,0,,,,,5,2016,1,BSA
,10050010,1,0,,,,,6,2015,1,BSA
,10050010,1,0,,,,,8,2015,1,BSA
,10050010,1,0,,,,,6,2014,1,BSA
,10050011,1,0,,,,,6,2015,1,KKM
,10050011,1,0,,,,,8,2015,1,KKM
,10050011,1,1,1,0,1,0,3,2015,1,KKM
,10050012,1,0,,,,,6,2015,1,BSA
,10050013,1,0,,,,,3,2015,1,BSA
,10050013,1,0,,,,,8,2015,1,BSA
,10050013,1,0,,,,,1,2016,1,BSA
,10050013,1,0,,,,,6,2015,1,BSA
,10050013,1,0,,,,,11,2014,1,BSA
,10050013,1,0,,,,,6,2015,1,BSA
,10050013,1,0,,,,,11,2015,1,BSA
,10050013,1,0,,,,,2,2016,1,BSA
,10050014,1,1,1,0,1,0,3,2015,1,BSA
,10050014,1,1,0,1,1,0,6,2015,1,BSA
,10050014,1,0,,,,,8,2015,1,BSA
,10050014,1,0,,,,,2,2016,1,BSA
,10050014,1,0,,,,,6,2015,1,BSA
,10050014,1,0,,,,,11,2015,1,BSA
,10050015,1,0,,,,,6,2015,1,BSA
,10050015,1,1,0,0,0,0,3,2015,1,BSA
,10050015,1,0,,,,,1,2016,1,BSA
,10050015,1,0,,,,,8,2015,1,BSA
,10050015,1,0,,,,,2,2016,1,BSA
,10050015,1,1,0,1,0,1,6,2015,1,BSA
,10050016,1,0,,,,,6,2015,1,BSA
,10050016,1,0,,,,,6,2015,1,BSA
,10050016,1,0,,,,,3,2015,1,BSA
,10050016,1,0,,,,,8,2015,1,BSA
,10050017,1,0,,,,,2,2016,1,BSA
,10050017,1,0,,,,,2,2015,1,BSA
,10050017,1,0,,,,,3,2015,1,BSA
,10050017,1,0,,,,,6,2015,1,BSA
,10050017,1,0,,,,,8,2015,1,BSA
,10050017,1,0,,,,,6,2015,1,BSA
,10050018,1,0,,,,,8,2015,1,KKM
,10050018,1,0,,,,,6,2015,1,KKM
,10050018,1,0,,,,,5,2015,1,KKM
,10050018,0,0,,,,,3,2015,1,KKM
,10050019,1,0,,,,,5,2015,1,BSA
,10050019,1,0,,,,,12,2015,1,BSA
,10050019,1,0,,,,,6,2015,1,BSA
,10050019,1,1,1,1,0,0,2,2016,1,BSA
,10050019,1,0,,,,,3,2015,1,BSA
,10050019,1,0,,,,,5,2015,1,BSA
,10050019,1,0,,,,,8,2015,1,BSA
,10050020,1,0,,,,,5,2015,1,BSA
,10050020,1,0,,,,,8,2015,1,BSA
,10050020,1,0,,,,,6,2015,1,BSA
,10050020,1,0,,,,,7,2014,1,BSA
,10050020,1,0,,,,,3,2015,1,BSA
,10050021,1,0,,,,,3,2015,1,BSA
,10050021,1,0,,,,,6,2015,1,BSA
,10050021,1,0,,,,,11,2015,1,BSA
,10050021,1,0,,,,,5,2015,1,BSA
,10050022,1,0,,,,,5,2015,1,BSA
,10050022,1,0,,,,,8,2015,1,BSA
,10050022,1,0,,,,,3,2015,1,BSA
,10050022,1,0,,,,,11,2015,1,BSA
,10050022,1,0,,,,,6,2015,1,BSA
,10050023,1,0,,,,,10,2015,1,KKM2
,10050023,1,0,,,,,2,2015,1,KKM2
,10050024,1,0,,,,,3,2014,1,KKM2
,10050024,1,0,,,,,2,2015,1,KKM2
