ID,vcs201_attendees_total,vcs011_prgrm,month,year,vcs009_country,vcs014_mtg_date
,49,Srk,10,2014,2,14-Aug-14
,27,Mfw,10,2014,2,21-Jan-14
,45,Srk,10,2014,2,14-Aug-14
,23,Srk,10,2014,2,14-Aug-14
,36,Mfw,10,2014,2,21-Jan-14
,30,Srk,10,2014,2,14-Aug-14
,30,Mbl1,10,2014,2,30-Jul-14
,22,Mbl1,10,2014,2,30-Jul-14
,36,Mfw,10,2014,2,21-Jan-14
,35,Mbl1,10,2014,2,30-Jul-14
,30,Mbl1,10,2014,2,30-Jul-14
,35,Mbl1,10,2014,2,30-Jul-14
,108,Srk,10,2014,2,14-Aug-14
,36,Mfw,10,2014,2,21-Jan-14
,22,Srk,10,2014,2,14-Aug-14
,28,Srk,10,2014,2,14-Aug-14
,51,Mbl1,10,2014,2,30-Jul-14
,60,Mfw,10,2014,2,21-Jan-14
,40,Mfw,10,2014,2,21-Jan-14
,74,Mfw,10,2014,2,21-Jan-14
,29,Srk,10,2014,2,14-Aug-14
,34,Mbl1,10,2014,2,30-Jul-14
,48,Mfw,10,2014,2,21-Jan-14
,33,Srk,10,2014,2,14-Aug-14
,30,Mbl1,10,2014,2,21-Oct-14
,50,Mfw,10,2014,2,21-Jan-14
,29,Mfw,10,2014,2,21-Jan-14
,28,Srk,10,2014,2,14-Aug-14
,46,Srk,10,2014,2,14-Aug-14
,51,Mfw,10,2014,2,21-Jan-14
,61,Mfw,10,2014,2,21-Jan-14
,27,Mbl1,10,2014,2,30-Jul-14
,33,Mbl1,10,2014,2,30-Jul-14
,28,Srk,10,2014,2,14-Aug-14
,29,Srk,10,2014,2,14-Aug-14
,46,Mfw,10,2014,2,21-Jan-14
,114,Mfw,10,2014,2,21-Jan-14
,33,Mfw,10,2014,2,21-Jan-14
,24,Srk,10,2014,2,14-Aug-14
,25,Srk,10,2014,2,14-Aug-14
,45,Srk,10,2014,2,14-Aug-14
,66,Mfw,10,2014,2,21-Jan-14
,30,Mbl1,10,2014,2,30-Jul-14
,34,Srk,10,2014,2,14-Aug-14
,31,Srk,10,2014,2,14-Aug-14
,32,Srk,10,2014,2,14-Aug-14
,41,Mbl1,10,2014,2,30-Jul-14
,38,Mfw,10,2014,2,21-Jan-14
,49,Mfw,10,2014,2,21-Jan-14
,36,Mfw,10,2014,2,21-Jan-14
,51,Mfw,10,2014,2,21-Jan-14
,38,Mfw,10,2014,2,21-Jan-14
,57,Mfw,10,2014,2,21-Jan-14
,16,Srk,10,2014,2,14-Aug-14
,36,Srk,10,2014,2,14-Aug-14
,54,Mfw,10,2014,2,21-Jan-14
,72,Mfw,10,2014,2,21-Jan-14
,23,Srk,10,2014,2,14-Aug-14
,88,Mfw,10,2014,2,21-Jan-14
,49,Mbl1,10,2014,2,30-Jul-14
,31,Mfw,10,2014,2,21-Jan-14
,29,Mfw,10,2014,2,04-Dec-13
,26,Mfw,10,2014,2,21-Jan-14
,28,Mfw,10,2014,2,21-Jan-14
,53,Mfw,10,2014,2,21-Jan-14
,999,Mfw,10,2014,2,21-Jan-14
,32,Srk,10,2014,2,14-Aug-14
,71,Mfw,10,2014,2,21-Jan-14
,36,Srk,10,2014,2,14-Aug-14
,39,Srk,10,2014,2,14-Aug-14
,16,Srk,10,2014,2,14-Aug-14
,33,Mfw,10,2014,2,21-Jan-14
,113,Mfw,10,2014,2,21-Jan-14
,70,Mfw,10,2014,2,21-Jan-14
,44,Mfw,10,2014,2,21-Jan-14
,30,Mbl1,10,2014,2,30-Jul-14
,27,Srk,10,2014,2,14-Aug-14
,24,Srk,10,2014,2,14-Aug-14
,47,Mfw,10,2014,2,04-Dec-13
,50,Mfw,10,2014,2,21-Jan-14
,43,Mbl1,10,2014,2,30-Jul-14
,32,Srk,10,2014,2,14-Aug-14
,32,Mbl1,10,2014,2,30-Jul-14
,66,Srk,10,2014,2,14-Aug-14
,27,Srk,10,2014,2,14-Aug-14
,60,Mfw,10,2014,2,21-Jan-14
,25,Mbl1,10,2014,2,30-Jul-14
,21,Mbl1,10,2014,2,30-Jul-14
,60,Mbl1,10,2014,2,30-Jul-14
,25,Srk,10,2014,2,14-Aug-14
,64,Mfw,10,2014,2,21-Jan-14
,41,Mfw,10,2014,2,21-Jan-14
