ID,cem301_attendees_total,cem011_prgrm,month,year,cem009_country
,40,Kibuku 3,5,2013,2
,63,Kibuku 3,5,2013,2
,38,Kibuku 3,5,2013,2
,72,Kibuku 3,5,2013,2
,38,Kibuku 3,5,2013,2
,45,Kibuku 3,5,2013,2
,23,Kibuku 3,5,2013,2
,35,Kibuku 3,5,2013,2
,57,Kibuku 3,5,2013,2
,30,Kibuku 3,5,2013,2
,22,Kibuku 3,5,2013,2
,34,Kibuku 3,5,2013,2
,34,Kibuku 3,5,2013,2
,79,Kibuku 3,5,2013,2
,70,Kibuku 3,5,2013,2
,32,Kibuku 3,5,2013,2
,89,Kibuku 3,5,2013,2
,52,Kibuku 3,5,2013,2
,46,Kibuku 3,5,2013,2
,37,Kibuku 3,5,2013,2
,60,Kibuku 3,5,2013,2
,26,Kibuku 3,5,2013,2
,35,Kibuku 3,5,2013,2
,25,Kibuku 3,5,2013,2
,89,Kibuku 3,5,2013,2
,50,Kibuku 3,5,2013,2
,46,Kibuku 3,5,2013,2
,49,Kibuku 3,5,2013,2
,25,Kibuku 3,5,2013,2
,46,Kibuku 3,5,2013,2
,41,Kibuku 3,5,2013,2
,67,Kibuku 3,5,2013,2
,37,Kibuku 3,5,2013,2
,40,Kibuku 3,5,2013,2
,70,Kibuku 3,5,2013,2
,22,Kibuku 3,5,2013,2
,35,Kibuku 3,5,2013,2
,36,Kibuku 3,5,2013,2
,48,Kibuku 3,5,2013,2
,67,Kibuku 3,5,2013,2
,40,Kibuku 3,5,2013,2
,49,Kibuku 3,5,2013,2
,30,Kibuku 3,5,2013,2
,50,Kibuku 3,5,2013,2
,39,Kibuku 3,5,2013,2
,40,Kibuku 4,5,2013,2
,45,Kibuku 3,5,2013,2
,27,Kibuku 3,5,2013,2
,28,Kibuku 3,5,2013,2
,22,Kibuku 3,5,2013,2
,83,Kibuku 3,5,2013,2
,45,Kibuku 3,5,2013,2
,43,Kibuku 3,5,2013,2
,46,Kibuku 3,5,2013,2
,33,Kibuku 3,5,2013,2
,35,Kibuku 4,5,2013,2
,60,Kibuku 3,5,2013,2
,56,Kibuku 3,5,2013,2
,33,Kibuku 3,5,2013,2
,24,Kibuku 3,5,2013,2
,38,Kibuku 3,5,2013,2
,63,Kibuku 3,5,2013,2
,42,Kibuku 3,5,2013,2
,39,Kibuku 3,5,2013,2
,86,Kibuku 3,5,2013,2
,40,Kibuku 3,5,2013,2
,21,Kibuku 3,5,2013,2
,25,Kibuku 3,5,2013,2
,61,Kibuku 3,5,2013,2
,28,Kibuku 3,5,2013,2
,59,Kibuku 3,5,2013,2
,41,Kibuku 3,5,2013,2
,32,Kibuku 3,5,2013,2
,41,Kibuku 3,5,2013,2
,60,Kibuku 3,5,2013,2
,50,Kibuku 3,5,2013,2
,54,Kibuku 3,5,2013,2
,31,Kibuku 3,5,2013,2
,40,Kibuku 3,5,2013,2
,13,Kibuku 3,5,2013,2
,74,Kibuku 3,5,2013,2
,56,Kibuku 3,5,2013,2
,38,Kibuku 3,5,2013,2
,40,Kibuku 3,5,2013,2
,40,Kibuku 3,5,2013,2
,31,Kibuku 3,5,2013,2
,42,Kibuku 3,5,2013,2
,35,Kibuku 3,5,2013,2
,24,Kibuku 3,5,2013,2
,35,Kibuku 3,5,2013,2
