id,cem102_wpt_id,cem011_prgrm,cem301_attendees_total,cem009_country,month,year,cem005_today
,10162066,Once Acre Fund,37,1,5,2013,30may2013
,10161099,Once Acre Fund,19,1,5,2013,30may2013
,10181499,Once Acre Fund,32,1,5,2013,30may2013
,10161086,Once Acre Fund,23,1,5,2013,30may2013
,10163105,Once Acre Fund,23,1,5,2013,30may2013
,10181492,Once Acre Fund,12,1,5,2013,30may2013
,10163106,Once Acre Fund,22,1,5,2013,30may2013
,10182001,Once Acre Fund,24,1,5,2013,30may2013
,10181254,Once Acre Fund,21,1,5,2013,30may2013
,10181547,Once Acre Fund,24,1,5,2013,30may2013
,10181497,Once Acre Fund,17,1,5,2013,30may2013
,10162847,Once Acre Fund,24,1,5,2013,30may2013
,10162233,Once Acre Fund,27,1,5,2013,30may2013
,10161097,Once Acre Fund,21,1,5,2013,30may2013
,10160757,Once Acre Fund,17,1,5,2013,30may2013
,10181304,Once Acre Fund,15,1,5,2013,31may2013
,10181347,Once Acre Fund,20,1,5,2013,31may2013
,10181302,Once Acre Fund,25,1,5,2013,31may2013
,10160756,Once Acre Fund,17,1,5,2013,31may2013
,10160766,Once Acre Fund,20,1,5,2013,31may2013
,10160754,Once Acre Fund,26,1,5,2013,31may2013
,10181653,Once Acre Fund,24,1,5,2013,31may2013
,10160796,Once Acre Fund,19,1,5,2013,31may2013
,10161194,Once Acre Fund,22,1,5,2013,31may2013
,10160773,Once Acre Fund,20,1,5,2013,31may2013
,10181403,Once Acre Fund,22,1,5,2013,31may2013
,10161192,Once Acre Fund,16,1,5,2013,31may2013
,10161231,Once Acre Fund,21,1,5,2013,31may2013
,10160789,Once Acre Fund,17,1,5,2013,31may2013
,10160779,Once Acre Fund,18,1,5,2013,31may2013
,10161223,Once Acre Fund,24,1,5,2013,31may2013
,10181305,Once Acre Fund,21,1,5,2013,31may2013
,10161195,Once Acre Fund,23,1,5,2013,31may2013
,10161183,Once Acre Fund,19,1,5,2013,31may2013
,10181309,Once Acre Fund,19,1,5,2013,31may2013
,10160765,Once Acre Fund,24,1,5,2013,31may2013
,10161216,Once Acre Fund,24,1,5,2013,31may2013
,10181433,Once Acre Fund,15,1,6,2013,03-Jun-13
,10181569,Once Acre Fund,21,1,6,2013,03-Jun-13
,10163116,Once Acre Fund,25,1,6,2013,03-Jun-13
,10181338,Once Acre Fund,36,1,6,2013,03-Jun-13
,10181582,Once Acre Fund,17,1,6,2013,03-Jun-13
,10161094,Once Acre Fund,25,1,6,2013,03-Jun-13
,10163085,Once Acre Fund,18,1,6,2013,03-Jun-13
,10181258,Once Acre Fund,25,1,6,2013,03-Jun-13
,10181434,Once Acre Fund,22,1,6,2013,03-Jun-13
,10161511,Once Acre Fund,20,1,6,2013,03-Jun-13
,10160471,Once Acre Fund,22,1,6,2013,03-Jun-13
,10163090,Once Acre Fund,22,1,6,2013,03-Jun-13
,10181583,Once Acre Fund,17,1,6,2013,03-Jun-13
,10181585,Once Acre Fund,16,1,6,2013,03-Jun-13
,10181733,Once Acre Fund,18,1,6,2013,03-Jun-13
,10160463,Once Acre Fund,26,1,6,2013,03-Jun-13
,10161513,Once Acre Fund,21,1,6,2013,03-Jun-13
,10163087,Once Acre Fund,19,1,6,2013,03-Jun-13
,10160469,Once Acre Fund,18,1,6,2013,03-Jun-13
,10181470,Once Acre Fund,24,1,6,2013,03-Jun-13
,10160465,Once Acre Fund,16,1,6,2013,03-Jun-13
,10160467,Once Acre Fund,16,1,6,2013,03-Jun-13
,10181477,Once Acre Fund,21,1,6,2013,03-Jun-13
,10161466,Once Acre Fund,23,1,6,2013,03-Jun-13
,10166233,Once Acre Fund,15,1,6,2013,03-Jun-13
,10162403,Once Acre Fund,40,1,6,2013,04-Jun-13
,10182013,Once Acre Fund,28,1,6,2013,04-Jun-13
,10166018,Once Acre Fund,19,1,6,2013,04-Jun-13
,10162085,Once Acre Fund,21,1,6,2013,04-Jun-13
,10181420,Once Acre Fund,20,1,6,2013,04-Jun-13
,10181340,Once Acre Fund,29,1,6,2013,04-Jun-13
,10162723,Once Acre Fund,22,1,6,2013,04-Jun-13
,10163592,Once Acre Fund,26,1,6,2013,04-Jun-13
,10162554,Once Acre Fund,20,1,6,2013,04-Jun-13
,10181257,Once Acre Fund,20,1,6,2013,04-Jun-13
,10181253,Once Acre Fund,22,1,6,2013,04-Jun-13
,10162162,Once Acre Fund,41,1,6,2013,04-Jun-13
,10166240,Once Acre Fund,21,1,6,2013,04-Jun-13
,10181665,Once Acre Fund,22,1,6,2013,04-Jun-13
,10166238,Once Acre Fund,22,1,6,2013,04-Jun-13
,10162555,Once Acre Fund,20,1,6,2013,04-Jun-13
,10166016,Once Acre Fund,16,1,6,2013,04-Jun-13
,10162860,Once Acre Fund,21,1,6,2013,04-Jun-13
,10181421,Once Acre Fund,23,1,6,2013,04-Jun-13
,10163084,Once Acre Fund,12,1,6,2013,04-Jun-13
,10162089,Once Acre Fund,25,1,6,2013,04-Jun-13
,10181500,Once Acre Fund,35,1,6,2013,04-Jun-13
,10181368,Once Acre Fund,22,1,6,2013,04-Jun-13
,10161516,Once Acre Fund,28,1,6,2013,04-Jun-13
,10181591,Once Acre Fund,21,1,6,2013,04-Jun-13
,10162644,Once Acre Fund,15,1,6,2013,04-Jun-13
,10181548,Once Acre Fund,16,1,6,2013,04-Jun-13
,10181631,Once Acre Fund,21,1,6,2013,04-Jun-13
,10162923,Once Acre Fund,23,1,6,2013,04-Jun-13
,10162623,Once Acre Fund,21,1,6,2013,05-Jun-13
,10181674,Once Acre Fund,32,1,6,2013,05-Jun-13
,10181237,Once Acre Fund,21,1,6,2013,05-Jun-13
,10162850,Once Acre Fund,28,1,6,2013,05-Jun-13
,10163553,Once Acre Fund,17,1,6,2013,05-Jun-13
,10181365,Once Acre Fund,22,1,6,2013,05-Jun-13
,10162545,Once Acre Fund,26,1,6,2013,05-Jun-13
,10181575,Once Acre Fund,19,1,6,2013,05-Jun-13
,10181447,Once Acre Fund,15,1,6,2013,05-Jun-13
,10162953,Once Acre Fund,18,1,6,2013,05-Jun-13
,10181236,Once Acre Fund,16,1,6,2013,05-Jun-13
,10162840,Once Acre Fund,11,1,6,2013,05-Jun-13
,10163552,Once Acre Fund,23,1,6,2013,05-Jun-13
,10162063,Once Acre Fund,30,1,6,2013,05-Jun-13
,10162920,Once Acre Fund,19,1,6,2013,05-Jun-13
,10181598,Once Acre Fund,23,1,6,2013,05-Jun-13
,10181318,Once Acre Fund,21,1,6,2013,05-Jun-13
,10162846,Once Acre Fund,24,1,6,2013,05-Jun-13
,10162688,Once Acre Fund,17,1,6,2013,05-Jun-13
,10162051,Once Acre Fund,22,1,6,2013,05-Jun-13
,10181361,Once Acre Fund,17,1,6,2013,05-Jun-13
,10162050,Once Acre Fund,23,1,6,2013,05-Jun-13
,10181561,Once Acre Fund,19,1,6,2013,05-Jun-13
,10163554,Once Acre Fund,26,1,6,2013,05-Jun-13
,10166174,Once Acre Fund,16,1,6,2013,05-Jun-13
,10162957,Once Acre Fund,27,1,6,2013,05-Jun-13
,10162958,Once Acre Fund,24,1,6,2013,05-Jun-13
,10162687,Once Acre Fund,16,1,6,2013,05-Jun-13
,10181363,Once Acre Fund,26,1,6,2013,05-Jun-13
,10181328,Once Acre Fund,27,1,6,2013,06-Jun-13
,10181533,Once Acre Fund,53,1,6,2013,06-Jun-13
,10161520,Once Acre Fund,22,1,6,2013,06-Jun-13
,10161083,Once Acre Fund,20,1,6,2013,06-Jun-13
,10182002,Once Acre Fund,18,1,6,2013,06-Jun-13
,10181698,Once Acre Fund,17,1,6,2013,06-Jun-13
,10161085,Once Acre Fund,16,1,6,2013,06-Jun-13
,10160476,Once Acre Fund,35,1,6,2013,06-Jun-13
,10162530,Once Acre Fund,23,1,6,2013,06-Jun-13
,10180724,Once Acre Fund,17,1,6,2013,06-Jun-13
,10180604,Once Acre Fund,20,1,6,2013,06-Jun-13
,10181553,Once Acre Fund,21,1,6,2013,06-Jun-13
,10160472,Once Acre Fund,20,1,6,2013,06-Jun-13
,10181610,Once Acre Fund,20,1,6,2013,06-Jun-13
,10181518,Once Acre Fund,17,1,6,2013,06-Jun-13
,10160790,Once Acre Fund,20,1,6,2013,06-Jun-13
,10166304,Once Acre Fund,21,1,6,2013,08-Jun-13
,10160864,Once Acre Fund,15,1,6,2013,08-Jun-13
,10162507,Once Acre Fund,44,1,6,2013,08-Jun-13
,10162901,Once Acre Fund,15,1,6,2013,08-Jun-13
,10166033,Once Acre Fund,20,1,6,2013,10-Jun-13
,10160947,Once Acre Fund,22,1,6,2013,10-Jun-13
,10161035,Once Acre Fund,21,1,6,2013,10-Jun-13
,10162827,Once Acre Fund,24,1,6,2013,10-Jun-13
,10162010,Once Acre Fund,31,1,6,2013,11-Jun-13
,10162699,Once Acre Fund,22,1,6,2013,15-Jun-13
,10162698,Once Acre Fund,24,1,6,2013,15-Jun-13
,10160134,Once Acre Fund,26,1,6,2013,15-Jun-13
,10160123,Once Acre Fund,22,1,6,2013,15-Jun-13
,10162496,Once Acre Fund,18,1,6,2013,17-Jun-13
,10160142,Once Acre Fund,20,1,6,2013,17-Jun-13
,10160175,Once Acre Fund,18,1,6,2013,17-Jun-13
,10160155,Once Acre Fund,20,1,6,2013,17-Jun-13
,10181451,Once Acre Fund,25,1,6,2013,17-Jun-13
,10160169,Once Acre Fund,24,1,6,2013,17-Jun-13
,10160174,Once Acre Fund,16,1,6,2013,17-Jun-13
,10160133,Once Acre Fund,16,1,6,2013,17-Jun-13
,10160132,Once Acre Fund,23,1,6,2013,17-Jun-13
,10160177,Once Acre Fund,29,1,6,2013,17-Jun-13
