id,cr011_prgrm,cr102_wpt_id,total_chl_used,total_period_day,total_period_30day,avrg_30day_usage,avrg_30day_usage_litres,num_of_Deliveries,Jerrican_delivered,date_of_first_delivery,date_of_last_delivery,month,year,country,
,VHG,10230429,11,563,18.76667,0.5861456,2.930728,6,13,2014/03/06,2015/09/20,9,2015,1,
,VHG,10230430,15,563,18.76667,0.7992895,3.996448,7,17,2014/03/06,2015/09/20,9,2015,1,
,VHG,10230431,6,563,18.76667,0.3197158,1.598579,3,7,2014/03/06,2015/09/20,9,2015,1,
,VHG,10230432,7,537,17.9,0.3910615,1.955307,4,9,2014/03/07,2015/08/26,8,2015,1,
,VHG,10230433,11,537,17.9,0.6145251,3.072626,6,13,2014/03/07,2015/08/26,8,2015,1,
,VHG,10230434,5,504,16.8,0.2976191,1.488095,3,7,2014/03/10,2015/07/27,7,2015,1,
,VHG,10230435,9,562,18.73333,0.480427,2.402135,5,11,2014/03/07,2015/09/20,9,2015,1,
,VHG,10230436,8,492,16.4,0.4878049,2.439024,4,10,2014/01/21,2015/05/28,5,2015,1,
,VHG,10230437,7,562,18.73333,0.3736655,1.868327,4,9,2014/03/07,2015/09/20,9,2015,1,
,VHG,10230438,13,587,19.56667,0.6643952,3.321976,7,15,2014/02/14,2015/09/24,9,2015,1,
,VHG,10230439,13,586,19.53333,0.665529,3.327645,8,15,2014/02/14,2015/09/23,9,2015,1,
,VHG,10230440,12,588,19.6,0.6122449,3.061224,6,14,2014/02/12,2015/09/23,9,2015,1,
,VHG,10230441,13,586,19.53333,0.665529,3.327645,7,15,2014/02/14,2015/09/23,9,2015,1,
,VHG,10230442,11,603,20.1,0.5472637,2.736318,6,13,2014/01/28,2015/09/23,9,2015,1,
,VHG,10230443,7,517,17.23333,0.4061896,2.030948,4,9,2014/05/07,2015/10/06,10,2015,1,
,VHG,10230444,12,600,20,0.6,3,6,13,2014/03/01,2015/10/22,10,2015,1,
,VHG,10230445,15,575,19.16667,0.7826087,3.913044,7,17,2014/02/26,2015/09/24,9,2015,1,
,VHG,10230446,8,422,14.06667,0.5687204,2.843602,4,9,2014/06/25,2015/08/21,8,2015,1,
,VHG,10230447,12,602,20.06667,0.5980066,2.990033,6,13,2014/02/27,2015/10/22,10,2015,1,
,VHG,10230448,5,508,16.93333,0.2952756,1.476378,3,7,2014/02/27,2015/07/20,7,2015,1,
,VHG,10230449,11,622,20.73333,0.5305466,2.652733,6,13,2014/01/21,2015/10/05,10,2015,1,
,VHG,10230450,17,633,21.1,0.8056872,4.028436,8,19,2014/01/10,2015/10/05,10,2015,1,
,VHG,10230451,11,513,17.1,0.6432748,3.216374,6,13,2014/04/28,2015/09/23,9,2015,1,
,VHG,10230452,12,587,19.56667,0.6132879,3.066439,6,13,2014/02/26,2015/10/06,10,2015,1,
,VHG,10230453,8,511,17.03333,0.4696673,2.348337,5,10,2014/04/30,2015/09/23,9,2015,1,
,VHG,10230454,4,511,17.03333,0.2348337,1.174168,3,6,2014/04/30,2015/09/23,9,2015,1,
,VHG,10230455,5,399,13.3,0.3759398,1.879699,3,7,2014/06/13,2015/07/17,7,2015,1,
,VHG,10230456,9,574,19.13333,0.4703833,2.351916,6,12,2014/02/13,2015/09/15,9,2015,1,
,VHG,10230457,11,579,19.3,0.5699482,2.849741,6,13,2014/02/13,2015/09/15,9,2015,1,
,VHG,10230458,10,600,20,0.5,2.5,6,12,2014/01/31,2015/09/23,9,2015,1,
,VHG,10230459,2,579,19.3,0.1036269,0.5181347,2,4,2014/02/13,2015/09/15,9,2015,1,
,VHG,10230460,10,587,19.56667,0.5110732,2.555366,6,12,2014/02/13,2015/09/23,9,2015,1,
,VHG,10230461,10,505,16.83333,0.5940594,2.970297,6,12,2014/04/28,2015/09/15,9,2015,1,
,VHG,10230462,16,579,19.3,0.8290156,4.145078,8,18,2014/02/13,2015/09/15,9,2015,1,
,VHG,10230463,1,60,2,0.5,2.5,2,3,2015/07/17,2015/09/15,9,2015,1,
,VHG,10230464,10,579,19.3,0.5181347,2.590673,6,11,2014/02/13,2015/09/15,9,2015,1,
,VHG,10230465,3,477,15.9,0.1886792,0.9433962,2,4,2014/05/07,2015/08/27,8,2015,1,
,VHG,10230466,1,82,2.733333,0.3658537,1.829268,2,4,2014/02/14,2014/05/07,5,2014,1,
,VHG,10230467,3,82,2.733333,1.097561,5.487805,2,4,2014/02/14,2014/05/07,5,2014,1,
,VHG,10230468,5,551,18.36667,0.2722323,1.361161,3,6,2014/02/14,2015/08/19,8,2015,1,
,VHG,10230469,2,62,2.066667,0.967742,4.83871,2,4,2014/02/14,2014/04/17,4,2014,1,
,VHG,10230470,1,62,2.066667,0.483871,2.419355,2,4,2014/02/14,2014/04/17,4,2014,1,
,VHG,10230471,1,88,2.933333,0.3409091,1.704545,2,4,2014/02/14,2014/05/13,5,2014,1,
,VHG,10230472,1,88,2.933333,0.3409091,1.704545,2,4,2014/02/14,2014/05/13,5,2014,1,
,VHG,10230473,5,564,18.8,0.2659574,1.329787,3,6,2014/02/17,2015/09/04,9,2015,1,
,VHG,10230474,2,62,2.066667,0.967742,4.83871,2,4,2014/02/14,2014/04/17,4,2014,1,
,VHG,10230475,3,88,2.933333,1.022727,5.113636,2,4,2014/02/14,2014/05/13,5,2014,1,
,VHG,10230476,1,59,1.966667,0.5084746,2.542373,2,4,2014/02/17,2014/04/17,4,2014,1,
,VHG,10230477,5,133,4.433333,1.12782,5.639098,4,8,2014/02/17,2014/06/30,6,2014,1,
,VHG,10230478,8,598,19.93333,0.4013378,2.006689,5,10,2014/02/17,2015/10/08,10,2015,1,
,VHG,10230479,8,569,18.96667,0.4217926,2.108963,5,10,2014/02/17,2015/09/09,9,2015,1,
,VHG,10230480,12,569,18.96667,0.6326889,3.163445,6,14,2014/02/17,2015/09/09,9,2015,1,
,VHG,10230481,7,485,16.16667,0.4329897,2.164948,4,8,2014/05/12,2015/09/09,9,2015,1,
,VHG,10230482,2,49,1.633333,1.22449,6.122449,2,4,2014/05/12,2014/06/30,6,2014,1,
,VHG,10230483,11,487,16.23333,0.6776181,3.38809,6,13,2014/04/29,2015/08/29,8,2015,1,
,VHG,10230484,13,557,18.56667,0.7001795,3.500898,6,14,2014/02/18,2015/08/29,8,2015,1,
