ID,cem301_attendees_total,cem0_prgrm,month,year,country
,25,KBK,5,2013,2
,49,KBK3,5,2013,2
,35,KBK3,5,2013,2
,35,KBK3,5,2013,2
,39,KBK3,5,2013,2
,38,KBK3,5,2013,2
,61,KBK3,5,2013,2
,56,KBK3,5,2013,2
,40,KBK3,5,2013,2
,27,KBK3,5,2013,2
,43,KBK3,5,2013,2
,50,KBK3,5,2013,2
,45,KBK2,5,2013,2
,43,KBK3,5,2013,2
,36,KBK2,5,2013,2
,48,KBK3,5,2013,2
,12,KBK3,5,2013,2
,49,KBK3,5,2013,2
,52,KBK,5,2013,2
,14,KBK3,5,2013,2
,40,KBK3,5,2013,2
,41,KBK3,5,2013,2
,67,KBK3,5,2013,2
,40,KBK,5,2013,2
,39,KBK3,5,2013,2
,60,KBK3,5,2013,2
,30,KBK3,5,2013,2
,52,KBK3,5,2013,2
,46,KBK3,5,2013,2
,47,KBK3,5,2013,2
,62,KBK3,5,2013,2
,28,KBK3,5,2013,2
,42,KBK3,5,2013,2
,31,KBK3,5,2013,2
,30,KBK3,5,2013,2
,35,KBK4,5,2013,2
,27,KBK3,5,2013,2
,41,KBK3,5,2013,2
,60,KBK3,5,2013,2
,60,KBK3,5,2013,2
,28,KBK4,5,2013,2
,47,KBK3,5,2013,2
,96,KBK3,5,2013,2
,28,KBK4,5,2013,2
,47,KBK3,5,2013,2
,55,KBK3,5,2013,2
,28,KBK3,5,2013,2
,51,KBK3,5,2013,2
,31,KBK3,5,2013,2
,38,KBK4,5,2013,2
,15,KBK3,5,2013,2
,,KBK3,5,2013,2
,43,KBK3,5,2013,2
,72,KBK3,5,2013,2
,78,KBK3,5,2013,2
,60,KBK3,5,2013,2
,43,KBK3,5,2013,2
,36,KBK3,5,2013,2
,45,KBK3,5,2013,2
,40,KBK3,5,2013,2
,57,KBK3,5,2013,2
,35,KBK3,5,2013,2
,78,KBK3,5,2013,2
,40,KBK3,5,2013,2
,38,KBK3,5,2013,2
,63,KBK3,5,2013,2
,51,KBK3,5,2013,2
,38,KBK3,5,2013,2
,41,KBK3,5,2013,2
,36,KBK3,5,2013,2
,23,KBK3,5,2013,2
,79,KBK3,5,2013,2
,34,KBK3,5,2013,2
,30,KBK3,5,2013,2
,34,KBK3,5,2013,2
,89,KBK3,5,2013,2
,70,KBK3,5,2013,2
,22,KBK3,5,2013,2
,32,KBK3,5,2013,2
,37,KBK3,5,2013,2
,46,KBK3,5,2013,2
,60,KBK3,5,2013,2
,35,KBK3,5,2013,2
,89,KBK3,5,2013,2
,26,KBK3,5,2013,2
,70,KBK3,5,2013,2
,41,KBK3,5,2013,2
,25,KBK3,5,2013,2
,46,KBK3,5,2013,2
,49,KBK3,5,2013,2
,40,KBK3,5,2013,2
,25,KBK3,5,2013,2
,46,KBK3,5,2013,2
,67,KBK3,5,2013,2
,50,KBK3,5,2013,2
,52,KBK3,5,2013,2
