ID,t011_prgrm,t311_wpt_pass,t301_wpt_flow_rate,t302_landowner_personality,t302a_rep_WSB_talkedto,t302b_rep_WSB_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t009_country,month,year
,BTJ,1,,,1,1,1,,,,,59,1,2,10,2014
,BTJ,0,,,,,0,,,,,,,2,10,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,0,,,,,1,,,,,,,2,10,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,1,,,1,1,1,,,,,58.33333333,1,2,10,2014
,BTJ,0,,,,,0,,,,,,,2,11,2014
,BTJ,1,,,1,1,1,,,,,50,1,2,10,2014
,BTJ,1,,,1,1,1,,,,9,50,1,2,11,2014
,BTJ,1,,,0,,1,,,,,433.3333333,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,65,1,2,10,2014
,BTJ,1,,,1,1,1,,,,9,12,1,2,10,2014
,BTJ,1,,,0,,1,,,,9,30,1,2,10,2014
,BTJ,0,0,,,,,,,,,,,2,3,2015
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,1,,,,,1,,,,,73.75,1,2,11,2014
,BTJ,1,,,1,1,1,,,,,135,1,2,11,2014
,BTJ,1,,,1,1,1,,,,,75.83333333,1,2,11,2014
,BTJ,0,,,,,0,,,,,,,2,10,2014
,BTJ,1,,,1,1,1,,,,,25,1,2,10,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,0,,,,,0,,,,,,,2,11,2014
,BTJ,0,,,0,,1,,,,,,,2,10,2014
,BTJ,1,,,,,1,,,,,300,1,2,11,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,1,,,1,1,1,,,,,30,1,2,10,2014
,BTJ,0,,,,,,,,,,,,2,10,2014
,BTJ,0,,,,,0,,,,,,,2,11,2014
,BTJ,1,,,,,1,,,,,50,1,2,11,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,1,,,1,1,1,,,,,67.33333333,1,2,10,2014
,BTJ,1,,,0,,1,,,,,60,1,2,11,2014
,BTJ,0,,,1,1,1,,,,,166.6666667,0,2,10,2014
,BTJ,1,,,0,,1,,,,,25,1,2,10,2014
,BTJ,1,,,,,1,,,,,23,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,18.75,1,2,10,2014
,BTJ,0,,,,,0,,,,,,,2,10,2014
,BTJ,0,,,,,,,,,,,,2,10,2014
,BTJ,1,,,0,,1,,,,,80,1,2,11,2014
,BTJ,1,,,1,1,1,,,,,68.33333333,1,2,10,2014
,BTJ,0,,,1,1,1,,,,1,,,2,10,2014
,BTJ,0,,,0,,1,,,,5,,,2,11,2014
,BTJ,1,,,1,1,1,,,,,60,1,2,11,2014
,BTJ,1,,,1,1,1,,,,11,90,1,2,11,2014
,BTJ,1,,,0,,1,,,,,93.33333333,1,2,11,2014
,BTJ,1,,,0,,1,,,,,76.66666667,1,2,10,2014
,BTJ,1,,,0,,1,,,,,200,1,2,11,2014
,BTJ,1,,,1,1,1,,,,,33.75,1,2,10,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,1,,,0,,1,,,,,78.33333333,1,2,11,2014
,BTJ,1,,,1,1,1,,,,,39,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,44.16666667,1,2,10,2014
,BTJ,1,,,0,,1,,,,,30,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,35,1,2,10,2014
,BTJ,0,,,,,0,,,,,,,2,10,2014
,BTJ,0,,,,,,,,,,,,2,10,2014
,BTJ,0,,,,,1,,,,,,,2,10,2014
,BTJ,1,,,,,1,,,,,50,1,2,10,2014
,BTJ,0,,,1,1,1,,,,,90,0,2,10,2014
,BTJ,1,,,1,1,1,,,,,80,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,62.5,1,2,10,2014
,BTJ,0,0,,1,1,0,,,,,,,2,3,2015
,BTJ,0,,,,,0,,,,,,,2,10,2014
,BTJ,1,,,1,1,1,,,,,71.66666667,1,2,11,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,1,,,1,1,1,,,,,50,1,2,10,2014
,BTJ,1,,,0,,1,,,,,80,1,2,11,2014
,BTJ,0,,,1,1,1,,,,,28.33333333,0,2,10,2014
,BTJ,1,,,1,1,1,,,,,68,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,143.3333333,1,2,11,2014
,BTJ,1,,,0,,1,,,,,50,1,2,11,2014
,BTJ,1,,,,,1,,,,,76,1,2,10,2014
,BTJ,1,,,,,1,,,,,80,1,2,10,2014
,BTJ,0,,,1,1,1,,,,,63.33333333,0,2,10,2014
,BTJ,0,,,1,1,1,,,,,,,2,10,2014
,BTJ,0,,,,,1,,,,,,,2,11,2014
,BTJ,1,,,,,1,,,,,90,1,2,10,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,1,,,1,1,1,,,,,99.58333333,1,2,11,2014
,BTJ,1,,,0,,1,,,,,80,1,2,11,2014
,BTJ,0,,,1,1,1,,,,,,,2,10,2014
,BTJ,1,,,0,,1,,,,,40,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,50,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,55,1,2,10,2014
,BTJ,1,,,0,,1,,,,,80,1,2,11,2014
,BTJ,1,,,0,,1,,,,,20,1,2,11,2014
,BTJ,0,,,1,1,1,,,,,,,2,10,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,0,,,0,,0,,,,,,,2,10,2014
,BTJ,0,,,,,0,,,,,,,2,10,2014
,BTJ,0,,,0,,0,,,,,,,2,10,2014
,BTJ,0,,,,,,,,,,,,2,10,2014
,BTJ,0,,,,,0,,,,,,,2,10,2014
,BTJ,1,,,0,,1,,,,,106.6666667,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,70,1,2,10,2014
,BTJ,1,,,0,,1,,,,,100,1,2,10,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,1,,,1,1,1,,,,,75,1,2,10,2014
,BTJ,1,,,0,,1,,,,,400,1,2,11,2014
,BTJ,1,,,,,1,,,,,30,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,98.33333333,1,2,11,2014
,BTJ,1,,,1,1,1,,,,,47.91666667,1,2,10,2014
,BTJ,1,,,0,,1,,,,,50,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,40,1,2,10,2014
,BTJ,1,,,0,,1,,,,,350,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,90,1,2,10,2014
,BTJ,1,,,0,,1,,,,,40,1,2,11,2014
,BTJ,1,,,0,,1,,,,,80,1,2,11,2014
,BTJ,1,,,1,1,1,,,,,51.5,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,233.3333333,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,100,1,2,10,2014
,BTJ,1,1,,1,1,1,,3,3,,61.66666794,1,2,3,2015
,BTJ,1,,,1,1,1,,,,,175,1,2,11,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,1,,,0,,1,,,,,32,1,2,10,2014
,BTJ,1,,,0,,1,,,,,23.33333333,1,2,10,2014
,BTJ,1,,,0,,1,,,,,120,1,2,11,2014
,BTJ,1,,,0,,1,,,,,180,1,2,10,2014
,BTJ,0,,,0,,0,,,,,,,2,11,2014
,BTJ,1,,,1,1,1,,,,,45,1,2,10,2014
,BTJ,1,,,,,1,,,,,19,1,2,11,2014
,BTJ,1,,,1,1,1,,,,,60,1,2,11,2014
,BTJ,1,,,1,1,1,,,,,40,1,2,11,2014
,BTJ,0,,,,,0,,,,,,,2,10,2014
,BTJ,0,,,,,0,,,,,,,2,10,2014
,BTJ,0,,,,,,,,,,,,2,10,2014
,BTJ,1,,,0,,1,,,,,36,1,2,11,2014
,BTJ,1,,,1,1,1,,,,,150,1,2,11,2014
,BTJ,0,,,,,,,,,,,,2,10,2014
,BTJ,0,,,,,,,,,,,,2,10,2014
,BTJ,0,,,,,0,,,,,,,2,10,2014
,BTJ,1,,,1,1,1,,,,,135,1,2,10,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,1,,,1,1,1,,,,,27.08333333,1,2,11,2014
,BTJ,0,,,1,1,1,,,,,47.5,0,2,10,2014
,BTJ,0,,,1,1,1,,,,,45,0,2,11,2014
,BTJ,1,,,1,1,1,,,,,34,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,300,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,35,1,2,10,2014
,BTJ,0,,,1,1,1,,,,,43.33333333,0,2,10,2014
,BTJ,1,,,1,1,1,,,,,27.08333333,1,2,10,2014
,BTJ,0,,,1,1,1,,,,,26.66666667,0,2,11,2014
,BTJ,0,,,,,,,,,,,,2,10,2014
,BTJ,1,,,1,1,1,,,,,88.33333333,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,50.83333333,1,2,11,2014
,BTJ,1,,,1,1,1,,,,,56.66666667,1,2,11,2014
,BTJ,1,,,1,1,1,,,,,127,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,150,1,2,11,2014
,BTJ,1,,,0,,1,,,,,33.5,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,40,1,2,11,2014
,BTJ,1,,,1,1,1,,,,,90,1,2,11,2014
,BTJ,1,,,1,1,1,,,,,91.41666667,1,2,11,2014
,BTJ,1,,,1,1,1,,,,,108.3333333,1,2,11,2014
,BTJ,1,,,0,,1,,,,,22.08333333,1,2,11,2014
,BTJ,1,,,1,1,1,,,,,54.16666667,1,2,11,2014
,BTJ,1,,,1,1,1,,,,,90.66666667,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,40,1,2,11,2014
,BTJ,1,,,1,1,1,,,,,63.33333333,1,2,10,2014
,BTJ,0,,,,,,,,,,,,2,10,2014
,BTJ,1,,,1,1,1,,,,,101.3333333,1,2,10,2014
,BTJ,1,,,0,,1,,,,,46.66666667,1,2,11,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,0,,,,,,,,,,,,2,10,2014
,BTJ,1,,,1,1,1,,,,,36.66666667,1,2,10,2014
