id,vcs201_attendees_total,vcs011_prgrm,month,year,vcs009_country
,52,VHG,1,2014,1
,61,VHG,1,2014,1
,55,KKM2,10,2014,1
,62,VHG,4,2014,1
,48,VHG,4,2014,1
,51,VHG,4,2014,1
,42,KKM2,10,2014,1
,38,KKM2,10,2014,1
,53,VHG,4,2014,1
,75,VHG,4,2014,1
,45,VHG,4,2014,1
,51,VHG,4,2014,1
,51,KKM2,9,2014,1
,32,KKM2,10,2014,1
,38,KKM2,10,2014,1
,48,VHG,1,2014,1
,52,VHG,4,2014,1
,50,VHG,4,2014,1
,31,KKM2,10,2014,1
,62,VHG,4,2014,1
,31,VHG,1,2014,1
,41,KKM2,10,2014,1
,32,VHG,1,2014,1
,41,KKM2,9,2014,1
,59,VHG,4,2014,1
,46,VHG,4,2014,1
,88,VHG,1,2014,1
,62,VHG,1,2014,1
,52,VHG,4,2014,1
,27,KKM2,10,2014,1
,47,VHG,1,2014,1
,52,VHG,4,2014,1
,51,VHG,4,2014,1
,47,VHG,4,2014,1
,52,KKM2,9,2014,1
,57,VHG,1,2014,1
,52,VHG,4,2014,1
,57,VHG,4,2014,1
,32,KKM2,9,2014,1
,46,VHG,1,2014,1
,55,KKM2,10,2014,1
,49,VHG,1,2014,1
,54,VHG,4,2014,1
,49,KKM2,10,2014,1
,62,KKM2,10,2014,1
,41,KKM2,10,2014,1
,52,VHG,1,2014,1
,35,KKM2,9,2014,1
,42,KKM2,10,2014,1
,36,VHG,1,2014,1
,60,KKM2,10,2014,1
,40,KKM2,10,2014,1
,57,VHG,1,2014,1
,33,KKM2,9,2014,1
,59,VHG,4,2014,1
,60,KKM2,10,2014,1
,36,KKM2,10,2014,1
,58,VHG,1,2014,1
,20,KKM2,10,2014,1
,27,KKM2,9,2014,1
,42,KKM2,9,2014,1
,21,KKM2,10,2014,1
,43,KKM2,9,2014,1
,35,KKM2,10,2014,1
,47,KKM2,10,2014,1
,29,UGS5,8,2015,1
,18,UGS5,8,2015,1
,48,VHG,1,2014,1
,23,UGS5,7,2015,1
,64,VHG,4,2014,1
,54,1AF,10,2014,1
,22,UGS5,8,2015,1
,42,VHG,4,2014,1
,75,VHG,7,2013,1
,27,UGS5,8,2015,1
,24,1AF,10,2014,1
,46,VHG,4,2014,1
,20,UGS5,8,2015,1
,62,VHG,7,2013,1
,64,KKM2,9,2014,1
,35,UGS5,8,2015,1
,54,VHG,7,2013,1
,23,UGS5,7,2015,1
,83,VHG,4,2014,1
,47,UGS5,7,2015,1
,25,UGS5,7,2015,1
,64,UGS5,7,2015,1
,98,VHG,4,2014,1
,45,VHG,8,2013,1
,67,VHG,4,2014,1
,26,1AF,10,2014,1
,29,1AF,10,2014,1
,20,UGS5,8,2015,1
,39,VHG,4,2014,1
,56,VHG,4,2014,1
,49,VHG,1,2014,1
,23,UGS5,7,2015,1
,86,VHG,7,2013,1
,45,VHG,1,2014,1
,53,1AF,10,2014,1
,31,1AF,10,2014,1
,82,VHG,4,2014,1
,49,VHG,1,2014,1
,31,KKM2,9,2014,1
,64,1AF,10,2014,1
,32,UGS5,7,2015,1
,49,UGS5,7,2015,1
,155,KKM2,10,2014,1
,39,UGS5,7,2015,1
,46,UGS5,7,2015,1
,23,UGS5,8,2015,1
,26,1AF,10,2014,1
,58,VHG,7,2013,1
,51,VHG,1,2014,1
,50,VHG,8,2013,1
,55,VHG,4,2014,1
,25,UGS5,7,2015,1
,71,VHG,7,2013,1
,28,UGS5,7,2015,1
,37,VHG,1,2014,1
,43,KKM2,9,2014,1
,49,VHG,4,2014,1
