t101a_wpt_verifn_id,t011_program,t313_wpt_fail,t301b_wpt_flow_rate_slow,t302_landowner_personality,t302a_rep_WSB_talkedto,t302b_rep_WSB_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t008_country,month,year,t005_today
"10133006","ZMB1_2","Yes",.s,"Yes",,,"Yes",.s,"Tea With Milk","Clear",.s,,,"Malawi",1,2014,28jan2014
"10133007","ZMB1_2","Yes",.s,"Yes",,,"Yes",.s,"Tea With Milk","Tea With Milk",.s,,,"Malawi",1,2014,28jan2014
"10134001","ZMB1_2","Yes",.s,"Yes",,,"Yes",.s,"Tea With Milk","Clear",.s,,,"Malawi",1,2014,28jan2014
"10134002","ZMB1_2","Yes",.s,"Yes",,,"Yes",.s,"Tea With Milk","Clear",.s,,,"Malawi",1,2014,28jan2014
"10134003","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,28jan2014
"10135001","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2013,01jan2013
"10135002","ZMB1_2","Yes",.s,"Yes",,,"Yes",.s,"Tea With Milk","Tea With No Milk",.s,,,"Malawi",1,2014,22jan2014
"10135003","ZMB1_2","Yes",.s,.s,,,"Yes",.s,"Tea With Milk","Clear",.s,,,"Malawi",1,2014,22jan2014
"10135004","ZMB1_2","Yes",.s,.s,,,"Yes",.s,"Tea With Milk","Clear",.s,,,"Malawi",1,2014,23jan2014
"10135005","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",9,,"Yes","Malawi",1,2014,24jan2014
"10135006","ZMB1_2",,.s,"Yes",,,"Yes",.s,"Clear","Clear",9,,"Yes","Malawi",1,2014,24jan2014
"10135007","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",9,,"Yes","Malawi",1,2014,24jan2014
"10135008","ZMB1_2","No",.s,.s,,,"Yes",.s,"Tea With Milk","Clear",.s,,,"Malawi",1,2014,25jan2014
"10135009","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,25jan2014
"10136001","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,27jan2014
"10137001","ZMB1_2","Yes",,.s,,,,.s,.s,.s,.s,,,"Malawi",1,2013,02jan2013
"10137001","ZMB1_2","Yes",.s,.s,,,"Yes",.s,"Tea With Milk","Tea With Milk",.s,,,"Malawi",1,2013,01jan2013
"10137002","ZMB1_2","Yes",.s,.s,,,"Yes",.s,"Tea With Milk","Tea With Milk",.s,,,"Malawi",1,2013,02jan2013
"10137002","ZMB1_2","Yes",.s,.s,,,"Yes",.s,"Tea With Milk","Tea With Milk",.s,,,"Malawi",1,2013,02jan2013
"10138001","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2013,01jan2013
"10138002","ZMB1_2","Yes",.s,.s,,,"No",.s,.s,.s,.s,,,"Malawi",1,2013,01jan2013
"10139002","ZMB1_2","Yes",.s,.s,,,"Yes",.s,"Tea With Milk","Tea With Milk",.s,,,"Malawi",1,2013,01jan2013
"10140001","ZMB1_2","Yes",,.s,,,,.s,.s,.s,.s,,,"Malawi",1,2013,02jan2013
"10140002","ZMB1_2","Yes",,,,,,.s,.s,.s,.s,,,"Malawi",1,2013,02jan2013
"10140003","ZMB1_2","Yes",,.s,,,,.s,.s,.s,.s,,,"Malawi",1,2013,02jan2013
"10141001","ZMB1_2","Yes",,.s,,,,.s,.s,.s,.s,,,"Malawi",1,2014,24jan2014
"10141002","ZMB1_2","Yes",,.s,,,,.s,.s,.s,.s,,,"Malawi",1,2014,24jan2014
"10141003","ZMB1_2","Yes",.s,"Yes",,,"Yes",.s,"Tea With Milk","Tea With Milk",.s,,,"Malawi",1,2014,24jan2014
