id,program,i102_wpt_id,total_chl_used,total_period_day,total_period_30day,avrg_30day_usage,avrg_30day_usage_litres,num_of_Deliveries,Jerrican_delivered,date_of_first_delivery,date_of_last_delivery,month,year,country
,Zomba 3,80020273,4,348,11.6,0.3448276,1.724138,3,8,20-Apr-16,03-Apr-17,4,2017,3
,Zomba 3,80020274,52,613,20.43333,2.544862,12.72431,16,58,02-Jan-16,21-Aug-17,8,2017,3
,Zomba 3,80020275,16,397,13.23333,1.209068,6.04534,6,18,21mar2016,04-Jul-17,7,2017,3
,Zomba 3,80020276,4,319,10.63333,0.3761756,1.880878,2,8,18mar2016,31-Jan-17,1,2017,3
,Zomba 3,80020277,12,301,10.03333,1.196013,5.980066,4,16,16-Jun-16,13-Apr-17,4,2017,3
,Zomba 3,80020279,22,580,19.33333,1.137931,5.689655,15,34,02-Jan-16,26-Jul-17,7,2017,3
,Zomba 3,80020280,21,434,14.46667,1.451613,7.258065,14,31,04dec2015,18-Jan-17,1,2017,3
,Zomba 3,80020281,10,475,15.83333,0.631579,3.157895,10,20,14dec2015,11-Apr-17,4,2017,3
,Zomba 3,80020282,14,480,16,0.875,4.375,5,18,25-Feb-16,19-Jun-17,6,2017,3
,Zomba 3,80020283,7,624,20.8,0.3365385,1.682692,9,17,15-Sep-15,17may2017,5,2017,3
,Zomba 3,80020284,30,528,17.6,1.704545,8.522727,15,40,08mar2016,29-Jun-17,6,2017,3
,Zomba 3,80020285,8,508,16.93333,0.472441,2.362205,5,10,26-Feb-16,18-Jul-17,7,2017,3
,Zomba 3,80020286,10,441,14.7,0.6802721,3.401361,4,12,14mar2016,29may2017,5,2017,3
,Zomba 3,80020287,14,448,14.93333,0.9375,4.6875,6,20,18mar2016,26may2017,5,2017,3
,Zomba 3,80020288,6,143,4.766667,1.258741,6.293706,3,10,21-Nov-16,13-Apr-17,4,2017,3
,Zomba 3,80020289,16,517,17.23333,0.9284332,4.642166,7,18,03-Feb-16,04-Jul-17,7,2017,3
,Zomba 3,80020290,22,550,18.33333,1.2,6,8,24,18-Feb-16,21-Aug-17,8,2017,3
,Zomba 3,80020291,2,509,16.96667,0.1178782,0.5893909,2,5,16mar2016,07-Aug-17,8,2017,3
,Zomba 3,80020292,16,308,10.26667,1.558442,7.792208,6,18,30-Aug-16,04-Jul-17,7,2017,3
,Zomba 3,80020293,18,445,14.83333,1.213483,6.067416,6,22,12-Feb-16,02may2017,5,2017,3
,Zomba 3,80020295,15,570,19,0.7894737,3.947369,7,23,09-Feb-16,16-Aug-17,8,2017,3
,Zomba 3,80020296,10,401,13.36667,0.7481297,3.740648,7,14,22mar2016,27-Apr-17,4,2017,3
,Zomba 3,80020297,19,456,15.2,1.25,6.25,6,23,29mar2016,28-Jun-17,6,2017,3
,Zomba 3,80020298,12,396,13.2,0.9090909,4.545455,4,16,04-Apr-16,05may2017,5,2017,3
,Zomba 3,80020299,7,450,15,0.4666667,2.333333,5,10,09-Feb-16,04may2017,5,2017,3
,Zomba 3,80020300,17,535,17.83333,0.953271,4.766355,9,19,04mar2016,21-Aug-17,8,2017,3
,Zomba 3,80020301,26,519,17.3,1.50289,7.514451,10,28,18-Jan-16,20-Jun-17,6,2017,3
,Zomba 3,80020302,11,672,22.4,0.4910714,2.455357,7,15,15-Sep-15,18-Jul-17,7,2017,3
,Zomba 3,80020303,14,532,17.73333,0.7894737,3.947368,8,16,07mar2016,21-Aug-17,8,2017,3
,Zomba 3,80020304,2,415,13.83333,0.1445783,0.7228916,2,8,15mar2016,04may2017,5,2017,3
,Zomba 3,80020305,9,420,14,0.6428571,3.214286,4,13,15-Jun-16,09-Aug-17,8,2017,3
,Zomba 3,80020306,2,409,13.63333,0.1466993,0.7334963,2,6,04mar2016,17-Apr-17,4,2017,3
,Zomba 3,80020307,9.5,392,13.06667,0.7270408,3.635204,6,13,07-Jun-16,04-Jul-17,7,2017,3
,Zomba 3,80020308,20,628,20.93333,0.9554141,4.77707,7,24,16-Sep-15,05-Jun-17,6,2017,3
,Zomba 3,80020309,13,411,13.7,0.9489051,4.744525,7,19,10-Feb-16,27mar2017,3,2017,3
,Zomba 3,80020310,18,457,15.23333,1.181619,5.908096,9,22,17-Feb-16,19may2017,5,2017,3
,Zomba 3,80020311,6,645,21.5,0.2790698,1.395349,4,10,21-Sep-15,27-Jun-17,6,2017,3
,Zomba 3,80020312,40,699,23.3,1.716738,8.583691,14,48,15-Sep-15,01-Aug-17,8,2017,3
,Zomba 3,80020313,17,294,9.8,1.734694,8.67347,9,25,25-Feb-16,24-Nov-16,11,2016,3
