ID,vcs201_attendees_total,vcs011_prgrm,month,year,country
,27,SRK,10,2014,2
,28,SRK,10,2014,2
,45,SRK,10,2014,2
,39,SRK,10,2014,2
,108,SRK,10,2014,2
,29,SRK,10,2014,2
,23,SRK,10,2014,2
,35,SRK,10,2014,2
,39,SRK,10,2014,2
,36,SRK,10,2014,2
,147,SRK,10,2014,2
,45,SRK,10,2014,2
,27,SRK,10,2014,2
,29,SRK,10,2014,2
,31,SRK,10,2014,2
,40,SRK,10,2014,2
,65,SRK,10,2014,2
,36,SRK,10,2014,2
,28,SRK,10,2014,2
,44,SRK,10,2014,2
,30,SRK,10,2014,2
,34,SRK,10,2014,2
,45,SRK,10,2014,2
,49,SRK,10,2014,2
,88,SRK,10,2014,2
,15,SRK,10,2014,2
,24,SRK,10,2014,2
,31,SRK,10,2014,2
,70,SRK,10,2014,2
,39,SRK,10,2014,2
,24,SRK,10,2014,2
,20,SRK,10,2014,2
,20,SRK,10,2014,2
,27,SRK,10,2014,2
,45,SRK,10,2014,2
,32,SRK,10,2014,2
,35,SRK,10,2014,2
,40,SRK,10,2014,2
,30,SRK,10,2014,2
,32,SRK,10,2014,2
,31,SRK,10,2014,2
,31,SRK,10,2014,2
,46,SRK,10,2014,2
,41,SRK,10,2014,2
,38,SRK,10,2014,2
,16,SRK,10,2014,2
,27,SRK,10,2014,2
,36,SRK,10,2014,2
,25,SRK,10,2014,2
,44,SRK,10,2014,2
,365,SRK,10,2014,2
,22,SRK,10,2014,2
,37,SRK,10,2014,2
,97,SRK,10,2014,2
,33,SRK,10,2014,2
,29,SRK,10,2014,2
,27,SRK,10,2014,2
,28,SRK,10,2014,2
,23,SRK,10,2014,2
,23,SRK,10,2014,2
,25,SRK,10,2014,2
,26,SRK,10,2014,2
,27,SRK,10,2014,2
,21,SRK,10,2014,2
,24,SRK,10,2014,2
,27,SRK,10,2014,2
,22,SRK,10,2014,2
,30,SRK,10,2014,2
,33,SRK,10,2014,2
,33,SRK,10,2014,2
,35,SRK,10,2014,2
,36,SRK,10,2014,2
,25,SRK,10,2014,2
,28,SRK,10,2014,2
,21,SRK,10,2014,2
