ID,vcs201_attendees_total,vcs011_prgrm,year,vcs009_country,vcs014_mtg_date
,40,Manafwa,2014,Uganda,30-Nov-13
,35,Manafwa,2014,Uganda,30-Nov-13
,26,Manafwa,2014,Uganda,30-Nov-13
,54,Manafwa,2014,Uganda,30-Nov-13
,38,Manafwa,2014,Uganda,30-Nov-13
,74,Manafwa,2014,Uganda,30-Nov-13
,46,Manafwa,2014,Uganda,30-Nov-13
,32,Manafwa,2014,Uganda,30-Nov-13
,67,Manafwa,2014,Uganda,02-Dec-13
,54,Manafwa,2014,Uganda,02-Dec-13
,39,Manafwa,2014,Uganda,02-Dec-13
,94,Manafwa,2014,Uganda,02-Dec-13
,26,Manafwa,2014,Uganda,02-Dec-13
,69,Manafwa,2014,Uganda,02-Dec-13
,49,Sironko,2014,Uganda,02-Dec-13
,26,Sironko,2014,Uganda,02-Dec-13
,45,Manafwa,2014,Uganda,02-Dec-13
,43,Manafwa,2014,Uganda,02-Dec-13
,78,Manafwa,2014,Uganda,02-Dec-13
,119,Manafwa,2014,Uganda,03-Dec-13
,45,Manafwa,2014,Uganda,03-Dec-13
,41,Manafwa,2014,Uganda,03-Dec-13
,63,Sironko,2014,Uganda,03-Dec-13
,50,Sironko,2014,Uganda,03-Dec-13
,62,Sironko,2014,Uganda,03-Dec-13
,48,Sironko,2014,Uganda,03-Dec-13
,50,Sironko,2014,Uganda,03-Dec-13
,47,Sironko,2014,Uganda,04-Dec-13
,41,Manafwa,2014,Uganda,04-Dec-13
,29,Manafwa,2014,Uganda,04-Dec-13
,52,Manafwa,2014,Uganda,04-Dec-13
,31,Manafwa,2014,Uganda,04-Dec-13
,38,Manafwa,2014,Uganda,04-Dec-13
,33,Manafwa,2014,Uganda,04-Dec-13
,72,Manafwa,2014,Uganda,04-Dec-13
,88,Manafwa,2014,Uganda,04-Dec-13
,75,Manafwa,2014,Uganda,04-Dec-13
,47,Manafwa,2014,Uganda,04-Dec-13
,63,Sironko,2014,Uganda,04-Dec-13
,52,Manafwa,2014,Uganda,04-Dec-13
,43,Sironko,2014,Uganda,04-Dec-13
,41,Sironko,2014,Uganda,04-Dec-13
,35,Manafwa,2014,Uganda,04-Dec-13
,59,Manafwa,2014,Uganda,05-Dec-13
,74,Manafwa,2014,Uganda,05-Dec-13
,37,Manafwa,2014,Uganda,05-Dec-13
,38,Manafwa,2014,Uganda,05-Dec-13
,41,Manafwa,2014,Uganda,05-Dec-13
,74,Manafwa,2014,Uganda,05-Dec-13
,42,Manafwa,2014,Uganda,06-Dec-13
,140,Manafwa,2014,Uganda,06-Dec-13
,80,Manafwa,2014,Uganda,06-Dec-13
,26,Manafwa,2014,Uganda,06-Dec-13
,52,Manafwa,2014,Uganda,06-Dec-13
,32,Manafwa,2014,Uganda,06-Dec-13
,83,Manafwa,2014,Uganda,06-Dec-13
,44,Manafwa,2014,Uganda,06-Dec-13
,41,Manafwa,2014,Uganda,06-Dec-13
,39,Manafwa,2014,Uganda,06-Dec-13
,66,Manafwa,2014,Uganda,06-Dec-13
,70,Manafwa,2014,Uganda,07-Dec-13
,40,Manafwa,2014,Uganda,07-Dec-13
,40,Manafwa,2014,Uganda,07-Dec-13
,42,Manafwa,2014,Uganda,07-Dec-13
,41,Manafwa,2014,Uganda,07-Dec-13
,32,Manafwa,2014,Uganda,07-Dec-13
,39,Manafwa,2014,Uganda,07-Dec-13
,39,Manafwa,2014,Uganda,07-Dec-13
,79,Manafwa,2014,Uganda,07-Dec-13
,35,Manafwa,2014,Uganda,07-Dec-13
,66,Manafwa,2014,Uganda,07-Dec-13
,35,Manafwa,2014,Uganda,07-Dec-13
,74,Manafwa,2014,Uganda,09-Dec-13
,48,Manafwa,2014,Uganda,09-Dec-13
,44,Manafwa,2014,Uganda,09-Dec-13
,40,Manafwa,2014,Uganda,09-Dec-13
,41,Manafwa,2014,Uganda,09-Dec-13
,49,Manafwa,2014,Uganda,09-Dec-13
,56,Manafwa,2014,Uganda,09-Dec-13
,44,Manafwa,2014,Uganda,09-Dec-13
,51,Manafwa,2014,Uganda,09-Dec-13
,32,Manafwa,2014,Uganda,09-Dec-13
,34,Manafwa,2014,Uganda,09-Dec-13
,59,Manafwa,2014,Uganda,09-Dec-13
,26,Manafwa,2014,Uganda,09-Dec-13
,36,Manafwa,2014,Uganda,09-Dec-13
,50,Manafwa,2014,Uganda,09-Dec-13
,98,Manafwa,2014,Uganda,10-Dec-13
,37,Manafwa,2014,Uganda,10-Dec-13
,53,Manafwa,2014,Uganda,10-Dec-13
,30,Manafwa,2014,Uganda,10-Dec-13
,53,Manafwa,2014,Uganda,10-Dec-13
,49,Manafwa,2014,Uganda,10-Dec-13
,37,Manafwa,2014,Uganda,10-Dec-13
,29,Manafwa,2014,Uganda,10-Dec-13
,40,Manafwa,2014,Uganda,10-Dec-13
,25,Manafwa,2014,Uganda,10-Dec-13
,51,Manafwa,2014,Uganda,10-Dec-13
,48,Manafwa,2014,Uganda,10-Dec-13
,50,Manafwa,2014,Uganda,10-Dec-13
,103,Manafwa,2014,Uganda,10-Dec-13
,77,Manafwa,2014,Uganda,10-Dec-13
,46,Manafwa,2014,Uganda,12-Dec-13
,52,Manafwa,2014,Uganda,13-Dec-13
,159,Manafwa,2014,Uganda,13-Dec-13
,58,Manafwa,2014,Uganda,13-Dec-13
,38,Manafwa,2014,Uganda,13-Dec-13
,56,Manafwa,2014,Uganda,13-Dec-13
,38,Manafwa,2014,Uganda,13-Dec-13
,35,Manafwa,2014,Uganda,13-Dec-13
,49,Manafwa,2014,Uganda,13-Dec-13
,71,Manafwa,2014,Uganda,13-Dec-13
,49,Manafwa,2014,Uganda,13-Dec-13
,49,Manafwa,2014,Uganda,13-Dec-13
,33,Manafwa,2014,Uganda,13-Dec-13
,41,Manafwa,2014,Uganda,13-Dec-13
,47,Manafwa,2014,Uganda,13-Dec-13
,41,Manafwa,2014,Uganda,13-Dec-13
,74,Manafwa,2014,Uganda,13-Dec-13
,45,Manafwa,2014,Uganda,14-Dec-13
,48,Manafwa,2014,Uganda,14-Dec-13
,27,Manafwa,2014,Uganda,14-Dec-13
,42,Manafwa,2014,Uganda,14-Dec-13
,46,Manafwa,2014,Uganda,14-Dec-13
,47,Manafwa,2014,Uganda,14-Dec-13
,46,Manafwa,2014,Uganda,14-Dec-13
,73,Manafwa,2014,Uganda,14-Dec-13
,41,Manafwa,2014,Uganda,14-Dec-13
,41,Manafwa,2014,Uganda,14-Dec-13
,26,Manafwa,2014,Uganda,14-Dec-13
,70,Manafwa,2014,Uganda,14-Dec-13
,33,Manafwa,2014,Uganda,14-Dec-13
,35,Manafwa,2014,Uganda,14-Dec-13
,45,Manafwa,2014,Uganda,14-Dec-13
,53,Manafwa,2014,Uganda,14-Dec-13
,36,Manafwa,2014,Uganda,16-Dec-13
,73,Manafwa,2014,Uganda,16-Dec-13
,64,Manafwa,2014,Uganda,16-Dec-13
,70,Manafwa,2014,Uganda,16-Dec-13
,63,Manafwa,2014,Uganda,16-Dec-13
,94,Manafwa,2014,Uganda,16-Dec-13
,40,Manafwa,2014,Uganda,16-Dec-13
,65,Manafwa,2014,Uganda,16-Dec-13
,88,Manafwa,2014,Uganda,16-Dec-13
,47,Manafwa,2014,Uganda,16-Dec-13
,55,Manafwa,2014,Uganda,16-Dec-13
,86,Manafwa,2014,Uganda,16-Dec-13
,92,Manafwa,2014,Uganda,16-Dec-13
,36,Manafwa,2014,Uganda,16-Dec-13
,108,Manafwa,2014,Uganda,16-Dec-13
,45,Manafwa,2014,Uganda,16-Dec-13
,42,Manafwa,2014,Uganda,17-Dec-13
