ID,cem301_attendees_total,month,year,country
,67,1,2014,2
,55,1,2014,2
,40,1,2014,2
,76,1,2014,2
,85,1,2014,2
,24,1,2014,2
,45,1,2014,2
,41,1,2014,2
,76,1,2014,2
,44,1,2014,2
,41,1,2014,2
,102,1,2014,2
,60,1,2014,2
,95,1,2014,2
,31,1,2014,2
,55,1,2014,2
,65,1,2014,2
,40,1,2014,2
,45,1,2014,2
,29,1,2014,2
,113,1,2014,2
,50,1,2014,2
,94,1,2014,2
,85,1,2014,2
,28,1,2014,2
,25,1,2014,2
,72,1,2014,2
,54,1,2014,2
,48,1,2014,2
,60,1,2014,2
,43,1,2014,2
,58,1,2014,2
,39,1,2014,2
,48,1,2014,2
,114,1,2014,2
,68,1,2014,2
,41,1,2014,2
,52,1,2014,2
,92,1,2014,2
,56,1,2014,2
,62,1,2014,2
,38,1,2014,2
,98,1,2014,2
,44,1,2014,2
,62,1,2014,2
,31,1,2014,2
,30,1,2014,2
,33,1,2014,2
,30,1,2014,2
,61,1,2014,2
,72,1,2014,2
,45,1,2014,2
,31,1,2014,2
,20,1,2014,2
,45,1,2014,2
,52,1,2014,2
,23,1,2014,2
,30,1,2014,2
,43,1,2014,2
,88,1,2014,2
,115,1,2014,2
,56,1,2014,2
,62,1,2014,2
,66,1,2014,2
,64,1,2014,2
,54,1,2014,2
,29,1,2014,2
,49,1,2014,2
,32,1,2014,2
,36,1,2014,2
,21,1,2014,2
,44,1,2014,2
,65,1,2014,2
,64,1,2014,2
,107,1,2014,2
,48,1,2014,2
,103,1,2014,2
,34,1,2014,2
,70,1,2014,2
,38,1,2014,2
,78,1,2014,2
,79,1,2014,2
,80,1,2014,2
,57,1,2014,2
,49,1,2014,2
,42,1,2014,2
,67,1,2014,2
,42,1,2014,2
,49,1,2014,2
,41,1,2014,2
,37,1,2014,2
,31,1,2014,2
,58,1,2014,2
,42,1,2014,2
,44,1,2014,2
,30,1,2014,2
,120,1,2014,2
,88,1,2014,2
,38,1,2014,2
,62,1,2014,2
,54,1,2014,2
,85,1,2014,2
,162,1,2014,2
,101,1,2014,2
,45,1,2014,2
,80,1,2014,2
,220,1,2014,2
,61,1,2014,2
,44,1,2014,2
,53,1,2014,2
,60,1,2014,2
,51,1,2014,2
,80,1,2014,2
,144,1,2014,2
,29,1,2014,2
,50,1,2014,2
,54,1,2014,2
,69,1,2014,2
,50,1,2014,2
,46,1,2014,2
,59,1,2014,2
,41,1,2014,2
,61,1,2014,2
,31,1,2014,2
,35,1,2014,2
,35,1,2014,2
,42,1,2014,2
,79,1,2014,2
,48,1,2014,2
,82,1,2014,2
,68,1,2014,2
,38,1,2014,2
,33,1,2014,2
,86,1,2014,2
,211,1,2014,2
,66,1,2014,2
,75,1,2014,2
,22,1,2014,2
,73,1,2014,2
,45,1,2014,2
,71,1,2014,2
,60,1,2014,2
,48,1,2014,2
,58,1,2014,2
,80,1,2014,2
,41,1,2014,2
,90,1,2014,2
,58,1,2014,2
,52,1,2014,2
,49,1,2014,2
,49,1,2014,2
,84,1,2014,2
,40,1,2014,2
,62,1,2014,2
,80,1,2014,2
,77,1,2014,2
,66,1,2014,2
,40,1,2014,2
,19,1,2014,2
,48,1,2014,2
,52,1,2014,2
,257,1,2014,2
,69,1,2014,2
,47,1,2014,2
,43,1,2014,2
,98,1,2014,2
,68,1,2014,2
,72,1,2014,2
,35,1,2014,2
,82,1,2014,2
,35,1,2014,2
,53,1,2014,2
,51,1,2014,2
,60,1,2014,2
,43,1,2014,2
,54,1,2014,2
,81,1,2014,2
,54,1,2014,2
,80,1,2014,2
,35,1,2014,2
,45,1,2014,2
,60,1,2014,2
,70,1,2014,2
,90,1,2014,2
,74,1,2014,2
,68,1,2014,2
,45,1,2014,2
,67,1,2014,2
,77,1,2014,2
,30,1,2014,2
,61,1,2014,2
,38,1,2014,2
,52,1,2014,2
,56,1,2014,2
,39,1,2014,2
,63,1,2014,2
,58,1,2014,2
,87,1,2014,2
,73,1,2014,2
,89,1,2014,2
,33,1,2014,2
,56,1,2014,2
,210,1,2014,2
,41,1,2014,2
,60,1,2014,2
,116,1,2014,2
,83,1,2014,2
