id,t011_program,t313_wpt_fail,t301b_wpt_flow_rate_slow,t302_landowner_personality,t302a_rep_wsb_talkedto,t302b_rep_wsb_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t009_country,month,year,t005_today
,ZMB3,,1,,0,,1,,3,3,,76.66666,1,3,1,2012,01-Jan-12
,ZMB3,,1,,0,,1,,3,3,,56.66667,1,3,1,2012,01-Jan-12
,ZMB3,,1,,0,,1,,3,3,,93.33334,1,3,1,2012,01-Jan-12
,ZMB3,,1,,0,,1,,3,3,,73.33334,1,3,1,2012,01-Jan-12
,ZMB3,,1,1,,,1,,3,3,,46.66667,1,3,1,2012,01-Jan-12
,ZMB3,,,,1,1,1,,3,3,,55.83333,1,3,8,2014,08-Aug-14
,ZMB3,,,,1,1,1,,3,3,,95,1,3,8,2014,04-Aug-14
,ZMB3,,,,1,1,1,,3,3,,45,1,3,8,2014,05-Aug-14
,ZMB3,,,,1,1,1,,3,3,,42.66667,1,3,8,2014,05-Aug-14
,ZMB3,,,,1,1,1,,3,3,,22.66667,1,3,8,2014,07-Aug-14
,ZMB3,,,,1,1,1,,3,3,,42,1,3,8,2014,07-Aug-14
,ZMB3,,,,1,1,1,,3,3,,70,1,3,8,2014,07-Aug-14
,ZMB3,,,,1,1,1,,3,3,,50.66667,1,3,8,2014,07-Aug-14
,ZMB3,,,,1,1,1,,3,3,,196.6667,1,3,8,2014,03-Aug-14
,ZMB3,,,,1,1,1,,3,3,,55,1,3,8,2014,06-Aug-14
,ZMB3,,,,1,1,1,,3,3,,33.33333,1,3,8,2014,06-Aug-14
,ZMB3,,,,0,,1,,3,3,,25.83333,1,3,8,2014,06-Aug-14
,ZMB3,,,,1,1,1,,3,3,,31.66667,1,3,8,2014,07-Aug-14
,ZMB3,,,,1,1,1,,3,3,,49.33333,1,3,8,2014,07-Aug-14
,ZMB3,0,,,1,1,1,,1,1,,,,3,8,2014,07-Aug-14
,ZMB3,,,,1,1,1,,3,3,,53.33333,1,3,8,2014,08-Aug-14
,ZMB3,,,,0,,1,,3,3,,170,1,3,8,2014,06-Aug-14
,ZMB3,,,,1,1,1,,3,3,,53.33333,1,3,8,2014,06-Aug-14
,ZMB3,,,,0,,1,,3,3,,286.6667,1,3,8,2014,06-Aug-14
,ZMB3,,,1,,,1,,3,3,,43.33333,1,3,8,2014,06-Aug-14
,ZMB3,,,,0,,1,,3,3,,163.3333,1,3,8,2014,06-Aug-14
,ZMB3,,,,1,1,1,,3,3,,57.91667,1,3,8,2014,07-Aug-14
,ZMB3,,,,0,,1,,3,3,,32.91667,1,3,8,2014,07-Aug-14
,ZMB3,,,,0,,1,,3,3,,22.91667,1,3,8,2014,07-Aug-14
,ZMB3,,,,1,1,1,,3,3,,53.33333,1,3,8,2014,01-Aug-14
,ZMB3,,,,1,1,1,,3,3,,70,1,3,8,2014,04-Aug-14
,ZMB3,,1,,1,1,1,,3,3,,48.33333,1,3,8,2014,06-Aug-14
,ZMB3,,,,1,1,1,,3,3,11,46.66667,1,3,8,2014,07-Aug-14
,ZMB3,,,,1,1,1,,3,3,,61,1,3,8,2014,07-Aug-14
,ZMB3,,1,,1,1,1,,3,3,,87.33334,1,3,8,2014,06-Aug-14
,ZMB3,,1,,1,1,1,,3,3,,83.66666,1,3,8,2014,01-Aug-14
,ZMB3,,,,1,1,1,,3,3,,47,1,3,8,2014,06-Aug-14
,ZMB3,,,,1,1,1,,3,3,,140,1,3,8,2014,06-Aug-14
,ZMB3,,,,1,1,1,,3,3,,40,1,3,8,2014,06-Aug-14
,ZMB3,,,,1,1,1,,3,3,,50.33333,1,3,8,2014,06-Aug-14
,ZMB3,,,,1,1,1,,3,3,,146.6667,1,3,8,2014,07-Aug-14
,ZMB3,,,,1,1,1,,3,3,,38.33333,1,3,8,2014,07-Aug-14
,ZMB1_2,,,,0,,1,,3,3,,,1,3,11,2013,21-Nov-13
,ZMB3,Don't know,0,,,,,,,,,,,3,9,2014,08-Sep-14
,ZMB4,,,,1,1,1,,3,3,,69.33334,1,3,10,2014,02-Oct-14
,ZMB3,,,,1,1,1,,3,3,,260,1,3,9,2014,11-Sep-14
,ZMB3,,,,1,1,1,,3,3,,233.3333,1,3,9,2014,11-Sep-14
,ZMB3,,,,0,,1,,3,3,,80,1,3,9,2014,11-Sep-14
,ZMB3,,,,1,1,1,,3,3,,53.33333,1,3,9,2014,11-Sep-14
,ZMB3,,,,1,1,1,,3,3,,350,1,3,9,2014,11-Sep-14
,ZMB4,,,,1,1,1,,3,3,,56.66667,1,3,10,2014,04-Oct-14
,ZMB3,,,,1,1,1,,3,3,,350,1,3,9,2014,10-Sep-14
,ZMB4,,,1,,,1,,3,3,,46.66667,1,3,10,2014,04-Oct-14
,ZMB3,0,,1,,,1,,2,1,,,,3,9,2014,12-Sep-14
,ZMB3,,,,1,1,1,,3,3,,50,1,3,9,2014,12-Sep-14
,ZMB3,,,,1,1,1,,3,3,,110,1,3,9,2014,11-Sep-14
,ZMB3,,,1,,,1,,3,3,,25,1,3,9,2014,10-Sep-14
,ZMB3,0,,1,,,1,,1,1,,,,3,9,2014,11-Sep-14
,ZMB3,1,,1,,,1,,1,1,,,,3,9,2014,11-Sep-14
,ZMB4,,,,1,1,1,,3,3,,56.66667,1,3,10,2014,04-Oct-14
,ZMB3,,,,1,1,1,,3,3,,60,1,3,9,2014,12-Sep-14
,ZMB3,0,0,,,,,,,,,,,3,9,2014,12-Sep-14
,ZMB3,,,,1,1,1,,3,3,,53.33333,1,3,9,2014,11-Sep-14
,ZMB3,,,,1,1,1,,3,3,,100,1,3,9,2014,12-Sep-14
,ZMB3,,,1,,,1,,3,3,,11.66667,1,3,9,2014,12-Sep-14
,ZMB4,,,1,,,1,,3,3,,56.66667,1,3,9,2014,30-Sep-14
,ZMB4,,,,1,1,1,,3,3,,56.66667,1,3,10,2014,04-Oct-14
,ZMB4,,,,1,1,1,,3,3,,56.66667,1,3,10,2014,04-Oct-14
,ZMB3,0,,1,,,1,,1,3,,,,3,9,2014,11-Sep-14
,ZMB3,0,0,,,,,,,,,,,3,9,2014,12-Sep-14
,ZMB3,Don't know,1,,1,1,1,0,,,,,,3,9,2014,11-Sep-14
,ZMB3,,,,1,1,1,,3,3,,116.6667,1,3,9,2014,11-Sep-14
,ZMB3,0,0,,,,,,,,,,,3,9,2014,11-Sep-14
,ZMB3,1,0,,,,,,,,,,,3,8,2014,05-Aug-14
,ZMB4,,,1,,,1,,3,3,,18,1,3,10,2014,11-Oct-14
,ZMB3,,,,1,1,1,,3,3,,47.33333,1,3,9,2014,14-Sep-14
,ZMB3,,,1,,,1,,2,2,,34,1,3,9,2014,14-Sep-14
,ZMB3,,,,1,1,1,,3,3,,150.6667,1,3,9,2014,15-Sep-14
,ZMB3,,,1,,,1,,2,3,,30.33333,1,3,9,2014,15-Sep-14
,ZMB3,,,,0,,1,,3,3,,44,1,3,9,2014,09-Sep-14
,ZMB3,,,,1,1,1,,3,3,,50.5,1,3,9,2014,09-Sep-14
,ZMB3,,,,1,1,1,,3,3,,40,1,3,9,2014,11-Sep-14
,ZMB3,,,1,,,1,,3,3,,50,1,3,9,2014,14-Sep-14
,ZMB3,,,1,,,1,,3,3,,75,1,3,9,2014,14-Sep-14
,ZMB3,,,1,,,1,,3,3,,55,1,3,9,2014,11-Sep-14
,ZMB3,Don't know,0,,,,,,,,,,,3,9,2014,11-Sep-14
,ZMB3,,,,1,1,1,,3,3,,87.5,1,3,9,2014,11-Sep-14
,ZMB3,,,,1,1,1,,3,3,,127.5,1,3,9,2014,10-Sep-14
,ZMB3,,,1,,,1,,3,3,,65,1,3,9,2014,10-Sep-14
,ZMB3,,,,1,1,1,,3,3,,39,1,3,9,2014,10-Sep-14
,ZMB4,1,,,1,1,1,,3,3,,7.5,,3,9,2014,27-Sep-14
,ZMB3,,,1,,,1,,3,3,,14.25,1,3,9,2014,11-Sep-14
,ZMB3,,,1,,,1,,3,3,,43.5,1,3,9,2014,11-Sep-14
,ZMB3,,,,1,1,1,,3,3,,44,1,3,9,2014,12-Sep-14
,ZMB3,,,,1,1,1,,3,3,,85,1,3,9,2014,15-Sep-14
,ZMB3,,,,1,1,1,,3,3,,68,1,3,1,2012,02-Jan-12
,ZMB3,,,,1,1,1,,3,3,,141.0833,1,3,9,2014,10-Sep-14
,ZMB3,,,,1,1,1,,3,3,,75,1,3,9,2014,10-Sep-14
,ZMB3,,,,1,1,1,,3,3,,80.41666,1,3,9,2014,11-Sep-14
,ZMB3,,,,1,1,1,,3,3,,21.66667,1,3,9,2014,11-Sep-14
,ZMB3,,,1,,,1,,3,3,,24.33333,1,3,9,2014,16-Sep-14
,ZMB3,0,,,1,1,1,,1,3,,,,3,9,2014,12-Sep-14
,ZMB3,1,,,1,1,1,,1,1,,,,3,9,2014,11-Sep-14
,ZMB3,0,0,,,,,,,,,,,3,9,2014,12-Sep-14
,ZMB3,,,,1,1,1,,3,3,,125,1,3,9,2014,14-Sep-14
,ZMB3,,,,1,1,1,,3,3,,190,1,3,9,2014,14-Sep-14
,ZMB3,,,,1,1,1,,3,3,,90,1,3,9,2014,14-Sep-14
,ZMB3,,,,1,1,1,,3,3,,112.5,1,3,9,2014,12-Sep-14
,ZMB3,,,,1,1,1,,3,3,,65,1,3,9,2014,13-Sep-14
,ZMB3,,,,1,1,1,,3,3,,215,1,3,9,2014,15-Sep-14
,ZMB3,,,,0,,1,,3,3,,145,1,3,9,2014,16-Sep-14
