id,vcs201_attendees_total,vcs011_prgrm,month,year,vcs009_country
,36,Zomba3,10,2014,3
,294,Zomba3,1,2013,3
,263,Zomba3,10,2014,3
,400,Zomba3,11,2014,3
,27,Zomba3,11,2014,3
,90,Zomba3,10,2014,3
,90,Zomba3,11,2014,3
,97,Zomba3,10,2014,3
,15,Zomba3,10,2014,3
,45,Zomba3,11,2014,3
,65,Zomba3,10,2014,3
,77,Zomba3,11,2014,3
,42,Zomba3,11,2014,3
,58,Zomba3,11,2014,3
,233,Zomba3,10,2014,3
,133,Zomba3,11,2014,3
,101,Zomba3,11,2014,3
,55,Zomba3,10,2014,3
,80,Zomba3,10,2014,3
,87,Zomba3,11,2014,3
,92,Zomba3,10,2014,3
,45,Zomba3,10,2014,3
,192,Zomba3,10,2014,3
,135,Zomba3,10,2014,3
,137,Zomba3,11,2014,3
,80,Zomba3,10,2014,3
,117,Zomba3,10,2014,3
,105,Zomba3,11,2014,3
,110,Zomba3,10,2014,3
,98,Zomba3,10,2014,3
,103,Zomba3,10,2014,3
,415,Zomba3,11,2014,3
,389,Zomba3,10,2014,3
,90,Zomba3,10,2014,3
,40,Zomba3,10,2014,3
,97,Zomba3,10,2014,3
