id,t011_program,t313_wpt_fail,t301b_wpt_flow_rate_slow,t302_landowner_personality,t302a_rep_WSB_talkedto,t302b_rep_WSB_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t008_country,month,year
,Zomba 9,0,,,1,0,,,,,,,,3,12,2015
,Zomba 4,,,,1,1,1,,3,3,,13,1,3,9,2014
,Zomba 6,,,,1,1,1,,3,3,,37.5,1,3,4,2015
,Zomba 8,0,,,1,1,1,,3,3,5,,,3,8,2015
,Zomba 6,,1,,1,1,1,,2,3,9,25.5,1,3,4,2015
,Zomba 4,,,,1,1,1,,3,3,,15,1,3,9,2014
,Zomba 7,,,,1,1,1,,3,3,,42.91666667,1,3,8,2015
,Zomba 4,,,,1,1,1,,3,3,,80,1,3,10,2014
,Zomba 6,,1,,1,1,1,,3,3,,42,1,3,4,2015
,Zomba 5,,,,1,1,1,,3,3,,50,1,3,1,2016
,Zomba 4,0,,,1,1,1,,3,3,,7.25,,3,9,2015
,Zomba 7,,,,1,1,1,,3,3,,10,1,3,7,2015
,Zomba 7,,,,0,,1,,3,3,,56.25,1,3,7,2015
,Zomba 3,,,,1,1,1,,3,3,,50,1,3,2,2016
,Zomba 7,,,,1,1,1,1,,,,90,1,3,7,2015
,Zomba 9,1,,,,,1,,3,3,,8.666666667,,3,12,2015
,Zomba 4,,,,0,,1,,3,3,,17,1,3,10,2014
,Zomba 4,,,,0,,1,,3,3,,25,1,3,10,2014
,Zomba 5,,,,1,1,1,,3,3,,63,1,3,4,2015
,Zomba 5,,,,1,1,1,,3,3,,127.5,1,3,8,2015
,Zomba 5,,,,1,1,1,,3,3,,35,1,3,4,2015
,Zomba 9,,,,0,,1,,3,3,,21.66666667,1,3,1,2016
,Zomba 4,,,,1,1,1,,3,3,,42.08333333,1,3,10,2014
,Zomba 9,,,,1,1,1,,3,3,,118.75,1,3,12,2015
,Zomba 5,,,,1,1,1,,3,3,,90,1,3,2,2015
,Zomba 3,0,,1,,,1,,1,1,,,,3,9,2014
,Zomba 4,,,,1,1,1,,3,3,,16,1,3,10,2014
,Zomba 5,,,1,,,1,,3,3,,48.33333333,1,3,3,2015
,Zomba 6,,,,1,1,1,,3,3,,10.33333333,1,3,4,2015
