ID,cem301_attendees_total,cem011 prgrm,month,year,cem005_today
,39,Kibuku 3,4,2013,17-Apr-13
,19,Kibuku 3,4,2013,18-Apr-13
,32,Kibuku 3,4,2013,18-Apr-13
,19,Kibuku 3,4,2013,18-Apr-13
,21,Kibuku 3,4,2013,18-Apr-13
,21,Kibuku 3,4,2013,18-Apr-13
,26,Kibuku 3,4,2013,18-Apr-13
,41,Kibuku 3,4,2013,18-Apr-13
,59,Kibuku 3,4,2013,19-Apr-13
,37,Kibuku 3,4,2013,19-Apr-13
,31,Kibuku 3,4,2013,19-Apr-13
,61,Kibuku 3,4,2013,19-Apr-13
,155,Kibuku 3,4,2013,19-Apr-13
,24,Kibuku 3,4,2013,19-Apr-13
,34,Kibuku 3,4,2013,20-Apr-13
,30,Kibuku 3,4,2013,20-Apr-13
,38,Kibuku 3,4,2013,20-Apr-13
,31,Kibuku 3,4,2013,20-Apr-13
,28,Kibuku 3,4,2013,20-Apr-13
,29,Kibuku 3,4,2013,20-Apr-13
,45,Kibuku 3,4,2013,20-Apr-13
,28,Kibuku 3,4,2013,20-Apr-13
,30,Kibuku 3,4,2013,20-Apr-13
,31,Kibuku 3,4,2013,20-Apr-13
,19,Kibuku 3,4,2013,20-Apr-13
,22,Kibuku 3,4,2013,20-Apr-13
,30,Kibuku 3,4,2013,21-Apr-13
,33,Kibuku 3,4,2013,21-Apr-13
,22,Kibuku 3,4,2013,21-Apr-13
,24,Kibuku 3,4,2013,21-Apr-13
,24,Kibuku 3,4,2013,21-Apr-13
,40,Kibuku 2,4,2013,21-Apr-13
,21,Kibuku 3,4,2013,21-Apr-13
,22,Kibuku 3,4,2013,21-Apr-13
,35,Kibuku 3,4,2013,21-Apr-13
,20,Kibuku 3,4,2013,21-Apr-13
,31,Kibuku 3,4,2013,21-Apr-13
,43,Kibuku 3,4,2013,21-Apr-13
,31,Kibuku 3,4,2013,21-Apr-13
,36,Kibuku 2,4,2013,21-Apr-13
,75,Kibuku 3,4,2013,21-Apr-13
,37,Butaleja,1,2015,21-Jan-15
,36,Kibuku 3,4,2013,21-Apr-13
,10,Kibuku 3,4,2013,21-Apr-13
,31,Kibuku 3,4,2013,22-Apr-13
,32,Kibuku 3,4,2013,22-Apr-13
,32,Kibuku 3,4,2013,22-Apr-13
,28,Kibuku 3,4,2013,22-Apr-13
,33,Kibuku 3,4,2013,22-Apr-13
,37,Kibuku 3,4,2013,22-Apr-13
,28,Kibuku 3,4,2013,22-Apr-13
,42,Kibuku 3,4,2013,22-Apr-13
,32,Kibuku 3,4,2013,22-Apr-13
,16,Kibuku 3,4,2013,23-Apr-13
,68,Kibuku 3,4,2013,23-Apr-13
,33,Kibuku 3,4,2013,24-Apr-13
,43,Kibuku 3,4,2013,24-Apr-13
,48,Kibuku 3,4,2013,24-Apr-13
,40,Kibuku 3,4,2013,24-Apr-13
