ID,t101a_wpt_verifn_id,t011_prgrm,t313_wpt_fail,t301b_wpt_flow_rate_slow,t302_landowner_personality,t302a_rep_WSB_talkedto,t302b_rep_WSB_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t009_country,month,year,t005_today
,6642415711,NMR,1,,,,,0,,,,,,,1,11,2015,05-Nov-15
,,UJA,,,0,,,,,,,,,,1,9,2012,05-Sep-12
,,UJA,,,1,,,,,2,3,,,,1,8,2012,27-Aug-12
,6059415401,AMG,1,1,1,,,0,,,,,,,1,6,2015,02-Jun-15
,6430425504,KRA,1,0,,,,,,,,,,,1,9,2014,04-Sep-14
,,UJA,,,1,,,,,2,3,,,,1,8,2012,30-Aug-12
,,UJA,,,1,,,,,3,3,,,,1,9,2012,05-Sep-12
,,UJA,,,,,,,,3,3,,,,1,8,2012,27-Aug-12
,5843416009,VHG,,,,,,1,,3,3,,12,1,1,2,2015,23-Feb-15
,,UJA,,,1,,,,,2,3,11,,,1,9,2012,01-Sep-12
,,UJA,,,,,,,,2,3,,,,1,9,2012,01-Sep-12
,4652416990,TNZ,,,1,,,1,,3,3,,10,1,1,6,2015,21-Jun-15
,6333415702,RNG,,,,,,1,,2,3,,20,1,1,7,2014,13-Jul-14
