id,cr011_prgrm,cr102_wpt_id,total_chl_used,total_period_day,total_period_30day,avrg_30day_usage,avrg_30day_usage_litres,num_of_Deliveries,Jerrican_delivered,date_of_first_delivery,date_of_last_delivery,month,year,country
,LGR,10300508,6,154,5.133333,1.168831,5.844156,5,12,2014-07-03,2015-04-25,4,2015,3
,LGR,10300509,7.5,235,7.833333,0.9574468,4.787234,4,6,2014-07-04,2015-08-04,8,2015,3
,LGR,10300511,5,179,5.966667,0.8379888,4.189944,5,8,2014-10-17,2015-09-24,9,2015,3
,LGR,10300512,9,286,9.533334,0.9440559,4.72028,4,9,2014-07-02,2015-09-24,9,2015,3
,LGR,10300513,7,234,7.8,0.8974359,4.48718,5,11,2014-07-01,2015-08-05,8,2015,3
,LGR,10300516,2,56,1.866667,1.071429,5.357142,4,6,2015-02-13,2015-10-08,10,2015,3
,LGR,10300519,4.5,183,6.1,0.7377049,3.688525,3,7,2014-10-14,2015-05-20,5,2015,3
,LGR,10300521,6,330,11,0.5454546,2.727273,4,10,2014-06-25,2015-08-13,8,2015,3
,LGR,10300523,3,250,8.333333,0.36,1.8,6,10,2014-07-01,2015-08-19,8,2015,3
,LGR,10300524,3,244,8.133333,0.3688525,1.844262,5,8,2014-07-03,2015-06-30,6,2015,3
,LGR,10300525,15,488,16.26667,0.9221312,4.610656,7,19,2014-07-12,2015-11-12,11,2015,3
,LGR,10300528,4,182,6.066667,0.6593407,3.296703,7,11,2014-10-18,2015-12-16,12,2015,3
,LGR,10300529,14,335,11.16667,1.253731,6.268656,7,18,2014-07-11,2015-09-07,9,2015,3
,LGR,10300530,8,223,7.433333,1.076233,5.381166,5,12,2014-07-11,2015-04-18,4,2015,3
,LGR,10300531,8,326,10.86667,0.7361963,3.680982,6,16,2014-07-12,2015-10-05,10,2015,3
,LGR,10300533,8,364,12.13333,0.6593407,3.296703,6,14,2014-07-04,2015-09-26,9,2015,3
,LGR,10300534,9,286,9.533334,0.9440559,4.72028,6,13,2014-07-15,2015-06-18,6,2015,3
,LGR,10300535,8,297,9.9,0.8080809,4.040404,7,14,2014-07-04,2015-10-02,10,2015,3
,LGR,10300536,4,257,8.566667,0.4669261,2.33463,5,8,2014-07-05,2015-06-19,6,2015,3
,LGR,10300537,7,174,5.8,1.206897,6.034483,7,10,2014-07-17,2015-08-28,8,2015,3
,LGR,10300538,10,421,14.03333,0.712589,3.562945,7,14,2014-07-03,2015-08-28,8,2015,3
,LGR,10300540,16,337,11.23333,1.424332,7.121661,6,15,2014-07-17,2015-06-19,6,2015,3
,LGR,10300541,8,290,9.666667,0.8275862,4.137931,7,16,2014-07-05,2015-09-17,9,2015,3
,LGR,10300542,7,290,9.666667,0.7241379,3.620689,6,11,2014-07-05,2015-06-19,6,2015,3
,LGR,10300543,7,339,11.3,0.619469,3.097345,6,10,2014-07-16,2015-06-20,6,2015,3
,LGR,10300544,11,340,11.33333,0.9705883,4.852942,6,14,2014-07-15,2015-06-20,6,2015,3
,LGR,10300545,4,224,7.466667,0.5357143,2.678571,5,8,2014-07-15,2015-06-20,6,2015,3
,LGR,10300546,9,229,7.633333,1.179039,5.895197,6,10,2014-11-03,2015-07-23,7,2015,3
,LGR,10300548,3,92,3.066667,0.9782609,4.891304,4,5,2015-01-20,2015-06-22,6,2015,3
,LGR,10300549,2,200,6.666667,0.3,1.5,5,7,2014-07-04,2015-06-22,6,2015,3
,LGR,10300550,3,117,3.9,0.7692307,3.846154,6,11,2014-07-04,2015-06-22,6,2015,3
,LGR,10300551,9,347,11.56667,0.778098,3.89049,5,12,2014-07-07,2015-06-19,6,2015,3
,LGR,10300552,8,299,9.966666,0.8026756,4.013378,6,13,2014-07-07,2015-08-28,8,2015,3
,LGR,10300554,11,227,7.566667,1.453745,7.268723,5,15,2014-06-20,2015-07-28,7,2015,3
,LGR,10300555,6,485,16.16667,0.371134,1.85567,3,10,2014-06-25,2015-10-23,10,2015,3
,LGR,10300557,4,222,7.4,0.5405405,2.702703,4,8,2014-06-25,2015-05-22,5,2015,3
,LGR,10300558,12,301,10.03333,1.196013,5.980066,7,16,2014-06-23,2015-10-27,10,2015,3
,LGR,10300559,2,101,3.366667,0.5940594,2.970297,4,5,2014-06-23,2015-10-27,10,2015,3
,LGR,10300560,16,293,9.766666,1.638225,8.191127,5,16,2014-06-25,2015-04-14,4,2015,3
,LGR,10300561,15,293,9.766666,1.535836,7.679181,4,15,2014-06-25,2015-04-14,4,2015,3
,LGR,10300563,6,311,10.36667,0.5787781,2.893891,5,10,2014-06-17,2015-10-27,10,2015,3
,LGR,10300564,8,226,7.533333,1.061947,5.309734,7,12,2014-06-17,2015-07-29,7,2015,3
,LGR,10300565,1.5,96,3.2,0.46875,2.34375,6,7,2014-06-27,2015-10-12,10,2015,3
,RNG,10310001,4,300,10,0.4,2,3,10,2014-06-12,2015-04-08,4,2015,3
,RNG,10310003,7,296,9.866667,0.7094594,3.547297,3,12,2014-06-16,2015-04-08,4,2015,3
,RNG,10310004,7,377,12.56667,0.5570292,2.785146,3,12,2014-06-12,2015-06-24,6,2015,3
,RNG,10310006,7,141,4.7,1.489362,7.446809,3,10,2015-02-02,2015-06-23,6,2015,3
,RNG,10310007,4,373,12.43333,0.3217158,1.608579,3,8,2014-06-16,2015-06-24,6,2015,3
,RNG,10310010,16,474,15.8,1.012658,5.063291,5,20,2014-06-19,2015-10-06,10,2015,3
,RNG,10310011,4,84,2.8,1.428571,7.142858,5,16,2014-06-17,2015-10-08,10,2015,3
,RNG,10310012,3,262,8.733334,0.3435114,1.717557,2,8,2014-06-17,2015-03-06,3,2015,3
,RNG,10310013,8,392,13.06667,0.6122449,3.061224,3,12,2014-06-17,2015-07-14,7,2015,3
,RNG,10310014,5,130,4.333333,1.153846,5.769231,2,8,2015-03-06,2015-07-14,7,2015,3
,RNG,10310016,16,392,13.06667,1.22449,6.122449,5,20,2014-06-17,2015-07-14,7,2015,3
,RNG,10310018,24,466,15.53333,1.545064,7.725322,7,28,2014-07-03,2015-10-12,10,2015,3
,RNG,10310019,10,377,12.56667,0.795756,3.97878,4,14,2014-07-02,2015-07-14,7,2015,3
,RNG,10310021,10,377,12.56667,0.795756,3.97878,4,14,2014-07-02,2015-07-14,7,2015,3
,RNG,10310022,6,262,8.733334,0.6870229,3.435114,4,14,2014-06-16,2015-03-06,3,2015,3
,RNG,10310026,14,377,12.56667,1.114058,5.570292,5,18,2014-07-02,2015-07-14,7,2015,3
,RNG,10310027,12,377,12.56667,0.9549072,4.774536,4,16,2014-07-02,2015-07-14,7,2015,3
