s102_wpt_id,s206_cl_dispensed,s208_dispprob,s209_dispprob_cas_padlk,s210_dispprob_tnk_vlv,s211_dispprob_stker_tag_paint,s212_nut,month_survey,year_survey,s009_country,s011_prgrm
"10210679","","1","","","11","",3,2013,"1","UJA"
"10210724","","0","","","","",3,2013,"1","UJA"
"10210392","","0","","","","",3,2013,"1","UJA"
"10210376","","1","","","11","",3,2013,"1","UJA"
"10210670","","0","","","","",3,2013,"1","UJA"
"10210732","","0","","","","",3,2013,"1","UJA"
"10210374","","0","","","","",3,2013,"1","UJA"
"10210539","","0","","","","",3,2013,"1","UJA"
"10210384","","0","","","","",3,2013,"1","UJA"
"10210527","","0","","","","",3,2013,"1","UJA"
"10210728","","0","","","","",3,2013,"1","UJA"
"10210151","","0","","","","",3,2013,"1","UJA"
"10210543","","0","","","","",3,2013,"1","UJA"
"10210154","","0","","","","",3,2013,"1","UJA"
"10210528","","0","","","","",3,2013,"1","UJA"
"10210544","","0","","","","",3,2013,"1","UJA"
"10210140","","0","","","","",3,2013,"1","UJA"
"10210531","","0","","","","",3,2013,"1","UJA"
"10210174","","0","","","","",3,2013,"1","UJA"
"10210138","","0","","","","",3,2013,"1","UJA"
"10210166","","1","","","11","",3,2013,"1","UJA"
"10210863","","0","","","","",3,2013,"1","UJA"
"10210869","","0","","","","",3,2013,"1","UJA"
"10210176","","0","","","","",3,2013,"1","UJA"
"10210541","","0","","","","",3,2013,"1","UJA"
"10210160","","0","","","","",3,2013,"1","UJA"
"10210530","","0","","","","",3,2013,"1","UJA"
"10210153","","0","","","","",3,2013,"1","UJA"
"10210172","","0","","","","",3,2013,"1","UJA"
"10210128","","0","","","","",3,2013,"1","UJA"
"10210175","","0","","","","",3,2013,"1","UJA"
"10211079","","0","","","","",3,2013,"1","UJA"
"10210540","","0","","","","",3,2013,"1","UJA"
"10210143","","0","","","","",3,2013,"1","UJA"
"10210546","","0","","","","",3,2013,"1","UJA"
"10210529","","0","","","","",3,2013,"1","UJA"
"10210165","","0","","","","",3,2013,"1","UJA"
"10210129","","0","","","","",3,2013,"1","UJA"
"10210141","","0","","","","",3,2013,"1","UJA"
"10210139","","0","","","","",3,2013,"1","UJA"
"10210170","","0","","","","",3,2013,"1","UJA"
"10210137","","0","","","","",3,2013,"1","UJA"
"10210535","","0","","","","",3,2013,"1","UJA"
"10210548","","0","","","","",3,2013,"1","UJA"
"10210142","","0","","","","",3,2013,"1","UJA"
"10210167","","0","","","","",3,2013,"1","UJA"
"10210251","","0","","","","",3,2013,"1","UJA"
"10210136","","0","","","","",3,2013,"1","UJA"
"10210164","","0","","","","",3,2013,"1","UJA"
"10210157","","0","","","","",3,2013,"1","UJA"
"10210144","","0","","","","",3,2013,"1","UJA"
"10210149","","1","","","11","",3,2013,"1","UJA"
"10210177","","0","","","","",3,2013,"1","UJA"
"10210132","","1","","","11","",3,2013,"1","UJA"
"10210173","","0","","","","",3,2013,"1","UJA"
"10210171","","1","","","11","",3,2013,"1","UJA"
"10210156","","1","","","11","",3,2013,"1","UJA"
"10210150","","1","","","11","",3,2013,"1","UJA"
"10210147","","0","","","","",3,2013,"1","UJA"
"10210158","","1","","","11","",3,2013,"1","UJA"
"10210607","","0","","","","",3,2013,"1","UJA"
"10210598","","0","","","","",3,2013,"1","UJA"
"10210600","","0","","","","",3,2013,"1","UJA"
"10210623","","0","","","","",3,2013,"1","UJA"
"10210587","","1","","","5 14 11","",3,2013,"1","UJA"
"10210611","","0","","","","",3,2013,"1","UJA"
"10210593","","0","","","","",3,2013,"1","UJA"
"10210582","","0","","","","",3,2013,"1","UJA"
"10210538","","1","","","11","",3,2013,"1","UJA"
"10210592","","1","","","11","",3,2013,"1","UJA"
"10210618","","0","","","","",3,2013,"1","UJA"
"10210621","","0","","","","",3,2013,"1","UJA"
"10210584","","0","","","","",3,2013,"1","UJA"
"10210581","","1","","","11","",3,2013,"1","UJA"
"10210597","","0","","","","",3,2013,"1","UJA"
"10210606","","0","","","","",3,2013,"1","UJA"
"10210612","","1","","","14 11 14","",3,2013,"1","UJA"
"10210533","","0","","","","",3,2013,"1","UJA"
"10210629","","1","","","11","",3,2013,"1","UJA"
"10210822","","0","","","","",3,2013,"1","UJA"
"10210617","","1","","","11","",3,2013,"1","UJA"
"10210613","","0","","","","",3,2013,"1","UJA"
"10210012","","0","","","","",3,2013,"1","UJA"
"10210619","","1","","","3","",3,2013,"1","UJA"
"10210626","","0","","","","",3,2013,"1","UJA"
"10210596","","0","","","","",3,2013,"1","UJA"
"10210610","","1","","","11","",3,2013,"1","UJA"
"10211605","","0","","","","",3,2013,"1","UJA"
"10210603","","0","","","","",3,2013,"1","UJA"
"10210609","","0","","","","",3,2013,"1","UJA"
"10210588","","1","","","11","",3,2013,"1","UJA"
"10210602","","0","","","","",3,2013,"1","UJA"
"10210487","","1","","","11","",3,2013,"1","UJA"
"10210608","","0","","","","",3,2013,"1","UJA"
"10210272","","1","","","11 13","",3,2013,"1","UJA"
"10210266","","0","","","","",3,2013,"1","UJA"
"10210586","","0","","","","",3,2013,"1","UJA"
"10210270","","1","","","11","",3,2013,"1","UJA"
"10210279","","1","","","11","",3,2013,"1","UJA"
"10210268","","0","","","","",3,2013,"1","UJA"
"10210624","","0","","","","",3,2013,"1","UJA"
"10210589","","0","","","","",3,2013,"1","UJA"
"10210275","","0","","","","",3,2013,"1","UJA"
"10210246","","1","","","11","",3,2013,"1","UJA"
"10210258","","0","","","","",3,2013,"1","UJA"
"10210244","","0","","","","",3,2013,"1","UJA"
"10210604","","0","","","","",3,2013,"1","UJA"
"10210245","","1","","","11","",3,2013,"1","UJA"
"10210262","","1","","","11","",3,2013,"1","UJA"
"10210282","","0","","","","",3,2013,"1","UJA"
"10210630","","0","","","","",3,2013,"1","UJA"
"10210252","","0","","","","",3,2013,"1","UJA"
"10210247","","0","","","","",3,2013,"1","UJA"
"10210284","","0","","","","",3,2013,"1","UJA"
"10210249","","0","","","","",3,2013,"1","UJA"
"10210263","","0","","","","",3,2013,"1","UJA"
"10210678","","0","","","","",3,2013,"1","UJA"
"10210269","","1","","","11","",3,2013,"1","UJA"
"10211152","","1","","","11","",3,2013,"1","UJA"
"10210243","","1","","","11","",3,2013,"1","UJA"
"10211150","","0","","","","",3,2013,"1","UJA"
"10210250","","1","","","11","",3,2013,"1","UJA"
"10210583","","0","","","","",3,2013,"1","UJA"
"10210605","","0","","","","",3,2013,"1","UJA"
"10210265","","0","","","","",3,2013,"1","UJA"
"10211582","","0","","","","",3,2013,"1","UJA"
