ID,vcs011_prgrm,month,year,country
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,SRK,10,2014,2
,SRK,10,2014,2
,SRK,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,SRK,10,2014,2
,MFW,10,2014,2
,SRK,10,2014,2
,MFW,10,2014,2
,SRK,10,2014,2
,MFW,10,2014,2
,SRK,10,2014,2
,MFW,10,2014,2
,SRK,10,2014,2
,SRK,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
,MFW,10,2014,2
