id,t011_program,t313_wpt_fail,t301b_wpt_flow_rate_slow,t302_landowner_personality,t302a_rep_WSB_talkedto,t302b_rep_WSB_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t008_country,t005_today
,Zomba 3,,,,,,1,,3,3,,116.6667,1,3,08-Aug-14
,Zomba 3,,1,,,,1,,3,3,,66.66666,1,3,07-Aug-14
,Zomba 3,,1,,,,1,,3,3,,96.66666,1,3,07-Aug-14
,Zomba 3,,1,,,,1,,3,3,,76.66666,1,3,07-Aug-14
,Zomba 3,,1,,,,1,,3,3,,146.6667,1,3,07-Aug-14
,Zomba 3,,,,,,1,,3,3,,67.33334,1,3,01-Aug-14
,Zomba 3,,,,,,1,,3,3,,190,1,3,06-Aug-14
,Zomba 3,,1,,,,1,,3,3,,391.3333,1,3,07-Aug-14
,Zomba 3,,1,,,,1,,3,3,,183.3333,1,3,07-Aug-14
,Zomba 3,,1,,,,1,,3,3,,45.83333,1,3,08-Aug-14
,Zomba 3,1,0,,,,,,,,,,,3,07-Aug-14
,Zomba 3,1,0,,,,,,,,,,,3,08-Aug-14
,Zomba 3,1,0,,,,,,,,,,,3,08-Aug-14
,Zomba 3,,1,,,,1,,3,3,,76.66666,1,3,01-Jan-12
,Zomba 3,,1,,,,1,,3,3,,56.66667,1,3,01-Jan-12
,Zomba 3,,1,,,,1,,3,3,,93.33334,1,3,01-Jan-12
,Zomba 3,,1,,,,1,,3,3,,73.33334,1,3,01-Jan-12
,Zomba 3,,1,1,,,1,,3,3,,46.66667,1,3,01-Jan-12
,Zomba 3,,,,,,1,,3,3,,55.83333,1,3,08-Aug-14
,Zomba 3,,,,,,1,,3,3,,95,1,3,04-Aug-14
,Zomba 3,,,,,,1,,3,3,,45,1,3,05-Aug-14
,Zomba 3,,,,,,1,,3,3,,42.66667,1,3,05-Aug-14
,Zomba 3,,,,,,1,,3,3,,22.66667,1,3,07-Aug-14
,Zomba 3,,,,,,1,,3,3,,42,1,3,07-Aug-14
,Zomba 3,,,,,,1,,3,3,,70,1,3,07-Aug-14
,Zomba 3,,,,,,1,,3,3,,50.66667,1,3,07-Aug-14
,Zomba 3,,,,,,1,,3,3,,196.6667,1,3,03-Aug-14
,Zomba 3,,,,,,1,,3,3,,55,1,3,06-Aug-14
,Zomba 3,,,,,,1,,3,3,,33.33333,1,3,06-Aug-14
,Zomba 3,,,,,,1,,3,3,,25.83333,1,3,06-Aug-14
