cem102_wpt_id,cem011_prgrm,cem301_attendees_total,cem009_country,month,year,cem005_today
"10160765","1AF","24","1",5,2013,31may2013
"10161216","1AF","24","1",5,2013,31may2013
"10181433","1AF","15","1",6,2013,03jun2013
"10181569","1AF","21","1",6,2013,03jun2013
"10163116","1AF","25","1",6,2013,03jun2013
"10181338","1AF","36","1",6,2013,03jun2013
"10181582","1AF","17","1",6,2013,03jun2013
"10161094","1AF","25","1",6,2013,03jun2013
"10163085","1AF","18","1",6,2013,03jun2013
"10181258","1AF","25","1",6,2013,03jun2013
"10181434","1AF","22","1",6,2013,03jun2013
"10161511","1AF","20","1",6,2013,03jun2013
"10160471","1AF","22","1",6,2013,03jun2013
"10163090","1AF","22","1",6,2013,03jun2013
"10181583","1AF","17","1",6,2013,03jun2013
"10181585","1AF","16","1",6,2013,03jun2013
"10181733","1AF","18","1",6,2013,03jun2013
"10160463","1AF","26","1",6,2013,03jun2013
"10161513","1AF","21","1",6,2013,03jun2013
"10163087","1AF","19","1",6,2013,03jun2013
"10160469","1AF","18","1",6,2013,03jun2013
"10181470","1AF","24","1",6,2013,03jun2013
"10160465","1AF","16","1",6,2013,03jun2013
"10160467","1AF","16","1",6,2013,03jun2013
"10181477","1AF","21","1",6,2013,03jun2013
"10161466","1AF","23","1",6,2013,03jun2013
"10166233","1AF","15","1",6,2013,03jun2013
"10162403","1AF","40","1",6,2013,04jun2013
"10182013","1AF","28","1",6,2013,04jun2013
"10166018","1AF","19","1",6,2013,04jun2013
"10162085","1AF","21","1",6,2013,04jun2013
"10181420","1AF","20","1",6,2013,04jun2013
"10181340","1AF","29","1",6,2013,04jun2013
"10162723","1AF","22","1",6,2013,04jun2013
"10163592","1AF","26","1",6,2013,04jun2013
"10162554","1AF","20","1",6,2013,04jun2013
"10181257","1AF","20","1",6,2013,04jun2013
"10181253","1AF","22","1",6,2013,04jun2013
"10162162","1AF","41","1",6,2013,04jun2013
"10166240","1AF","21","1",6,2013,04jun2013
"10181665","1AF","22","1",6,2013,04jun2013
"10166238","1AF","22","1",6,2013,04jun2013
"10162555","1AF","20","1",6,2013,04jun2013
"10166016","1AF","16","1",6,2013,04jun2013
"10162860","1AF","21","1",6,2013,04jun2013
"10181421","1AF","23","1",6,2013,04jun2013
"10163084","1AF","12","1",6,2013,04jun2013
"10162089","1AF","25","1",6,2013,04jun2013
"10181500","1AF","35","1",6,2013,04jun2013
"10181368","1AF","22","1",6,2013,04jun2013
"10161516","1AF","28","1",6,2013,04jun2013
"10181591","1AF","21","1",6,2013,04jun2013
"10162644","1AF","15","1",6,2013,04jun2013
"10181548","1AF","16","1",6,2013,04jun2013
"10181631","1AF","21","1",6,2013,04jun2013
"10162923","1AF","23","1",6,2013,04jun2013
"10162623","1AF","21","1",6,2013,05jun2013
"10181674","1AF","32","1",6,2013,05jun2013
"10181237","1AF","21","1",6,2013,05jun2013
"10162850","1AF","28","1",6,2013,05jun2013
"10163553","1AF","17","1",6,2013,05jun2013
"10181365","1AF","22","1",6,2013,05jun2013
"10162545","1AF","26","1",6,2013,05jun2013
"10181575","1AF","19","1",6,2013,05jun2013
"10181447","1AF","15","1",6,2013,05jun2013
"10162953","1AF","18","1",6,2013,05jun2013
"10181236","1AF","16","1",6,2013,05jun2013
"10162840","1AF","11","1",6,2013,05jun2013
"10163552","1AF","23","1",6,2013,05jun2013
"10162063","1AF","30","1",6,2013,05jun2013
"10162920","1AF","19","1",6,2013,05jun2013
"10181598","1AF","23","1",6,2013,05jun2013
"10181318","1AF","21","1",6,2013,05jun2013
"10162846","1AF","24","1",6,2013,05jun2013
"10162688","1AF","17","1",6,2013,05jun2013
"10162051","1AF","22","1",6,2013,05jun2013
"10181361","1AF","17","1",6,2013,05jun2013
"10162050","1AF","23","1",6,2013,05jun2013
"10181561","1AF","19","1",6,2013,05jun2013
"10163554","1AF","26","1",6,2013,05jun2013
"10166174","1AF","16","1",6,2013,05jun2013
"10162957","1AF","27","1",6,2013,05jun2013
"10162958","1AF","24","1",6,2013,05jun2013
"10162687","1AF","16","1",6,2013,05jun2013
"10181363","1AF","26","1",6,2013,05jun2013
"10181328","1AF","27","1",6,2013,06jun2013
"10181533","1AF","53","1",6,2013,06jun2013
"10161520","1AF","22","1",6,2013,06jun2013
"10161083","1AF","20","1",6,2013,06jun2013
"10182002","1AF","18","1",6,2013,06jun2013
"10181698","1AF","17","1",6,2013,06jun2013
"10161085","1AF","16","1",6,2013,06jun2013
"10160476","1AF","35","1",6,2013,06jun2013
"10162530","1AF","23","1",6,2013,06jun2013
"10180724","1AF","17","1",6,2013,06jun2013
"10180604","1AF","20","1",6,2013,06jun2013
"10181553","1AF","21","1",6,2013,06jun2013
"10160472","1AF","20","1",6,2013,06jun2013
"10181610","1AF","20","1",6,2013,06jun2013
"10181518","1AF","17","1",6,2013,06jun2013
"10160790","1AF","20","1",6,2013,06jun2013
"10166304","1AF","21","1",6,2013,08jun2013
"10160864","1AF","15","1",6,2013,08jun2013
"10162507","1AF","44","1",6,2013,08jun2013
"10162901","1AF","15","1",6,2013,08jun2013
"10166033","1AF","20","1",6,2013,10jun2013
"10160947","1AF","22","1",6,2013,10jun2013
"10161035","1AF","21","1",6,2013,10jun2013
"10162827","1AF","24","1",6,2013,10jun2013
"10162010","1AF","31","1",6,2013,11jun2013
"10162699","1AF","22","1",6,2013,15jun2013
"10162698","1AF","24","1",6,2013,15jun2013
"10160134","1AF","26","1",6,2013,15jun2013
"10160123","1AF","22","1",6,2013,15jun2013
"10162496","1AF","18","1",6,2013,17jun2013
"10160142","1AF","20","1",6,2013,17jun2013
"10160175","1AF","18","1",6,2013,17jun2013
"10160155","1AF","20","1",6,2013,17jun2013
"10181451","1AF","25","1",6,2013,17jun2013
"10160169","1AF","24","1",6,2013,17jun2013
"10160174","1AF","16","1",6,2013,17jun2013
"10160133","1AF","16","1",6,2013,17jun2013
"10160132","1AF","23","1",6,2013,17jun2013
"10160177","1AF","29","1",6,2013,17jun2013
"10160267","1AF","29","1",6,2013,17jun2013
"10160121","1AF","20","1",6,2013,17jun2013
"10160182","1AF","41","1",6,2013,17jun2013
"10160148","1AF","32","1",6,2013,17jun2013
"10181715","1AF","21","1",6,2013,17jun2013
"10166295","1AF","23","1",6,2013,17jun2013
"10160268","1AF","29","1",6,2013,17jun2013
"10160124","1AF","23","1",6,2013,17jun2013
"10162720","1AF","22","1",6,2013,17jun2013
"10166208","1AF","29","1",6,2013,17jun2013
"10160150","1AF","20","1",6,2013,17jun2013
"10181686","1AF","19","1",6,2013,17jun2013
"10160270","1AF","16","1",6,2013,17jun2013
"10181706","1AF","18","1",6,2013,18jun2013
"10162029","1AF","21","1",6,2013,18jun2013
"10181576","1AF","21","1",6,2013,18jun2013
"10162035","1AF","22","1",6,2013,18jun2013
"10180906","1AF","26","1",6,2013,18jun2013
"10181578","1AF","21","1",6,2013,18jun2013
"10181396","1AF","28","1",6,2013,18jun2013
"10161003","1AF","19","1",6,2013,18jun2013
"10181636","1AF","16","1",6,2013,18jun2013
"10181649","1AF","12","1",6,2013,18jun2013
"10162012","1AF","15","1",6,2013,18jun2013
"10161017","1AF","20","1",6,2013,18jun2013
"10163041","1AF","25","1",6,2013,18jun2013
"10181577","1AF","24","1",6,2013,18jun2013
"10161005","1AF","24","1",6,2013,18jun2013
"10161007","1AF","15","1",6,2013,18jun2013
"10162030","1AF","30","1",6,2013,18jun2013
"10161016","1AF","21","1",6,2013,18jun2013
"10162033","1AF","22","1",6,2013,18jun2013
"10166024","1AF","25","1",6,2013,18jun2013
"10181633","1AF","18","1",6,2013,18jun2013
"10161023","1AF","28","1",6,2013,18jun2013
"10181710","1AF","15","1",6,2013,18jun2013
"10181675","1AF","18","1",6,2013,18jun2013
"10162032","1AF","21","1",6,2013,18jun2013
"10181719","1AF","19","1",6,2013,18jun2013
"10163426","1AF","32","1",6,2013,19jun2013
"10163269","1AF","18","1",6,2013,19jun2013
"10161278","1AF","31","1",6,2013,19jun2013
"10163423","1AF","42","1",6,2013,19jun2013
"10163270","1AF","16","1",6,2013,19jun2013
"10181650","1AF","21","1",6,2013,19jun2013
"10163244","1AF","19","1",6,2013,19jun2013
"10181646","1AF","24","1",6,2013,19jun2013
"10163044","1AF","21","1",6,2013,19jun2013
"10181530","1AF","19","1",6,2013,19jun2013
"10163265","1AF","20","1",6,2013,19jun2013
"10161244","1AF","19","1",6,2013,19jun2013
"10181723","1AF","24","1",6,2013,19jun2013
"10163029","1AF","21","1",6,2013,19jun2013
"10163282","1AF","17","1",6,2013,19jun2013
"10181244","1AF","20","1",6,2013,19jun2013
"10181430","1AF","20","1",6,2013,19jun2013
"10181243","1AF","28","1",6,2013,19jun2013
"10181498","1AF","18","1",6,2013,19jun2013
"10070076","KKM","23","1",6,2013,19jun2013
"10181531","1AF","32","1",6,2013,19jun2013
"10166064","1AF","17","1",6,2013,19jun2013
"10180356","1AF","30","1",6,2013,19jun2013
"10163027","1AF","23","1",6,2013,19jun2013
"10181476","1AF","21","1",6,2013,20jun2013
"10162236","1AF","25","1",6,2013,20jun2013
"10181465","1AF","24","1",6,2013,20jun2013
"10162243","1AF","21","1",6,2013,20jun2013
"10181238","1AF","17","1",6,2013,20jun2013
"10161277","1AF","19","1",6,2013,20jun2013
"10163400","1AF","21","1",6,2013,20jun2013
"10161240","1AF","20","1",6,2013,20jun2013
"10163401","1AF","15","1",6,2013,20jun2013
"10163403","1AF","14","1",6,2013,20jun2013
"10181323","1AF","25","1",6,2013,20jun2013
"10163289","1AF","23","1",6,2013,20jun2013
"10161272","1AF","18","1",6,2013,20jun2013
"10161273","1AF","29","1",6,2013,20jun2013
"10163290","1AF","16","1",6,2013,20jun2013
"10181464","1AF","32","1",6,2013,20jun2013
"10161271","1AF","20","1",6,2013,20jun2013
"10181462","1AF","15","1",6,2013,20jun2013
"10161279","1AF","27","1",6,2013,20jun2013
"10166010","1AF","18","1",6,2013,20jun2013
"10166005","1AF","19","1",6,2013,20jun2013
"10161242","1AF","18","1",6,2013,20jun2013
"10163402","1AF","22","1",6,2013,20jun2013
"10166115","1AF","17","1",6,2013,20jun2013
"10162238","1AF","23","1",6,2013,20jun2013
"10181259","1AF","16","1",6,2013,20jun2013
"10181597","1AF","16","1",6,2013,20jun2013
"10160502","1AF","27","1",6,2013,21jun2013
"10160487","1AF","25","1",6,2013,21jun2013
"10181332","1AF","34","1",6,2013,21jun2013
"10181493","1AF","22","1",6,2013,21jun2013
"10161920","1AF","13","1",6,2013,21jun2013
"10166098","1AF","13","1",6,2013,21jun2013
"10163287","1AF","22","1",6,2013,21jun2013
"10163293","1AF","21","1",6,2013,21jun2013
"10162301","1AF","23","1",6,2013,21jun2013
"10163286","1AF","18","1",6,2013,21jun2013
"10181242","1AF","17","1",6,2013,21jun2013
"10163251","1AF","26","1",6,2013,21jun2013
"10162272","1AF","40","1",6,2013,21jun2013
"10180825","1AF","20","1",6,2013,21jun2013
"10160505","1AF","26","1",6,2013,21jun2013
"10166210","1AF","21","1",6,2013,21jun2013
