id,t011_program,t313_wpt_fail,t301b_wpt_flow_rate_slow,t302_landowner_personality,t302a_rep_WSB_talkedto,t302b_rep_WSB_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t008_country,month,year
,Zomba 3,0,0,0,0,0,1,0,3,3,0,163.3333,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,57.91667,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,32.91667,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,22.91667,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,53.33333,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,70,1,3,8,2014
,Zomba 3,0,1,0,0,0,1,0,3,3,0,48.33333,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,11,46.66667,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,61,1,3,8,2014
,Zomba 3,0,1,0,0,0,1,0,3,3,0,87.33334,1,3,8,2014
,Zomba 3,0,1,0,0,0,1,0,3,3,0,83.66666,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,47,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,140,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,40,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,50.33333,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,146.6667,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,38.33333,1,3,8,2014
,Zomba 1_2,0,0,0,0,0,1,0,3,3,0,,1,3,11,2013
,Zomba 3,Don't know,0,0,0,0,0,0,0,0,0,,0,3,9,2014
,Zomba 4,0,0,0,0,0,1,0,3,3,0,69.33334,1,3,10,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,260,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,233.3333,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,80,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,53.33333,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,350,1,3,9,2014
,Zomba 4,0,0,0,0,0,1,0,3,3,0,56.66667,1,3,10,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,350,1,3,9,2014
,Zomba 4,0,0,1,0,0,1,0,3,3,0,46.66667,1,3,10,2014
,Zomba 3,0,0,1,0,0,1,0,2,1,0,,0,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,50,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,110,1,3,9,2014
,Zomba 3,0,0,1,0,0,1,0,3,3,0,25,1,3,9,2014
,Zomba 3,0,0,1,0,0,1,0,1,1,0,,0,3,9,2014
,Zomba 3,1,0,1,0,0,1,0,1,1,0,,0,3,9,2014
,Zomba 4,0,0,0,0,0,1,0,3,3,0,56.66667,1,3,10,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,60,1,3,9,2014
,Zomba 3,0,0,0,0,0,0,0,0,0,0,,0,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,53.33333,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,100,1,3,9,2014
,Zomba 3,0,0,1,0,0,1,0,3,3,0,11.66667,1,3,9,2014
,Zomba 4,0,0,1,0,0,1,0,3,3,0,56.66667,1,3,9,2014
,Zomba 4,0,0,0,0,0,1,0,3,3,0,56.66667,1,3,10,2014
,Zomba 4,0,0,0,0,0,1,0,3,3,0,56.66667,1,3,10,2014
,Zomba 3,0,0,1,0,0,1,0,1,3,0,,0,3,9,2014
,Zomba 3,0,0,0,0,0,0,0,0,0,0,,0,3,9,2014
,Zomba 3,Don't know,1,0,0,0,1,0,0,0,0,,0,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,116.6667,1,3,9,2014
,Zomba 3,0,0,0,0,0,0,0,0,0,0,,0,3,9,2014
,Zomba 3,1,0,0,0,0,0,0,0,0,0,,0,3,8,2014
,Zomba 4,0,0,1,0,0,1,0,3,3,0,18,1,3,10,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,47.33333,1,3,9,2014
,Zomba 3,0,0,1,0,0,1,0,2,2,0,34,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,150.6667,1,3,9,2014
,Zomba 3,0,0,1,0,0,1,0,2,3,0,30.33333,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,44,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,50.5,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,40,1,3,9,2014
,Zomba 3,0,0,1,0,0,1,0,3,3,0,50,1,3,9,2014
,Zomba 3,0,0,1,0,0,1,0,3,3,0,75,1,3,9,2014
,Zomba 3,0,0,1,0,0,1,0,3,3,0,55,1,3,9,2014
,Zomba 3,Don't know,0,0,0,0,0,0,0,0,0,,0,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,87.5,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,127.5,1,3,9,2014
,Zomba 3,0,0,1,0,0,1,0,3,3,0,65,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,39,1,3,9,2014
,Zomba 4,1,0,0,0,0,1,0,3,3,0,7.5,0,3,9,2014
