ID,cem301_attendees_total,cem011 prgrm,month,year
,18,Kibuku  3,4,2014
,45,Kibuku  3,5,2013
,42,Kibuku  3,5,2013
,19,Kibuku  3,4,2013
,30,Kibuku  3,5,2013
,41,Kibuku  3,4,2013
,48,Kibuku  3,3,2015
,64,Kibuku  3,3,2015
,46,Kibuku  3,5,2013
,28,Kibuku  3,5,2013
,31,Kibuku  3,4,2013
,37,Kibuku  3,4,2013
,20,Kibuku  3,4,2013
,58,Kibuku  3,3,2015
,40,Kibuku  3,4,2014
,78,Kibuku  3,5,2013
,24,Kibuku  3,4,2014
,49,Kibuku  3,5,2013
,30,Kibuku  3,4,2014
,38,Kibuku  3,4,2013
,40,Kibuku  3,5,2013
,63,Kibuku  3,5,2013
,27,Kibuku  3,4,2013
,48,Kibuku  3,5,2013
,29,Kibuku  3,3,2015
,36,Kibuku  3,5,2013
,24,Kibuku  3,4,2014
,36,Kibuku  3,3,2015
,49,Kibuku  3,5,2013
,23,Kibuku  3,4,2013
,13,Kibuku  3,5,2013
,33,Kibuku  3,6,2014
,28,Kibuku  3,5,2013
,21,Kibuku  3,4,2013
,30,Kibuku  3,4,2013
,33,Kibuku  3,4,2013
,36,Kibuku  3,5,2013
,25,Kibuku  3,4,2014
,32,Kibuku  3,4,2013
,32,Kibuku  3,5,2013
,68,Kibuku  3,3,2015
,60,Kibuku  3,5,2013
,43,Kibuku  3,4,2014
,27,Kibuku  3,5,2013
,29,Kibuku  3,4,2013
,67,Kibuku  3,3,2015
,34,Kibuku  3,5,2013
,54,Kibuku  3,4,2013
,48,Kibuku  3,3,2015
,31,Kibuku  3,4,2013
,31,Kibuku  3,5,2013
,35,Kibuku  3,4,2013
,22,Kibuku  3,4,2013
,66,Kibuku  3,3,2015
,52,Kibuku  3,5,2013
,45,Kibuku  3,3,2015
,28,Kibuku  3,5,2013
,67,Kibuku  3,3,2015
,45,Kibuku  3,3,2015
,61,Kibuku  3,3,2015
,19,Kibuku  3,4,2013
,36,Kibuku  3,5,2013
,31,Kibuku  3,4,2014
,30,Kibuku  3,4,2013
,78,Kibuku  3,5,2013
,24,Kibuku  3,4,2013
,39,Kibuku  3,3,2015
,38,Kibuku  3,4,2013
,52,Kibuku  3,3,2015
,40,Kibuku  3,4,2013
,55,Kibuku  3,5,2013
,24,Kibuku  3,4,2013
,36,Kibuku  3,5,2013
,47,Kibuku  3,5,2013
,36,Kibuku  3,4,2013
,43,Kibuku  3,4,2013
,22,Kibuku  3,4,2013
,34,Kibuku  3,5,2013
,27,Kibuku  3,3,2015
,61,Kibuku  3,3,2015
,30,Kibuku  3,4,2013
,35,Kibuku  3,3,2015
,20,Kibuku  3,4,2013
,39,Kibuku  3,8,2013
,32,Kibuku  3,4,2013
,42,Kibuku  3,4,2013
,43,Kibuku  3,5,2013
,40,Kibuku  3,5,2013
,30,Kibuku  3,5,2013
,37,Kibuku  3,4,2013
,28,Kibuku  3,5,2013
,29,Kibuku  3,5,2013
,22,Kibuku  3,5,2013
,38,Kibuku  3,3,2015
,30,Kibuku  3,5,2013
,28,Kibuku  3,4,2014
,50,Kibuku  3,5,2013
,27,Kibuku  3,5,2013
,39,Kibuku  3,4,2013
,25,Kibuku  3,5,2013
,21,Kibuku  3,4,2014
,37,Kibuku  3,5,2013
,33,Kibuku  3,5,2013
,47,Kibuku  3,5,2013
,50,Kibuku  3,5,2013
,35,Kibuku  3,5,2013
,70,Kibuku  3,3,2015
,46,Kibuku  3,4,2014
,33,Kibuku  3,3,2015
,37,Kibuku  3,5,2013
,30,Kibuku  3,5,2013
,17,Kibuku  3,4,2013
,70,Kibuku  3,5,2013
,33,Kibuku  3,4,2013
,40,Kibuku  3,5,2013
,36,Kibuku  3,3,2015
,37,Kibuku  3,3,2015
,56,Kibuku  3,3,2015
,44,Kibuku  3,3,2015
,52,Kibuku  3,8,2013
,35,Kibuku  3,5,2013
,35,Kibuku  3,4,2013
,42,Kibuku  3,3,2015
,51,Kibuku  3,3,2015
,18,Kibuku  3,5,2013
,60,Kibuku  3,3,2015
,56,Kibuku  3,5,2013
,54,Kibuku  3,5,2013
,48,Kibuku  3,5,2013
,33,Kibuku  3,4,2013
,33,Kibuku  3,4,2013
,37,Kibuku  3,3,2015
,38,Kibuku  3,5,2013
,10,Kibuku  3,4,2013
,49,Kibuku  3,5,2013
,34,Kibuku  3,3,2015
,43,Kibuku  3,5,2013
,33,Kibuku  3,3,2015
,31,Kibuku  3,5,2013
,58,Kibuku  3,4,2013
,44,Kibuku  3,4,2013
,30,Kibuku  3,4,2013
,59,Kibuku  3,4,2013
,23,Kibuku  3,3,2015
,47,Kibuku  3,5,2013
,61,Kibuku  3,5,2013
,22,Kibuku  3,4,2013
,50,Kibuku  3,5,2013
,55,Kibuku  3,4,2013
,30,Kibuku  3,5,2013
,52,Kibuku  3,4,2014
,28,Kibuku  3,4,2014
,54,Kibuku  3,4,2013
,35,Kibuku  3,5,2013
,29,Kibuku  3,4,2013
,41,Kibuku  3,5,2013
,52,Kibuku  3,4,2014
,67,Kibuku  3,5,2013
,60,Kibuku  3,5,2013
,14,Kibuku  3,3,2015
,67,Kibuku  3,3,2015
,22,Kibuku  3,4,2013
,31,Kibuku  3,4,2013
,31,Kibuku  3,4,2013
,30,Kibuku  3,4,2013
,70,Kibuku  3,3,2015
,44,Kibuku  3,4,2013
,50,Kibuku  3,5,2013
,28,Kibuku  3,5,2013
,14,Kibuku  3,5,2013
,102,Kibuku  3,4,2013
,41,Kibuku  3,5,2013
,35,Kibuku  3,4,2013
,31,Kibuku  3,4,2014
,28,Kibuku  3,4,2013
,40,Kibuku  3,5,2013
,49,Kibuku  3,5,2013
,67,Kibuku  3,5,2013
,35,Kibuku  3,5,2013
,31,Kibuku  3,4,2013
,51,Kibuku  3,5,2013
,32,Kibuku  3,4,2013
,22,Kibuku  3,4,2013
,34,Kibuku  3,5,2013
,34,Kibuku  3,3,2015
,61,Kibuku  3,3,2015
,58,Kibuku  3,3,2015
,39,Kibuku  3,5,2013
,35,Kibuku  3,5,2013
,55,Kibuku  3,5,2013
,21,Kibuku  3,4,2013
,60,Kibuku  3,3,2015
,28,Kibuku  3,4,2013
,41,Kibuku  3,5,2013
,60,Kibuku  3,3,2015
,31,Kibuku  3,5,2013
,16,Kibuku  3,4,2013
,61,Kibuku  3,5,2013
,43,Kibuku  3,5,2013
,39,Kibuku  3,4,2013
,32,Kibuku  3,5,2013
,30,Kibuku  3,4,2013
,19,Kibuku  3,4,2013
,72,Kibuku  3,5,2013
,45,Kibuku  3,4,2014
,26,Kibuku  3,3,2015
,30,Kibuku  3,5,2013
,29,Kibuku  3,4,2014
,30,Kibuku  3,5,2013
,49,Kibuku  3,4,2014
,34,Kibuku  3,4,2013
,37,Kibuku  3,4,2013
,46,Kibuku  3,5,2013
,69,Kibuku  3,4,2014
,56,Kibuku  3,5,2013
,25,Kibuku  3,5,2013
,28,Kibuku  3,4,2013
,62,Kibuku  3,5,2013
,96,Kibuku  3,5,2013
,40,Kibuku  3,5,2013
,41,Kibuku  3,5,2013
,31,Kibuku  3,3,2015
,23,Kibuku  3,5,2013
,47,Kibuku  3,5,2013
,40,Kibuku  3,5,2013
,48,Kibuku  3,5,2013
,48,Kibuku  3,4,2013
,26,Kibuku  3,4,2013
,28,Kibuku  3,5,2013
,41,Kibuku  3,5,2013
,25,Kibuku  3,3,2015
,32,Kibuku  3,4,2013
,58,Kibuku  3,5,2013
,69,Kibuku  3,5,2013
,61,Kibuku  3,3,2015
,45,Kibuku  3,5,2013
,30,Kibuku  3,5,2013
,50,Kibuku  3,5,2013
,37,Kibuku  3,4,2013
,64,Kibuku  3,5,2013
,17,Kibuku  3,3,2015
,61,Kibuku  3,5,2013
,38,Kibuku  3,5,2013
,28,Kibuku  3,4,2013
,59,Kibuku  3,4,2013
,33,Kibuku  3,3,2015
,55,Kibuku  3,5,2013
,52,Kibuku  3,3,2015
,21,Kibuku  3,5,2013
,40,Kibuku  3,4,2013
,60,Kibuku  3,5,2013
,21,Kibuku  3,4,2014
,43,Kibuku  3,4,2013
,67,Kibuku  3,5,2013
,29,Kibuku  3,4,2013
,89,Kibuku  3,5,2013
,56,Kibuku  3,5,2013
,50,Kibuku  3,4,2014
,33,Kibuku  3,5,2013
,22,Kibuku  3,4,2013
,23,Kibuku  3,5,2013
,27,Kibuku  3,5,2013
,28,Kibuku  3,5,2013
,32,Kibuku  3,4,2013
,21,Kibuku  3,4,2013
,25,Kibuku  3,4,2014
,45,Kibuku  3,5,2013
,45,Kibuku  3,5,2013
,33,Kibuku  3,4,2013
,30,Kibuku  3,5,2013
,32,Kibuku  3,3,2015
,48,Kibuku  3,4,2013
,41,Kibuku  3,4,2013
,64,Kibuku  3,3,2015
,39,Kibuku  3,5,2013
