id,cem301_attendees_total,cem011_prgrm,month,year,cem009_country,cem005_today
,16,Zomba 6,6,2015,3,23-Jun-15
,20,Zomba 4,3,2015,3,17mar2015
,11,Zomba 6,6,2015,3,06-Jun-15
,60,Zomba 4,3,2015,3,24mar2015
,40,Zomba 6,6,2015,3,10-Jun-15
,35,Zomba 4,3,2015,3,31mar2015
,32,Zomba 4,3,2015,3,10mar2015
,34,Zomba 4,12,2014,3,17dec2014
,22,Zomba 6,6,2015,3,21-Jun-15
,40,Zomba 6,6,2015,3,19-Jun-15
,22,Zomba 4,3,2015,3,10mar2015
,50,Zomba 5,5,2015,3,29may2015
,55,Zomba 5,6,2015,3,02-Jun-15
,26,Zomba 5,5,2015,3,27may2015
,42,Zomba 3,12,2014,3,11dec2014
,50,Zomba 5,6,2015,3,07-Jun-15
,25,Zomba 3,12,2014,3,01dec2014
,17,Zomba 4,12,2014,3,18dec2014
,24,Zomba 5,6,2015,3,01-Jun-15
,27,Zomba 5,5,2015,3,31may2015
,45,Zomba 5,5,2015,3,27may2015
,15,Zomba 6,6,2015,3,05-Jun-15
,52,Zomba 3,12,2014,3,12dec2014
,34,Zomba 6,6,2015,3,29-Jun-15
,26,Zomba 4,3,2015,3,18mar2015
,30,Zomba 3,11,2014,3,30-Nov-14
,30,Zomba 6,6,2015,3,12-Jun-15
,52,Zomba 6,7,2015,3,10-Jul-15
,200,Zomba 4,12,2014,3,16dec2014
,19,Zomba 6,6,2015,3,14-Jun-15
,32,Zomba 5,5,2015,3,18may2015
,42,Zomba 6,6,2015,3,06-Jun-15
,40,Zomba 3,12,2014,3,15dec2014
,26,Zomba 5,5,2015,3,28may2015
,37,Zomba 5,6,2015,3,01-Jun-15
,32,Zomba 6,6,2015,3,30-Jun-15
,34,Zomba 5,5,2015,3,28may2015
,18,Zomba 4,3,2015,3,24mar2015
,30,Zomba 5,5,2015,3,28may2015
,17,Zomba 6,6,2015,3,22-Jun-15
,19,Zomba 6,6,2015,3,07-Jun-15
,70,Zomba 6,6,2015,3,05-Jun-15
,20,Zomba 6,6,2015,3,02-Jun-15
,42,Zomba 4,3,2015,3,20mar2015
,90,Zomba 4,5,2015,3,12may2015
,50,Zomba 5,5,2015,3,26may2015
,78,Zomba 3,12,2014,3,18dec2014
,28,Zomba 4,3,2015,3,10mar2015
,13,Zomba 6,6,2015,3,28-Jun-15
,9,Zomba 6,6,2015,3,24-Jun-15
,70,Zomba 4,3,2015,3,18mar2015
,20,Zomba 5,5,2015,3,22may2015
,140,Zomba 3,11,2014,3,22-Nov-14
,15,Zomba 6,6,2015,3,22-Jun-15
,29,Zomba 3,11,2014,3,21-Nov-14
,25,Zomba 4,3,2015,3,14mar2015
,30,Zomba 3,12,2014,3,13dec2014
,40,Zomba 5,6,2015,3,02-Jun-15
,42,Zomba 4,3,2015,3,19mar2015
,45,Zomba 6,6,2015,3,25-Jun-15
,50,Zomba 5,5,2015,3,20may2015
,11,Zomba 6,6,2015,3,12-Jun-15
,93,Zomba 3,11,2014,3,23-Nov-14
,84,Zomba 4,3,2015,3,21mar2015
,19,Zomba 5,6,2015,3,02-Jun-15
,11,Zomba 4,12,2014,3,19dec2014
,35,Zomba 4,3,2015,3,17mar2015
,17,Zomba 5,5,2015,3,29may2015
,20,Zomba 5,5,2015,3,31may2015
,39,Zomba 6,6,2015,3,13-Jun-15
,70,Zomba 6,6,2015,3,11-Jun-15
,60,Zomba 6,6,2015,3,07-Jun-15
