id,vcs201_attendees_total,vcs011_prgrm,month,year,vcs009_country
,55,Busia,9,2014,1
,98,Busia,5,2015,1
,35,Busia,6,2015,1
,24,Busia,9,2014,1
,36,Busia,9,2014,1
,47,Busia,5,2015,1
,37,Busia,4,2015,1
,50,Busia,9,2014,1
,35,Busia,5,2015,1
,37,Busia,9,2014,1
,38,Busia,5,2015,1
,25,Busia,9,2014,1
,41,Busia,4,2015,1
,40,Busia,5,2015,1
,20,Busia,5,2015,1
,71,Busia,9,2014,1
,47,Busia,5,2015,1
,33,Busia,5,2015,1
,21,Busia,9,2014,1
,38,Busia,4,2015,1
,30,Busia,5,2015,1
,43,Busia,5,2015,1
,72,Busia,5,2015,1
,32,Busia,5,2015,1
,49,Busia,5,2015,1
,75,Busia,5,2015,1
,51,Busia,9,2014,1
,33,Busia,5,2015,1
,26,Busia,4,2015,1
,19,Busia,9,2014,1
,54,Busia,9,2014,1
,28,Busia,4,2015,1
,39,Busia,9,2014,1
,78,Busia,5,2015,1
,39,Busia,4,2015,1
,34,Busia,9,2014,1
,35,Busia,9,2014,1
,22,Busia,4,2015,1
,30,Busia,9,2014,1
,69,Busia,9,2014,1
,49,Busia,9,2014,1
,46,Busia,4,2015,1
,50,Busia,9,2014,1
,32,Busia,4,2015,1
,23,Busia,6,2015,1
,30,Busia,5,2015,1
,24,Busia,5,2015,1
,63,Busia,9,2014,1
,51,Busia,5,2015,1
,36,Busia,5,2015,1
,27,Busia,4,2015,1
,22,Busia,9,2014,1
,30,Busia,4,2015,1
,48,Busia,9,2014,1
,51,Busia,9,2014,1
,34,Busia,5,2015,1
,36,Busia,9,2014,1
,20,Busia,4,2015,1
,51,Busia,5,2015,1
,31,Busia,4,2015,1
,33,Busia,9,2014,1
,31,Busia,9,2014,1
,69,Busia,5,2015,1
,34,Busia,4,2015,1
,22,Busia,5,2015,1
,39,Busia,4,2015,1
,57,Busia,9,2014,1
,31,Busia,9,2014,1
,37,Busia,4,2015,1
,23,Busia,5,2015,1
,56,Busia,9,2014,1
,22,Busia,5,2015,1
,52,Busia,5,2015,1
,33,Busia,5,2015,1
,42,Busia,9,2014,1
,30,Busia,5,2015,1
,44,Busia,5,2015,1
,64,Busia,9,2014,1
,22,Busia,9,2014,1
,54,Busia,5,2015,1
,22,Busia,5,2015,1
,50,Busia,5,2015,1
,47,Busia,9,2014,1
,70,Busia,5,2015,1
,30,Busia,5,2015,1
,32,Busia,4,2015,1
,96,Busia,9,2014,1
,55,Busia,5,2015,1
,37,Busia,5,2015,1
,61,Busia,5,2015,1
,19,Busia,9,2014,1
,36,Busia,4,2015,1
,52,Busia,5,2015,1
,48,Busia,5,2015,1
,44,Busia,4,2015,1
,47,Busia,4,2015,1
,28,Busia,9,2014,1
,74,Busia,5,2015,1
,32,Busia,5,2015,1
,38,Busia,5,2015,1
,48,Busia,9,2014,1
,40,Busia,4,2015,1
,43,Busia,9,2014,1
,31,Busia,9,2014,1
,36,Busia,9,2014,1
,43,Busia,9,2014,1
,34,Busia,4,2015,1
,46,Busia,9,2014,1
,46,Busia,9,2014,1
,38,Busia,9,2014,1
,31,Busia,9,2014,1
,48,Busia,9,2014,1
,26,Busia,4,2015,1
,30,Busia,5,2015,1
,38,Busia,4,2015,1
,20,Busia,5,2015,1
,28,Busia,9,2014,1
,44,Busia,5,2015,1
,34,Busia,5,2015,1
,42,Busia,9,2014,1
,46,Busia,5,2015,1
,36,Busia,4,2015,1
,32,Busia,9,2014,1
,67,Busia,9,2014,1
,36,Busia,9,2014,1
,86,Busia,5,2015,1
,31,Busia,5,2015,1
,23,Busia,9,2014,1
,42,Busia,4,2015,1
,35,Busia,5,2015,1
,42,Busia,9,2014,1
,32,Busia,9,2014,1
,33,Busia,9,2014,1
,40,Busia,4,2015,1
,43,Busia,5,2015,1
,23,Busia,4,2015,1
,34,Busia,5,2015,1
,36,Busia,4,2015,1
,41,Busia,9,2014,1
,35,Busia,9,2014,1
,35,Busia,9,2014,1
,28,Busia,4,2015,1
,31,Busia,4,2015,1
,38,Busia,4,2015,1
,44,Busia,9,2014,1
,30,Busia,5,2015,1
,48,Busia,9,2014,1
,23,Busia,5,2015,1
,35,Busia,9,2014,1
,26,Busia,9,2014,1
,26,Busia,4,2015,1
,25,Busia,4,2015,1
,20,Busia,9,2014,1
,53,Busia,4,2015,1
,20,Busia,9,2014,1
,41,Busia,4,2015,1
,21,Busia,4,2015,1
,24,Busia,9,2014,1
,61,Busia,5,2015,1
,51,Busia,5,2015,1
,38,Busia,9,2014,1
,39,Busia,4,2015,1
,27,Busia,4,2015,1
,47,Busia,5,2015,1
,36,Busia,5,2015,1
,42,Busia,4,2015,1
,31,Busia,9,2014,1
,20,Busia,4,2015,1
,55,Busia,9,2014,1
,19,Busia,9,2014,1
,55,Busia,5,2015,1
,38,Busia,5,2015,1
,36,Busia,9,2014,1
,54,Busia,5,2015,1
,33,Busia,4,2015,1
,35,Busia,5,2015,1
,35,Busia,4,2015,1
,36,Busia,5,2015,1
,42,Busia,5,2015,1
,31,Busia,9,2014,1
,29,Busia,9,2014,1
,34,Busia,9,2014,1
,29,Busia,5,2015,1
,56,Busia,4,2015,1
,40,Busia,5,2015,1
,52,Busia,9,2014,1
,36,Busia,5,2015,1
,31,Busia,5,2015,1
,51,Busia,5,2015,1
,72,Busia,9,2014,1
,23,Busia,4,2015,1
,40,Busia,4,2015,1
,49,Busia,9,2014,1
,31,Busia,5,2015,1
,32,Busia,4,2015,1
,50,Busia,4,2015,1
,34,Busia,4,2015,1
,31,Busia,9,2014,1
,74,Busia,9,2014,1
,62,Busia,4,2015,1
,31,Busia,4,2015,1
,47,Busia,9,2014,1
,37,Busia,4,2015,1
,45,Busia,5,2015,1
,49,Busia,5,2015,1
,42,Busia,5,2015,1
,26,Busia,5,2015,1
,46,Busia,9,2014,1
,31,Busia,5,2015,1
,41,Busia,5,2015,1
,20,Busia,9,2014,1
,50,Busia,9,2014,1
,42,Busia,4,2015,1
,30,Busia,5,2015,1
,29,Busia,4,2015,1
,25,Busia,6,2015,1
,32,Busia,5,2015,1
,24,Busia,9,2014,1
,72,Busia,5,2015,1
,40,Busia,9,2014,1
,32,Busia,9,2014,1
,33,Busia,4,2015,1
,32,Busia,9,2014,1
,40,Busia,9,2014,1
,36,Busia,5,2015,1
,80,Busia,9,2014,1
,35,Busia,5,2015,1
,33,Busia,4,2015,1
,30,Busia,9,2014,1
,26,Busia,9,2014,1
,38,Busia,9,2014,1
,30,Busia,5,2015,1
,41,Busia,5,2015,1
,21,Busia,4,2015,1
,35,Busia,5,2015,1
,55,Busia,4,2015,1
,43,Busia,9,2014,1
,40,Busia,9,2014,1
,82,Busia,9,2014,1
,74,Busia,5,2015,1
,43,Busia,5,2015,1
,65,Busia,5,2015,1
,36,Busia,5,2015,1
,65,Busia,9,2014,1
,48,Busia,9,2014,1
,37,Busia,9,2014,1
,38,Busia,5,2015,1
,50,Busia,5,2015,1
,25,Busia,5,2015,1
,37,Busia,9,2014,1
,49,Busia,9,2014,1
,24,Busia,5,2015,1
,24,Busia,5,2015,1
,27,Busia,9,2014,1
,48,Busia,9,2014,1
,25,Busia,9,2014,1
,40,Busia,9,2014,1
,24,Busia,9,2014,1
,25,Busia,5,2015,1
,37,Busia,9,2014,1
,34,Busia,4,2015,1
,32,Busia,9,2014,1
,37,Busia,9,2014,1
,26,Busia,9,2014,1
,54,Busia,4,2015,1
,36,Busia,4,2015,1
,44,Busia,9,2014,1
,24,Busia,4,2015,1
,36,Busia,5,2015,1
,37,Busia,4,2015,1
,36,Busia,9,2014,1
,25,Busia,9,2014,1
,57,Busia,9,2014,1
,35,Busia,5,2015,1
,30,Busia,9,2014,1
,21,Busia,9,2014,1
,26,Busia,9,2014,1
,31,Busia,9,2014,1
,44,Busia,9,2014,1
,48,Busia,9,2014,1
,27,Busia,4,2015,1
,37,Busia,5,2015,1
,40,Busia,9,2014,1
,34,Busia,4,2015,1
,33,Busia,5,2015,1
,40,Busia,5,2015,1
,55,Busia,9,2014,1
,49,Busia,9,2014,1
,44,Busia,9,2014,1
,55,Busia,9,2014,1
,41,Busia,9,2014,1
,36,Busia,5,2015,1
,39,Busia,5,2015,1
,44,Busia,5,2015,1
