id,cem011_prgrm,cem301_attendees_total,cem009_country,month,year,cem005_today
,Once Acre Fund,39,1,5,2013,16may2013
,Once Acre Fund,22,1,5,2013,16may2013
,Once Acre Fund,19,1,5,2013,16may2013
,Once Acre Fund,17,1,5,2013,16may2013
,Once Acre Fund,19,1,5,2013,16may2013
,Once Acre Fund,21,1,5,2013,16may2013
,Once Acre Fund,27,1,5,2013,16may2013
,Once Acre Fund,20,1,5,2013,16may2013
,Once Acre Fund,33,1,5,2013,16may2013
,Once Acre Fund,16,1,5,2013,16may2013
,Once Acre Fund,27,1,5,2013,16may2013
,Once Acre Fund,18,1,5,2013,16may2013
,Once Acre Fund,19,1,5,2013,16may2013
,Once Acre Fund,22,1,5,2013,16may2013
,Once Acre Fund,18,1,5,2013,16may2013
,Once Acre Fund,19,1,5,2013,16may2013
,Once Acre Fund,15,1,5,2013,16may2013
,Once Acre Fund,29,1,5,2013,16may2013
,Once Acre Fund,19,1,5,2013,16may2013
,Once Acre Fund,30,1,5,2013,16may2013
,Once Acre Fund,20,1,5,2013,16may2013
,Once Acre Fund,14,1,5,2013,16may2013
,Once Acre Fund,27,1,5,2013,16may2013
,Once Acre Fund,37,1,5,2013,16may2013
,Once Acre Fund,21,1,5,2013,17may2013
,Once Acre Fund,44,1,5,2013,17may2013
,Once Acre Fund,16,1,5,2013,17may2013
,Once Acre Fund,10,1,5,2013,17may2013
,Once Acre Fund,26,1,5,2013,17may2013
,Once Acre Fund,21,1,5,2013,17may2013
,Once Acre Fund,31,1,5,2013,17may2013
,Once Acre Fund,16,1,5,2013,17may2013
,Once Acre Fund,22,1,5,2013,17may2013
,Once Acre Fund,28,1,5,2013,17may2013
,Once Acre Fund,17,1,5,2013,17may2013
,Once Acre Fund,19,1,5,2013,17may2013
,Once Acre Fund,27,1,5,2013,17may2013
,Once Acre Fund,21,1,5,2013,17may2013
,Once Acre Fund,20,1,5,2013,22may2013
,Once Acre Fund,23,1,5,2013,25may2013
,Once Acre Fund,26,1,5,2013,26may2013
,Once Acre Fund,19,1,5,2013,26may2013
,Once Acre Fund,26,1,5,2013,27may2013
,Once Acre Fund,37,1,5,2013,27may2013
,Once Acre Fund,44,1,5,2013,27may2013
,Once Acre Fund,27,1,5,2013,27may2013
,Once Acre Fund,21,1,5,2013,27may2013
,Once Acre Fund,24,1,5,2013,27may2013
,Once Acre Fund,17,1,5,2013,27may2013
,Once Acre Fund,26,1,5,2013,27may2013
,Once Acre Fund,30,1,5,2013,27may2013
,Once Acre Fund,24,1,5,2013,27may2013
,Once Acre Fund,20,1,5,2013,27may2013
,Once Acre Fund,17,1,5,2013,27may2013
,Once Acre Fund,31,1,5,2013,27may2013
,Once Acre Fund,25,1,5,2013,27may2013
,Once Acre Fund,16,1,5,2013,27may2013
,Once Acre Fund,27,1,5,2013,27may2013
,Once Acre Fund,18,1,5,2013,27may2013
,Once Acre Fund,17,1,5,2013,27may2013
,Once Acre Fund,20,1,5,2013,27may2013
,Once Acre Fund,28,1,5,2013,27may2013
,Once Acre Fund,27,1,5,2013,27may2013
,Once Acre Fund,20,1,5,2013,27may2013
,Once Acre Fund,19,1,5,2013,27may2013
,Once Acre Fund,19,1,5,2013,27may2013
,Once Acre Fund,11,1,5,2013,28may2013
,Once Acre Fund,34,1,5,2013,28may2013
,Once Acre Fund,21,1,5,2013,28may2013
,Once Acre Fund,18,1,5,2013,28may2013
,Once Acre Fund,22,1,5,2013,28may2013
,Once Acre Fund,18,1,5,2013,28may2013
,Once Acre Fund,26,1,5,2013,28may2013
,Once Acre Fund,21,1,5,2013,28may2013
,Once Acre Fund,18,1,5,2013,28may2013
,Once Acre Fund,25,1,5,2013,28may2013
,Once Acre Fund,25,1,5,2013,28may2013
,Once Acre Fund,22,1,5,2013,28may2013
,Once Acre Fund,27,1,5,2013,28may2013
,Once Acre Fund,30,1,5,2013,28may2013
,Once Acre Fund,21,1,5,2013,28may2013
,Once Acre Fund,30,1,5,2013,28may2013
,Once Acre Fund,26,1,5,2013,28may2013
,Once Acre Fund,20,1,5,2013,28may2013
,Once Acre Fund,27,1,5,2013,28may2013
,Once Acre Fund,20,1,5,2013,28may2013
,Once Acre Fund,23,1,5,2013,28may2013
,Once Acre Fund,29,1,5,2013,28may2013
,Once Acre Fund,23,1,5,2013,28may2013
,Once Acre Fund,21,1,5,2013,28may2013
,Once Acre Fund,28,1,5,2013,28may2013
,Once Acre Fund,20,1,5,2013,28may2013
,Once Acre Fund,26,1,5,2013,29may2013
,Once Acre Fund,21,1,5,2013,29may2013
,Once Acre Fund,19,1,5,2013,29may2013
,Once Acre Fund,10,1,5,2013,29may2013
,Once Acre Fund,30,1,5,2013,29may2013
,Once Acre Fund,37,1,5,2013,29may2013
,Once Acre Fund,17,1,5,2013,29may2013
,Once Acre Fund,31,1,5,2013,29may2013
,Once Acre Fund,19,1,5,2013,29may2013
,Once Acre Fund,22,1,5,2013,29may2013
,Once Acre Fund,18,1,5,2013,29may2013
,Once Acre Fund,22,1,5,2013,29may2013
,Once Acre Fund,20,1,5,2013,29may2013
,Once Acre Fund,23,1,5,2013,29may2013
,Once Acre Fund,15,1,5,2013,29may2013
,Once Acre Fund,23,1,5,2013,29may2013
,Once Acre Fund,20,1,5,2013,29may2013
,Once Acre Fund,34,1,5,2013,29may2013
,Once Acre Fund,15,1,5,2013,29may2013
,Once Acre Fund,23,1,5,2013,29may2013
,Once Acre Fund,19,1,5,2013,29may2013
,Once Acre Fund,20,1,5,2013,29may2013
,Once Acre Fund,18,1,5,2013,29may2013
,Once Acre Fund,30,1,5,2013,29may2013
,Once Acre Fund,18,1,5,2013,30may2013
,Once Acre Fund,29,1,5,2013,30may2013
,Once Acre Fund,28,1,5,2013,30may2013
,Once Acre Fund,28,1,5,2013,30may2013
,Once Acre Fund,22,1,5,2013,30may2013
,Once Acre Fund,16,1,5,2013,30may2013
,Once Acre Fund,15,1,5,2013,30may2013
,Once Acre Fund,22,1,5,2013,30may2013
,Once Acre Fund,28,1,5,2013,30may2013
,Once Acre Fund,37,1,5,2013,30may2013
,Once Acre Fund,19,1,5,2013,30may2013
,Once Acre Fund,32,1,5,2013,30may2013
,Once Acre Fund,23,1,5,2013,30may2013
,Once Acre Fund,23,1,5,2013,30may2013
,Once Acre Fund,12,1,5,2013,30may2013
,Once Acre Fund,22,1,5,2013,30may2013
,Once Acre Fund,24,1,5,2013,30may2013
,Once Acre Fund,21,1,5,2013,30may2013
,Once Acre Fund,24,1,5,2013,30may2013
,Once Acre Fund,17,1,5,2013,30may2013
,Once Acre Fund,24,1,5,2013,30may2013
,Once Acre Fund,27,1,5,2013,30may2013
,Once Acre Fund,21,1,5,2013,30may2013
,Once Acre Fund,17,1,5,2013,30may2013
,Once Acre Fund,15,1,5,2013,31may2013
,Once Acre Fund,20,1,5,2013,31may2013
,Once Acre Fund,25,1,5,2013,31may2013
,Once Acre Fund,17,1,5,2013,31may2013
,Once Acre Fund,20,1,5,2013,31may2013
,Once Acre Fund,26,1,5,2013,31may2013
,Once Acre Fund,24,1,5,2013,31may2013
,Once Acre Fund,19,1,5,2013,31may2013
,Once Acre Fund,22,1,5,2013,31may2013
,Once Acre Fund,20,1,5,2013,31may2013
,Once Acre Fund,22,1,5,2013,31may2013
,Once Acre Fund,16,1,5,2013,31may2013
,Once Acre Fund,21,1,5,2013,31may2013
,Once Acre Fund,17,1,5,2013,31may2013
,Once Acre Fund,18,1,5,2013,31may2013
,Once Acre Fund,24,1,5,2013,31may2013
,Once Acre Fund,21,1,5,2013,31may2013
,Once Acre Fund,23,1,5,2013,31may2013
,Once Acre Fund,19,1,5,2013,31may2013
,Once Acre Fund,19,1,5,2013,31may2013
,Once Acre Fund,24,1,5,2013,31may2013
,Once Acre Fund,24,1,5,2013,31may2013
,Once Acre Fund,15,1,6,2013,03-Jun-13
,Once Acre Fund,21,1,6,2013,03-Jun-13
,Once Acre Fund,25,1,6,2013,03-Jun-13
,Once Acre Fund,36,1,6,2013,03-Jun-13
,Once Acre Fund,17,1,6,2013,03-Jun-13
,Once Acre Fund,25,1,6,2013,03-Jun-13
,Once Acre Fund,18,1,6,2013,03-Jun-13
,Once Acre Fund,25,1,6,2013,03-Jun-13
,Once Acre Fund,22,1,6,2013,03-Jun-13
,Once Acre Fund,20,1,6,2013,03-Jun-13
,Once Acre Fund,22,1,6,2013,03-Jun-13
,Once Acre Fund,22,1,6,2013,03-Jun-13
,Once Acre Fund,17,1,6,2013,03-Jun-13
,Once Acre Fund,16,1,6,2013,03-Jun-13
,Once Acre Fund,18,1,6,2013,03-Jun-13
,Once Acre Fund,26,1,6,2013,03-Jun-13
,Once Acre Fund,21,1,6,2013,03-Jun-13
,Once Acre Fund,19,1,6,2013,03-Jun-13
,Once Acre Fund,18,1,6,2013,03-Jun-13
,Once Acre Fund,24,1,6,2013,03-Jun-13
,Once Acre Fund,16,1,6,2013,03-Jun-13
,Once Acre Fund,16,1,6,2013,03-Jun-13
,Once Acre Fund,21,1,6,2013,03-Jun-13
,Once Acre Fund,23,1,6,2013,03-Jun-13
,Once Acre Fund,15,1,6,2013,03-Jun-13
,Once Acre Fund,40,1,6,2013,04-Jun-13
,Once Acre Fund,28,1,6,2013,04-Jun-13
,Once Acre Fund,19,1,6,2013,04-Jun-13
,Once Acre Fund,21,1,6,2013,04-Jun-13
,Once Acre Fund,20,1,6,2013,04-Jun-13
,Once Acre Fund,29,1,6,2013,04-Jun-13
,Once Acre Fund,22,1,6,2013,04-Jun-13
,Once Acre Fund,26,1,6,2013,04-Jun-13
,Once Acre Fund,20,1,6,2013,04-Jun-13
,Once Acre Fund,20,1,6,2013,04-Jun-13
,Once Acre Fund,22,1,6,2013,04-Jun-13
,Once Acre Fund,41,1,6,2013,04-Jun-13
,Once Acre Fund,21,1,6,2013,04-Jun-13
,Once Acre Fund,22,1,6,2013,04-Jun-13
,Once Acre Fund,22,1,6,2013,04-Jun-13
,Once Acre Fund,20,1,6,2013,04-Jun-13
,Once Acre Fund,16,1,6,2013,04-Jun-13
